,variable,experiment,units,frequency,ensemble,model,year,value
0,hfls,ssp245,W m-2,mon,r10i1p1f1,CanESM5,2015,111.513824
1,hfls,ssp245,W m-2,mon,r10i1p1f1,CanESM5,2016,111.47705
2,hfls,ssp245,W m-2,mon,r10i1p1f1,CanESM5,2017,111.818474
3,hfls,ssp245,W m-2,mon,r10i1p1f1,CanESM5,2018,111.29891
4,hfls,ssp245,W m-2,mon,r10i1p1f1,CanESM5,2019,110.90621
5,hfls,ssp245,W m-2,mon,r10i1p1f1,CanESM5,2020,111.08341
6,hfls,ssp245,W m-2,mon,r10i1p1f1,CanESM5,2021,111.3764
7,hfls,ssp245,W m-2,mon,r10i1p1f1,CanESM5,2022,111.58637
8,hfls,ssp245,W m-2,mon,r10i1p1f1,CanESM5,2023,111.904884
9,hfls,ssp245,W m-2,mon,r10i1p1f1,CanESM5,2024,112.394066
10,hfls,ssp245,W m-2,mon,r10i1p1f1,CanESM5,2025,112.41602
11,hfls,ssp245,W m-2,mon,r10i1p1f1,CanESM5,2026,112.20465
12,hfls,ssp245,W m-2,mon,r10i1p1f1,CanESM5,2027,111.78549
13,hfls,ssp245,W m-2,mon,r10i1p1f1,CanESM5,2028,111.32911
14,hfls,ssp245,W m-2,mon,r10i1p1f1,CanESM5,2029,112.5183
15,hfls,ssp245,W m-2,mon,r10i1p1f1,CanESM5,2030,112.897224
16,hfls,ssp245,W m-2,mon,r10i1p1f1,CanESM5,2031,111.48591
17,hfls,ssp245,W m-2,mon,r10i1p1f1,CanESM5,2032,112.4437
18,hfls,ssp245,W m-2,mon,r10i1p1f1,CanESM5,2033,112.81753
19,hfls,ssp245,W m-2,mon,r10i1p1f1,CanESM5,2034,112.649666
20,hfls,ssp245,W m-2,mon,r10i1p1f1,CanESM5,2035,112.57462
21,hfls,ssp245,W m-2,mon,r10i1p1f1,CanESM5,2036,112.986855
22,hfls,ssp245,W m-2,mon,r10i1p1f1,CanESM5,2037,112.06308
23,hfls,ssp245,W m-2,mon,r10i1p1f1,CanESM5,2038,113.28882
24,hfls,ssp245,W m-2,mon,r10i1p1f1,CanESM5,2039,112.78307
25,hfls,ssp245,W m-2,mon,r10i1p1f1,CanESM5,2040,112.94492
26,hfls,ssp245,W m-2,mon,r10i1p1f1,CanESM5,2041,114.02595
27,hfls,ssp245,W m-2,mon,r10i1p1f1,CanESM5,2042,113.001045
28,hfls,ssp245,W m-2,mon,r10i1p1f1,CanESM5,2043,113.49354
29,hfls,ssp245,W m-2,mon,r10i1p1f1,CanESM5,2044,114.41839
30,hfls,ssp245,W m-2,mon,r10i1p1f1,CanESM5,2045,113.615
31,hfls,ssp245,W m-2,mon,r10i1p1f1,CanESM5,2046,113.291565
32,hfls,ssp245,W m-2,mon,r10i1p1f1,CanESM5,2047,114.63523
33,hfls,ssp245,W m-2,mon,r10i1p1f1,CanESM5,2048,113.94623
34,hfls,ssp245,W m-2,mon,r10i1p1f1,CanESM5,2049,114.11869
35,hfls,ssp245,W m-2,mon,r10i1p1f1,CanESM5,2050,113.906624
36,hfls,ssp245,W m-2,mon,r10i1p1f1,CanESM5,2051,113.69788
37,hfls,ssp245,W m-2,mon,r10i1p1f1,CanESM5,2052,114.48736
38,hfls,ssp245,W m-2,mon,r10i1p1f1,CanESM5,2053,114.94692
39,hfls,ssp245,W m-2,mon,r10i1p1f1,CanESM5,2054,114.551216
40,hfls,ssp245,W m-2,mon,r10i1p1f1,CanESM5,2055,114.396614
41,hfls,ssp245,W m-2,mon,r10i1p1f1,CanESM5,2056,115.38156
42,hfls,ssp245,W m-2,mon,r10i1p1f1,CanESM5,2057,114.75696
43,hfls,ssp245,W m-2,mon,r10i1p1f1,CanESM5,2058,115.00021
44,hfls,ssp245,W m-2,mon,r10i1p1f1,CanESM5,2059,115.170044
45,hfls,ssp245,W m-2,mon,r10i1p1f1,CanESM5,2060,114.23868
46,hfls,ssp245,W m-2,mon,r10i1p1f1,CanESM5,2061,115.030914
47,hfls,ssp245,W m-2,mon,r10i1p1f1,CanESM5,2062,115.19746
48,hfls,ssp245,W m-2,mon,r10i1p1f1,CanESM5,2063,115.64768
49,hfls,ssp245,W m-2,mon,r10i1p1f1,CanESM5,2064,115.50761
50,hfls,ssp245,W m-2,mon,r10i1p1f1,CanESM5,2065,115.91569
51,hfls,ssp245,W m-2,mon,r10i1p1f1,CanESM5,2066,115.90974
52,hfls,ssp245,W m-2,mon,r10i1p1f1,CanESM5,2067,115.61028
53,hfls,ssp245,W m-2,mon,r10i1p1f1,CanESM5,2068,115.64138
54,hfls,ssp245,W m-2,mon,r10i1p1f1,CanESM5,2069,115.72241
55,hfls,ssp245,W m-2,mon,r10i1p1f1,CanESM5,2070,115.79065
56,hfls,ssp245,W m-2,mon,r10i1p1f1,CanESM5,2071,115.847534
57,hfls,ssp245,W m-2,mon,r10i1p1f1,CanESM5,2072,116.1916
58,hfls,ssp245,W m-2,mon,r10i1p1f1,CanESM5,2073,116.840355
59,hfls,ssp245,W m-2,mon,r10i1p1f1,CanESM5,2074,117.10843
60,hfls,ssp245,W m-2,mon,r10i1p1f1,CanESM5,2075,116.113884
61,hfls,ssp245,W m-2,mon,r10i1p1f1,CanESM5,2076,116.02128
62,hfls,ssp245,W m-2,mon,r10i1p1f1,CanESM5,2077,116.681694
63,hfls,ssp245,W m-2,mon,r10i1p1f1,CanESM5,2078,116.668846
64,hfls,ssp245,W m-2,mon,r10i1p1f1,CanESM5,2079,116.77667
65,hfls,ssp245,W m-2,mon,r10i1p1f1,CanESM5,2080,116.55792
66,hfls,ssp245,W m-2,mon,r10i1p1f1,CanESM5,2081,116.70642
67,hfls,ssp245,W m-2,mon,r10i1p1f1,CanESM5,2082,116.95754
68,hfls,ssp245,W m-2,mon,r10i1p1f1,CanESM5,2083,117.33194
69,hfls,ssp245,W m-2,mon,r10i1p1f1,CanESM5,2084,116.820595
70,hfls,ssp245,W m-2,mon,r10i1p1f1,CanESM5,2085,117.37476
71,hfls,ssp245,W m-2,mon,r10i1p1f1,CanESM5,2086,117.6257
72,hfls,ssp245,W m-2,mon,r10i1p1f1,CanESM5,2087,117.596306
73,hfls,ssp245,W m-2,mon,r10i1p1f1,CanESM5,2088,117.1058
