,variable,experiment,units,frequency,ensemble,model,year,value
0,hfls,ssp245,W m-2,mon,r4i1p5f1,GISS-E2-1-G,2015,114.97086
1,hfls,ssp245,W m-2,mon,r4i1p5f1,GISS-E2-1-G,2016,116.099945
2,hfls,ssp245,W m-2,mon,r4i1p5f1,GISS-E2-1-G,2017,114.27134
3,hfls,ssp245,W m-2,mon,r4i1p5f1,GISS-E2-1-G,2018,114.24801
4,hfls,ssp245,W m-2,mon,r4i1p5f1,GISS-E2-1-G,2019,115.11307
5,hfls,ssp245,W m-2,mon,r4i1p5f1,GISS-E2-1-G,2020,115.54774
6,hfls,ssp245,W m-2,mon,r4i1p5f1,GISS-E2-1-G,2021,116.45508
7,hfls,ssp245,W m-2,mon,r4i1p5f1,GISS-E2-1-G,2022,115.465324
8,hfls,ssp245,W m-2,mon,r4i1p5f1,GISS-E2-1-G,2023,115.39364
9,hfls,ssp245,W m-2,mon,r4i1p5f1,GISS-E2-1-G,2024,115.94513
10,hfls,ssp245,W m-2,mon,r4i1p5f1,GISS-E2-1-G,2025,116.40365
11,hfls,ssp245,W m-2,mon,r4i1p5f1,GISS-E2-1-G,2026,115.10925
12,hfls,ssp245,W m-2,mon,r4i1p5f1,GISS-E2-1-G,2027,114.57438
13,hfls,ssp245,W m-2,mon,r4i1p5f1,GISS-E2-1-G,2028,116.40926
14,hfls,ssp245,W m-2,mon,r4i1p5f1,GISS-E2-1-G,2029,116.69934
15,hfls,ssp245,W m-2,mon,r4i1p5f1,GISS-E2-1-G,2030,115.641205
16,hfls,ssp245,W m-2,mon,r4i1p5f1,GISS-E2-1-G,2031,115.04049
17,hfls,ssp245,W m-2,mon,r4i1p5f1,GISS-E2-1-G,2032,115.715935
18,hfls,ssp245,W m-2,mon,r4i1p5f1,GISS-E2-1-G,2033,115.42111
19,hfls,ssp245,W m-2,mon,r4i1p5f1,GISS-E2-1-G,2034,116.703156
20,hfls,ssp245,W m-2,mon,r4i1p5f1,GISS-E2-1-G,2035,117.52133
21,hfls,ssp245,W m-2,mon,r4i1p5f1,GISS-E2-1-G,2036,116.8749
22,hfls,ssp245,W m-2,mon,r4i1p5f1,GISS-E2-1-G,2037,115.141884
23,hfls,ssp245,W m-2,mon,r4i1p5f1,GISS-E2-1-G,2038,115.53381
24,hfls,ssp245,W m-2,mon,r4i1p5f1,GISS-E2-1-G,2039,117.4773
25,hfls,ssp245,W m-2,mon,r4i1p5f1,GISS-E2-1-G,2040,117.14316
26,hfls,ssp245,W m-2,mon,r4i1p5f1,GISS-E2-1-G,2041,115.74079
27,hfls,ssp245,W m-2,mon,r4i1p5f1,GISS-E2-1-G,2042,116.46865
28,hfls,ssp245,W m-2,mon,r4i1p5f1,GISS-E2-1-G,2043,116.906555
29,hfls,ssp245,W m-2,mon,r4i1p5f1,GISS-E2-1-G,2044,117.46222
30,hfls,ssp245,W m-2,mon,r4i1p5f1,GISS-E2-1-G,2045,115.92478
