,variable,experiment,units,frequency,ensemble,model,year,value
0,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2015,113.85714
1,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2016,114.99417
2,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2017,113.67054
3,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2018,113.9231
4,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2019,115.60886
5,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2020,115.44708
6,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2021,114.79711
7,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2022,114.31324
8,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2023,114.40095
9,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2024,115.90177
10,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2025,115.26719
11,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2026,116.32373
12,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2027,115.047844
13,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2028,115.76545
14,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2029,116.44077
15,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2030,115.5954
16,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2031,115.84263
17,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2032,115.97675
18,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2033,116.51785
19,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2034,117.11246
20,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2035,115.71734
21,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2036,116.04855
22,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2037,116.405334
23,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2038,116.075356
24,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2039,116.92295
25,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2040,116.8996
26,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2041,116.020836
27,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2042,116.61401
28,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2043,116.43594
29,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2044,117.31405
30,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2045,117.184044
31,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2046,116.09051
32,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2047,116.394554
33,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2048,116.8743
34,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2049,116.137665
35,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2050,116.637596
36,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2051,117.59565
37,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2052,116.4895
38,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2053,117.60607
39,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2054,116.7926
40,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2055,117.53751
41,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2056,117.643074
42,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2057,116.48919
43,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2058,117.29883
44,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2059,116.42807
45,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2060,117.09847
46,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2061,116.98034
47,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2062,116.319214
48,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2063,116.53654
49,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2064,117.41614
50,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2065,118.42288
51,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2066,117.1943
52,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2067,117.29138
53,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2068,117.70444
54,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2069,117.768745
55,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2070,117.395966
56,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2071,117.05985
57,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2072,116.68493
58,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2073,117.272896
59,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2074,117.71973
60,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2075,117.34366
61,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2076,117.31537
62,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2077,116.72498
63,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2078,117.51937
64,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2079,117.508514
65,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2080,117.64797
66,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2081,116.8331
67,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2082,116.74552
68,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2083,117.11973
69,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2084,118.230125
70,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2085,117.80128
71,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2086,117.671844
72,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2087,117.90507
73,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2088,117.47915
74,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2089,117.71165
75,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2090,118.0998
76,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2091,117.89032
77,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2092,117.03244
78,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2093,117.0873
79,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2094,117.86466
80,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2095,116.92878
81,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2096,117.80472
82,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2097,117.60551
83,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2098,116.74842
84,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2099,118.07864
85,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2100,117.87777
86,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2101,116.283295
87,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2102,117.697205
88,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2103,117.05512
89,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2104,117.01232
90,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2105,117.32721
91,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2106,118.01486
92,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2107,116.95722
93,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2108,117.46323
94,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2109,116.80777
95,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2110,116.45077
96,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2111,116.9692
97,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2112,117.48649
98,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2113,116.660774
99,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2114,117.13642
100,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2115,117.956665
101,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2116,116.42584
102,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2117,117.52572
103,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2118,117.81421
104,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2119,116.7525
105,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2120,117.400566
106,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2121,117.032326
107,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2122,117.35067
108,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2123,117.17834
109,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2124,117.05585
110,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2125,117.23871
111,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2126,118.27668
112,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2127,117.18793
113,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2128,116.883575
114,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2129,116.33325
115,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2130,116.88778
116,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2131,116.70526
117,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2132,117.44953
118,hfls,ssp126,W m-2,mon,r1i1p1f1,MRI-ESM2-0,2133,117.20477
