,variable,experiment,units,frequency,ensemble,model,year,value
0,hfls,ssp119,W m-2,mon,r3i1p1f2,UKESM1-0-LL,2015,120.23431
1,hfls,ssp119,W m-2,mon,r3i1p1f2,UKESM1-0-LL,2016,121.07618
2,hfls,ssp119,W m-2,mon,r3i1p1f2,UKESM1-0-LL,2017,121.22169
3,hfls,ssp119,W m-2,mon,r3i1p1f2,UKESM1-0-LL,2018,121.36637
4,hfls,ssp119,W m-2,mon,r3i1p1f2,UKESM1-0-LL,2019,121.48596
5,hfls,ssp119,W m-2,mon,r3i1p1f2,UKESM1-0-LL,2020,121.53533
6,hfls,ssp119,W m-2,mon,r3i1p1f2,UKESM1-0-LL,2021,121.56284
7,hfls,ssp119,W m-2,mon,r3i1p1f2,UKESM1-0-LL,2022,121.6778
8,hfls,ssp119,W m-2,mon,r3i1p1f2,UKESM1-0-LL,2023,121.11222
9,hfls,ssp119,W m-2,mon,r3i1p1f2,UKESM1-0-LL,2024,122.208565
10,hfls,ssp119,W m-2,mon,r3i1p1f2,UKESM1-0-LL,2025,122.62847
11,hfls,ssp119,W m-2,mon,r3i1p1f2,UKESM1-0-LL,2026,122.9873
12,hfls,ssp119,W m-2,mon,r3i1p1f2,UKESM1-0-LL,2027,122.63531
13,hfls,ssp119,W m-2,mon,r3i1p1f2,UKESM1-0-LL,2028,123.63275
14,hfls,ssp119,W m-2,mon,r3i1p1f2,UKESM1-0-LL,2029,123.400505
15,hfls,ssp119,W m-2,mon,r3i1p1f2,UKESM1-0-LL,2030,122.99845
16,hfls,ssp119,W m-2,mon,r3i1p1f2,UKESM1-0-LL,2031,123.88851
17,hfls,ssp119,W m-2,mon,r3i1p1f2,UKESM1-0-LL,2032,123.76937
18,hfls,ssp119,W m-2,mon,r3i1p1f2,UKESM1-0-LL,2033,123.86981
19,hfls,ssp119,W m-2,mon,r3i1p1f2,UKESM1-0-LL,2034,123.7627
20,hfls,ssp119,W m-2,mon,r3i1p1f2,UKESM1-0-LL,2035,123.18253
21,hfls,ssp119,W m-2,mon,r3i1p1f2,UKESM1-0-LL,2036,123.47863
22,hfls,ssp119,W m-2,mon,r3i1p1f2,UKESM1-0-LL,2037,123.5803
23,hfls,ssp119,W m-2,mon,r3i1p1f2,UKESM1-0-LL,2038,124.017395
24,hfls,ssp119,W m-2,mon,r3i1p1f2,UKESM1-0-LL,2039,124.39544
25,hfls,ssp119,W m-2,mon,r3i1p1f2,UKESM1-0-LL,2040,123.90267
26,hfls,ssp119,W m-2,mon,r3i1p1f2,UKESM1-0-LL,2041,123.56659
27,hfls,ssp119,W m-2,mon,r3i1p1f2,UKESM1-0-LL,2042,123.63647
28,hfls,ssp119,W m-2,mon,r3i1p1f2,UKESM1-0-LL,2043,123.57966
29,hfls,ssp119,W m-2,mon,r3i1p1f2,UKESM1-0-LL,2044,123.35541
30,hfls,ssp119,W m-2,mon,r3i1p1f2,UKESM1-0-LL,2045,123.74345
31,hfls,ssp119,W m-2,mon,r3i1p1f2,UKESM1-0-LL,2046,125.11066
32,hfls,ssp119,W m-2,mon,r3i1p1f2,UKESM1-0-LL,2047,125.38999
33,hfls,ssp119,W m-2,mon,r3i1p1f2,UKESM1-0-LL,2048,123.41584
34,hfls,ssp119,W m-2,mon,r3i1p1f2,UKESM1-0-LL,2049,123.73386
35,hfls,ssp119,W m-2,mon,r3i1p1f2,UKESM1-0-LL,2050,124.09969
36,hfls,ssp119,W m-2,mon,r3i1p1f2,UKESM1-0-LL,2051,124.636635
37,hfls,ssp119,W m-2,mon,r3i1p1f2,UKESM1-0-LL,2052,124.45716
38,hfls,ssp119,W m-2,mon,r3i1p1f2,UKESM1-0-LL,2053,123.86498
39,hfls,ssp119,W m-2,mon,r3i1p1f2,UKESM1-0-LL,2054,123.766914
40,hfls,ssp119,W m-2,mon,r3i1p1f2,UKESM1-0-LL,2055,124.50329
41,hfls,ssp119,W m-2,mon,r3i1p1f2,UKESM1-0-LL,2056,124.87505
42,hfls,ssp119,W m-2,mon,r3i1p1f2,UKESM1-0-LL,2057,124.86203
43,hfls,ssp119,W m-2,mon,r3i1p1f2,UKESM1-0-LL,2058,123.44489
44,hfls,ssp119,W m-2,mon,r3i1p1f2,UKESM1-0-LL,2059,125.45087
45,hfls,ssp119,W m-2,mon,r3i1p1f2,UKESM1-0-LL,2060,125.02131
46,hfls,ssp119,W m-2,mon,r3i1p1f2,UKESM1-0-LL,2061,124.41677
47,hfls,ssp119,W m-2,mon,r3i1p1f2,UKESM1-0-LL,2062,124.09842
48,hfls,ssp119,W m-2,mon,r3i1p1f2,UKESM1-0-LL,2063,124.68716
49,hfls,ssp119,W m-2,mon,r3i1p1f2,UKESM1-0-LL,2064,125.07426
50,hfls,ssp119,W m-2,mon,r3i1p1f2,UKESM1-0-LL,2065,125.64532
51,hfls,ssp119,W m-2,mon,r3i1p1f2,UKESM1-0-LL,2066,124.934845
52,hfls,ssp119,W m-2,mon,r3i1p1f2,UKESM1-0-LL,2067,124.26764
53,hfls,ssp119,W m-2,mon,r3i1p1f2,UKESM1-0-LL,2068,124.941734
54,hfls,ssp119,W m-2,mon,r3i1p1f2,UKESM1-0-LL,2069,125.29325
