,variable,experiment,units,frequency,ensemble,model,year,value
0,hfss,ssp370,W m-2,mon,r2i1p1f1,CAMS-CSM1-0,2015,12.716156
1,hfss,ssp370,W m-2,mon,r2i1p1f1,CAMS-CSM1-0,2016,12.418809
2,hfss,ssp370,W m-2,mon,r2i1p1f1,CAMS-CSM1-0,2017,12.555093
3,hfss,ssp370,W m-2,mon,r2i1p1f1,CAMS-CSM1-0,2018,12.624892
4,hfss,ssp370,W m-2,mon,r2i1p1f1,CAMS-CSM1-0,2019,12.637569
5,hfss,ssp370,W m-2,mon,r2i1p1f1,CAMS-CSM1-0,2020,12.395246
6,hfss,ssp370,W m-2,mon,r2i1p1f1,CAMS-CSM1-0,2021,12.496173
7,hfss,ssp370,W m-2,mon,r2i1p1f1,CAMS-CSM1-0,2022,12.453237
8,hfss,ssp370,W m-2,mon,r2i1p1f1,CAMS-CSM1-0,2023,12.369884
9,hfss,ssp370,W m-2,mon,r2i1p1f1,CAMS-CSM1-0,2024,12.512399
10,hfss,ssp370,W m-2,mon,r2i1p1f1,CAMS-CSM1-0,2025,12.435691
11,hfss,ssp370,W m-2,mon,r2i1p1f1,CAMS-CSM1-0,2026,12.19609
12,hfss,ssp370,W m-2,mon,r2i1p1f1,CAMS-CSM1-0,2027,12.395012
13,hfss,ssp370,W m-2,mon,r2i1p1f1,CAMS-CSM1-0,2028,12.425082
14,hfss,ssp370,W m-2,mon,r2i1p1f1,CAMS-CSM1-0,2029,12.704881
15,hfss,ssp370,W m-2,mon,r2i1p1f1,CAMS-CSM1-0,2030,12.263325
16,hfss,ssp370,W m-2,mon,r2i1p1f1,CAMS-CSM1-0,2031,12.182209
17,hfss,ssp370,W m-2,mon,r2i1p1f1,CAMS-CSM1-0,2032,12.2401495
18,hfss,ssp370,W m-2,mon,r2i1p1f1,CAMS-CSM1-0,2033,12.402947
19,hfss,ssp370,W m-2,mon,r2i1p1f1,CAMS-CSM1-0,2034,12.342423
20,hfss,ssp370,W m-2,mon,r2i1p1f1,CAMS-CSM1-0,2035,12.233701
21,hfss,ssp370,W m-2,mon,r2i1p1f1,CAMS-CSM1-0,2036,12.177569
22,hfss,ssp370,W m-2,mon,r2i1p1f1,CAMS-CSM1-0,2037,12.02805
23,hfss,ssp370,W m-2,mon,r2i1p1f1,CAMS-CSM1-0,2038,12.047931
24,hfss,ssp370,W m-2,mon,r2i1p1f1,CAMS-CSM1-0,2039,11.979294
25,hfss,ssp370,W m-2,mon,r2i1p1f1,CAMS-CSM1-0,2040,12.035474
26,hfss,ssp370,W m-2,mon,r2i1p1f1,CAMS-CSM1-0,2041,12.014056
27,hfss,ssp370,W m-2,mon,r2i1p1f1,CAMS-CSM1-0,2042,12.0551195
28,hfss,ssp370,W m-2,mon,r2i1p1f1,CAMS-CSM1-0,2043,12.179763
29,hfss,ssp370,W m-2,mon,r2i1p1f1,CAMS-CSM1-0,2044,12.0527525
30,hfss,ssp370,W m-2,mon,r2i1p1f1,CAMS-CSM1-0,2045,12.080323
31,hfss,ssp370,W m-2,mon,r2i1p1f1,CAMS-CSM1-0,2046,12.068164
32,hfss,ssp370,W m-2,mon,r2i1p1f1,CAMS-CSM1-0,2047,11.807285
33,hfss,ssp370,W m-2,mon,r2i1p1f1,CAMS-CSM1-0,2048,11.922691
