,variable,experiment,units,frequency,ensemble,model,year,value
0,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2015,16.994188
1,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2016,17.12607
2,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2017,17.039778
3,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2018,17.084213
4,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2019,16.889107
5,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2020,17.008497
6,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2021,16.977943
7,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2022,16.852083
8,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2023,16.897245
9,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2024,16.926718
10,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2025,16.826574
11,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2026,16.81085
12,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2027,16.733011
13,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2028,16.659565
14,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2029,16.881489
15,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2030,16.753963
16,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2031,16.823835
17,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2032,16.913197
18,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2033,16.858774
19,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2034,16.60573
20,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2035,16.655184
21,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2036,16.564276
22,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2037,16.646212
23,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2038,16.690912
24,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2039,16.679361
25,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2040,16.548979
26,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2041,16.74968
27,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2042,16.796104
28,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2043,16.764841
29,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2044,16.744173
30,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2045,16.668772
31,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2046,16.743374
32,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2047,16.79537
33,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2048,16.769712
34,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2049,16.686384
35,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2050,16.719011
36,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2051,16.777014
37,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2052,16.818575
38,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2053,16.721418
39,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2054,16.760462
40,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2055,16.710466
41,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2056,16.775623
42,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2057,16.839628
43,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2058,16.695301
44,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2059,16.967491
45,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2060,16.67718
46,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2061,16.799685
47,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2062,16.626379
48,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2063,16.618484
49,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2064,16.94066
50,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2065,16.82354
51,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2066,16.920197
52,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2067,16.990503
53,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2068,16.674633
54,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2069,16.830233
55,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2070,16.803053
56,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2071,16.90976
57,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2072,16.875414
58,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2073,16.877588
59,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2074,16.970942
60,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2075,16.84864
61,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2076,17.017221
62,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2077,16.917248
63,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2078,16.774748
64,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2079,16.953112
65,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2080,16.989677
66,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2081,16.96319
67,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2082,17.01402
68,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2083,16.958906
69,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2084,16.907106
70,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2085,16.885967
71,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2086,17.20239
72,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2087,17.128107
73,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2088,17.143763
74,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2089,16.998346
75,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2090,17.276766
76,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2091,17.084875
77,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2092,17.090227
78,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2093,17.067854
79,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2094,17.205757
80,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2095,17.146093
81,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2096,17.272509
82,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2097,17.183462
83,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2098,17.0305
84,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2099,17.144838
85,hfss,ssp119,W m-2,mon,r2i1p1f1,CanESM5,2100,17.176846
