,variable,experiment,units,frequency,ensemble,model,year,value
0,hfss,ssp585,W m-2,mon,r6i1p1f1,MIROC6,2015,6.4804006
1,hfss,ssp585,W m-2,mon,r6i1p1f1,MIROC6,2016,6.4724846
2,hfss,ssp585,W m-2,mon,r6i1p1f1,MIROC6,2017,6.5358624
3,hfss,ssp585,W m-2,mon,r6i1p1f1,MIROC6,2018,6.5902214
4,hfss,ssp585,W m-2,mon,r6i1p1f1,MIROC6,2019,6.511209
5,hfss,ssp585,W m-2,mon,r6i1p1f1,MIROC6,2020,6.3669186
6,hfss,ssp585,W m-2,mon,r6i1p1f1,MIROC6,2021,6.403868
7,hfss,ssp585,W m-2,mon,r6i1p1f1,MIROC6,2022,6.3859773
8,hfss,ssp585,W m-2,mon,r6i1p1f1,MIROC6,2023,6.3995547
9,hfss,ssp585,W m-2,mon,r6i1p1f1,MIROC6,2024,6.4548993
10,hfss,ssp585,W m-2,mon,r6i1p1f1,MIROC6,2025,6.3733144
11,hfss,ssp585,W m-2,mon,r6i1p1f1,MIROC6,2026,6.4868317
12,hfss,ssp585,W m-2,mon,r6i1p1f1,MIROC6,2027,6.320507
13,hfss,ssp585,W m-2,mon,r6i1p1f1,MIROC6,2028,6.2416806
14,hfss,ssp585,W m-2,mon,r6i1p1f1,MIROC6,2029,6.245855
15,hfss,ssp585,W m-2,mon,r6i1p1f1,MIROC6,2030,6.311617
16,hfss,ssp585,W m-2,mon,r6i1p1f1,MIROC6,2031,6.28604
17,hfss,ssp585,W m-2,mon,r6i1p1f1,MIROC6,2032,6.278396
18,hfss,ssp585,W m-2,mon,r6i1p1f1,MIROC6,2033,6.2449327
19,hfss,ssp585,W m-2,mon,r6i1p1f1,MIROC6,2034,6.238498
20,hfss,ssp585,W m-2,mon,r6i1p1f1,MIROC6,2035,6.233385
21,hfss,ssp585,W m-2,mon,r6i1p1f1,MIROC6,2036,6.2907352
22,hfss,ssp585,W m-2,mon,r6i1p1f1,MIROC6,2037,6.3017235
23,hfss,ssp585,W m-2,mon,r6i1p1f1,MIROC6,2038,6.3299365
