,variable,experiment,units,frequency,ensemble,model,year,value
0,hfss,ssp119,W m-2,mon,r3i1p1f2,UKESM1-0-LL,2015,12.209529
1,hfss,ssp119,W m-2,mon,r3i1p1f2,UKESM1-0-LL,2016,12.245917
2,hfss,ssp119,W m-2,mon,r3i1p1f2,UKESM1-0-LL,2017,12.293269
3,hfss,ssp119,W m-2,mon,r3i1p1f2,UKESM1-0-LL,2018,12.264012
4,hfss,ssp119,W m-2,mon,r3i1p1f2,UKESM1-0-LL,2019,12.2367525
5,hfss,ssp119,W m-2,mon,r3i1p1f2,UKESM1-0-LL,2020,12.26308
6,hfss,ssp119,W m-2,mon,r3i1p1f2,UKESM1-0-LL,2021,12.142049
7,hfss,ssp119,W m-2,mon,r3i1p1f2,UKESM1-0-LL,2022,12.194499
8,hfss,ssp119,W m-2,mon,r3i1p1f2,UKESM1-0-LL,2023,12.195191
9,hfss,ssp119,W m-2,mon,r3i1p1f2,UKESM1-0-LL,2024,12.0287285
10,hfss,ssp119,W m-2,mon,r3i1p1f2,UKESM1-0-LL,2025,11.988594
11,hfss,ssp119,W m-2,mon,r3i1p1f2,UKESM1-0-LL,2026,12.077527
12,hfss,ssp119,W m-2,mon,r3i1p1f2,UKESM1-0-LL,2027,12.040485
13,hfss,ssp119,W m-2,mon,r3i1p1f2,UKESM1-0-LL,2028,12.003396
14,hfss,ssp119,W m-2,mon,r3i1p1f2,UKESM1-0-LL,2029,11.942983
15,hfss,ssp119,W m-2,mon,r3i1p1f2,UKESM1-0-LL,2030,11.941066
16,hfss,ssp119,W m-2,mon,r3i1p1f2,UKESM1-0-LL,2031,12.050775
17,hfss,ssp119,W m-2,mon,r3i1p1f2,UKESM1-0-LL,2032,11.889852
18,hfss,ssp119,W m-2,mon,r3i1p1f2,UKESM1-0-LL,2033,11.9133005
19,hfss,ssp119,W m-2,mon,r3i1p1f2,UKESM1-0-LL,2034,12.038735
20,hfss,ssp119,W m-2,mon,r3i1p1f2,UKESM1-0-LL,2035,11.891364
