,variable,experiment,units,frequency,ensemble,model,year,value
0,rlds,ssp585,W m-2,mon,r11i1p1f1,CanESM5,2015,372.73462
1,rlds,ssp585,W m-2,mon,r11i1p1f1,CanESM5,2016,373.77173
2,rlds,ssp585,W m-2,mon,r11i1p1f1,CanESM5,2017,374.0985
3,rlds,ssp585,W m-2,mon,r11i1p1f1,CanESM5,2018,374.49313
4,rlds,ssp585,W m-2,mon,r11i1p1f1,CanESM5,2019,374.94516
5,rlds,ssp585,W m-2,mon,r11i1p1f1,CanESM5,2020,374.12268
6,rlds,ssp585,W m-2,mon,r11i1p1f1,CanESM5,2021,373.96445
7,rlds,ssp585,W m-2,mon,r11i1p1f1,CanESM5,2022,375.2595
8,rlds,ssp585,W m-2,mon,r11i1p1f1,CanESM5,2023,375.80457
9,rlds,ssp585,W m-2,mon,r11i1p1f1,CanESM5,2024,376.05215
10,rlds,ssp585,W m-2,mon,r11i1p1f1,CanESM5,2025,376.77255
11,rlds,ssp585,W m-2,mon,r11i1p1f1,CanESM5,2026,376.95276
12,rlds,ssp585,W m-2,mon,r11i1p1f1,CanESM5,2027,376.4767
13,rlds,ssp585,W m-2,mon,r11i1p1f1,CanESM5,2028,376.07864
14,rlds,ssp585,W m-2,mon,r11i1p1f1,CanESM5,2029,376.9147
15,rlds,ssp585,W m-2,mon,r11i1p1f1,CanESM5,2030,378.1965
16,rlds,ssp585,W m-2,mon,r11i1p1f1,CanESM5,2031,377.83572
17,rlds,ssp585,W m-2,mon,r11i1p1f1,CanESM5,2032,377.9299
18,rlds,ssp585,W m-2,mon,r11i1p1f1,CanESM5,2033,378.20847
19,rlds,ssp585,W m-2,mon,r11i1p1f1,CanESM5,2034,378.2334
20,rlds,ssp585,W m-2,mon,r11i1p1f1,CanESM5,2035,379.41
21,rlds,ssp585,W m-2,mon,r11i1p1f1,CanESM5,2036,379.9545
22,rlds,ssp585,W m-2,mon,r11i1p1f1,CanESM5,2037,378.70007
23,rlds,ssp585,W m-2,mon,r11i1p1f1,CanESM5,2038,379.58618
24,rlds,ssp585,W m-2,mon,r11i1p1f1,CanESM5,2039,380.97995
25,rlds,ssp585,W m-2,mon,r11i1p1f1,CanESM5,2040,381.80957
26,rlds,ssp585,W m-2,mon,r11i1p1f1,CanESM5,2041,381.41122
27,rlds,ssp585,W m-2,mon,r11i1p1f1,CanESM5,2042,380.85022
28,rlds,ssp585,W m-2,mon,r11i1p1f1,CanESM5,2043,381.89014
29,rlds,ssp585,W m-2,mon,r11i1p1f1,CanESM5,2044,382.67465
30,rlds,ssp585,W m-2,mon,r11i1p1f1,CanESM5,2045,382.77682
31,rlds,ssp585,W m-2,mon,r11i1p1f1,CanESM5,2046,382.53513
32,rlds,ssp585,W m-2,mon,r11i1p1f1,CanESM5,2047,383.7178
33,rlds,ssp585,W m-2,mon,r11i1p1f1,CanESM5,2048,384.99905
34,rlds,ssp585,W m-2,mon,r11i1p1f1,CanESM5,2049,384.80945
35,rlds,ssp585,W m-2,mon,r11i1p1f1,CanESM5,2050,384.71582
36,rlds,ssp585,W m-2,mon,r11i1p1f1,CanESM5,2051,385.86398
37,rlds,ssp585,W m-2,mon,r11i1p1f1,CanESM5,2052,387.10757
38,rlds,ssp585,W m-2,mon,r11i1p1f1,CanESM5,2053,388.10434
39,rlds,ssp585,W m-2,mon,r11i1p1f1,CanESM5,2054,386.56418
40,rlds,ssp585,W m-2,mon,r11i1p1f1,CanESM5,2055,387.64542
41,rlds,ssp585,W m-2,mon,r11i1p1f1,CanESM5,2056,388.28183
42,rlds,ssp585,W m-2,mon,r11i1p1f1,CanESM5,2057,389.8212
43,rlds,ssp585,W m-2,mon,r11i1p1f1,CanESM5,2058,390.62503
44,rlds,ssp585,W m-2,mon,r11i1p1f1,CanESM5,2059,390.10913
45,rlds,ssp585,W m-2,mon,r11i1p1f1,CanESM5,2060,390.46146
46,rlds,ssp585,W m-2,mon,r11i1p1f1,CanESM5,2061,391.3655
47,rlds,ssp585,W m-2,mon,r11i1p1f1,CanESM5,2062,391.36844
48,rlds,ssp585,W m-2,mon,r11i1p1f1,CanESM5,2063,391.49966
49,rlds,ssp585,W m-2,mon,r11i1p1f1,CanESM5,2064,391.10547
50,rlds,ssp585,W m-2,mon,r11i1p1f1,CanESM5,2065,391.92166
51,rlds,ssp585,W m-2,mon,r11i1p1f1,CanESM5,2066,393.20663
52,rlds,ssp585,W m-2,mon,r11i1p1f1,CanESM5,2067,394.00497
53,rlds,ssp585,W m-2,mon,r11i1p1f1,CanESM5,2068,393.20728
54,rlds,ssp585,W m-2,mon,r11i1p1f1,CanESM5,2069,393.86694
55,rlds,ssp585,W m-2,mon,r11i1p1f1,CanESM5,2070,395.64005
