,variable,experiment,units,frequency,ensemble,model,year,value
0,rlds,ssp585,W m-2,mon,r11i1p1f1,MIROC6,2015,377.63272
1,rlds,ssp585,W m-2,mon,r11i1p1f1,MIROC6,2016,378.13242
2,rlds,ssp585,W m-2,mon,r11i1p1f1,MIROC6,2017,379.1216
3,rlds,ssp585,W m-2,mon,r11i1p1f1,MIROC6,2018,379.3785
4,rlds,ssp585,W m-2,mon,r11i1p1f1,MIROC6,2019,377.57376
5,rlds,ssp585,W m-2,mon,r11i1p1f1,MIROC6,2020,377.05746
6,rlds,ssp585,W m-2,mon,r11i1p1f1,MIROC6,2021,378.1282
7,rlds,ssp585,W m-2,mon,r11i1p1f1,MIROC6,2022,378.1503
8,rlds,ssp585,W m-2,mon,r11i1p1f1,MIROC6,2023,379.16052
9,rlds,ssp585,W m-2,mon,r11i1p1f1,MIROC6,2024,378.9559
10,rlds,ssp585,W m-2,mon,r11i1p1f1,MIROC6,2025,379.99997
11,rlds,ssp585,W m-2,mon,r11i1p1f1,MIROC6,2026,381.27115
12,rlds,ssp585,W m-2,mon,r11i1p1f1,MIROC6,2027,378.18875
13,rlds,ssp585,W m-2,mon,r11i1p1f1,MIROC6,2028,378.13412
14,rlds,ssp585,W m-2,mon,r11i1p1f1,MIROC6,2029,378.57175
15,rlds,ssp585,W m-2,mon,r11i1p1f1,MIROC6,2030,380.34482
16,rlds,ssp585,W m-2,mon,r11i1p1f1,MIROC6,2031,383.1681
17,rlds,ssp585,W m-2,mon,r11i1p1f1,MIROC6,2032,380.78662
18,rlds,ssp585,W m-2,mon,r11i1p1f1,MIROC6,2033,379.80505
19,rlds,ssp585,W m-2,mon,r11i1p1f1,MIROC6,2034,380.14725
20,rlds,ssp585,W m-2,mon,r11i1p1f1,MIROC6,2035,380.96835
21,rlds,ssp585,W m-2,mon,r11i1p1f1,MIROC6,2036,379.786
22,rlds,ssp585,W m-2,mon,r11i1p1f1,MIROC6,2037,380.86325
23,rlds,ssp585,W m-2,mon,r11i1p1f1,MIROC6,2038,382.8055
24,rlds,ssp585,W m-2,mon,r11i1p1f1,MIROC6,2039,384.25003
25,rlds,ssp585,W m-2,mon,r11i1p1f1,MIROC6,2040,382.39536
26,rlds,ssp585,W m-2,mon,r11i1p1f1,MIROC6,2041,381.01096
27,rlds,ssp585,W m-2,mon,r11i1p1f1,MIROC6,2042,381.73962
28,rlds,ssp585,W m-2,mon,r11i1p1f1,MIROC6,2043,384.07413
29,rlds,ssp585,W m-2,mon,r11i1p1f1,MIROC6,2044,384.80484
30,rlds,ssp585,W m-2,mon,r11i1p1f1,MIROC6,2045,381.2377
31,rlds,ssp585,W m-2,mon,r11i1p1f1,MIROC6,2046,381.46655
32,rlds,ssp585,W m-2,mon,r11i1p1f1,MIROC6,2047,383.62485
33,rlds,ssp585,W m-2,mon,r11i1p1f1,MIROC6,2048,385.39954
34,rlds,ssp585,W m-2,mon,r11i1p1f1,MIROC6,2049,387.1279
35,rlds,ssp585,W m-2,mon,r11i1p1f1,MIROC6,2050,384.35788
36,rlds,ssp585,W m-2,mon,r11i1p1f1,MIROC6,2051,382.2937
37,rlds,ssp585,W m-2,mon,r11i1p1f1,MIROC6,2052,383.87756
38,rlds,ssp585,W m-2,mon,r11i1p1f1,MIROC6,2053,385.63968
39,rlds,ssp585,W m-2,mon,r11i1p1f1,MIROC6,2054,388.91333
40,rlds,ssp585,W m-2,mon,r11i1p1f1,MIROC6,2055,387.63733
41,rlds,ssp585,W m-2,mon,r11i1p1f1,MIROC6,2056,384.48288
42,rlds,ssp585,W m-2,mon,r11i1p1f1,MIROC6,2057,384.2656
43,rlds,ssp585,W m-2,mon,r11i1p1f1,MIROC6,2058,385.58774
44,rlds,ssp585,W m-2,mon,r11i1p1f1,MIROC6,2059,387.13132
45,rlds,ssp585,W m-2,mon,r11i1p1f1,MIROC6,2060,389.20374
46,rlds,ssp585,W m-2,mon,r11i1p1f1,MIROC6,2061,386.48206
47,rlds,ssp585,W m-2,mon,r11i1p1f1,MIROC6,2062,386.37924
48,rlds,ssp585,W m-2,mon,r11i1p1f1,MIROC6,2063,387.1997
49,rlds,ssp585,W m-2,mon,r11i1p1f1,MIROC6,2064,390.43967
50,rlds,ssp585,W m-2,mon,r11i1p1f1,MIROC6,2065,389.0212
51,rlds,ssp585,W m-2,mon,r11i1p1f1,MIROC6,2066,390.27438
52,rlds,ssp585,W m-2,mon,r11i1p1f1,MIROC6,2067,391.52176
53,rlds,ssp585,W m-2,mon,r11i1p1f1,MIROC6,2068,387.3522
54,rlds,ssp585,W m-2,mon,r11i1p1f1,MIROC6,2069,387.47427
55,rlds,ssp585,W m-2,mon,r11i1p1f1,MIROC6,2070,390.04013
56,rlds,ssp585,W m-2,mon,r11i1p1f1,MIROC6,2071,392.5239
57,rlds,ssp585,W m-2,mon,r11i1p1f1,MIROC6,2072,389.8888
58,rlds,ssp585,W m-2,mon,r11i1p1f1,MIROC6,2073,389.4868
59,rlds,ssp585,W m-2,mon,r11i1p1f1,MIROC6,2074,390.31445
60,rlds,ssp585,W m-2,mon,r11i1p1f1,MIROC6,2075,391.9851
61,rlds,ssp585,W m-2,mon,r11i1p1f1,MIROC6,2076,393.71643
62,rlds,ssp585,W m-2,mon,r11i1p1f1,MIROC6,2077,391.92203
63,rlds,ssp585,W m-2,mon,r11i1p1f1,MIROC6,2078,391.1285
64,rlds,ssp585,W m-2,mon,r11i1p1f1,MIROC6,2079,392.31497
65,rlds,ssp585,W m-2,mon,r11i1p1f1,MIROC6,2080,394.39468
66,rlds,ssp585,W m-2,mon,r11i1p1f1,MIROC6,2081,394.69717
67,rlds,ssp585,W m-2,mon,r11i1p1f1,MIROC6,2082,394.98007
68,rlds,ssp585,W m-2,mon,r11i1p1f1,MIROC6,2083,392.01505
69,rlds,ssp585,W m-2,mon,r11i1p1f1,MIROC6,2084,393.04895
