,variable,experiment,units,frequency,ensemble,model,year,value
0,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2015,426.94128
1,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2016,426.01346
2,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2017,425.48022
3,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2018,425.40286
4,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2019,425.8292
5,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2020,425.50394
6,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2021,426.57773
7,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2022,427.0867
8,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2023,427.28568
9,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2024,426.36536
10,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2025,426.783
11,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2026,427.0953
12,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2027,427.82092
13,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2028,427.8757
14,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2029,427.83765
15,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2030,428.09494
16,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2031,428.4833
17,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2032,429.375
18,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2033,430.24146
19,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2034,429.1565
20,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2035,428.38712
21,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2036,428.79016
22,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2037,429.76993
23,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2038,430.18216
24,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2039,429.62363
25,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2040,430.3207
26,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2041,430.8779
27,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2042,430.0168
28,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2043,430.3983
29,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2044,430.7238
30,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2045,432.10782
31,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2046,431.52115
32,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2047,431.21204
33,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2048,432.06644
34,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2049,431.9625
35,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2050,432.06308
36,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2051,432.70752
37,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2052,432.32822
38,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2053,433.02597
39,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2054,432.99826
40,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2055,433.98508
41,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2056,433.65152
42,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2057,433.66333
43,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2058,434.22653
44,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2059,434.65915
45,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2060,435.43735
46,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2061,435.98746
47,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2062,435.23587
48,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2063,435.80783
49,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2064,436.65005
50,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2065,435.65393
51,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2066,436.0894
52,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2067,437.61935
53,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2068,438.9066
54,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2069,438.3248
55,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2070,437.51755
56,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2071,438.22617
57,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2072,438.97678
58,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2073,439.87088
59,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2074,439.80844
60,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2075,439.1276
61,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2076,439.4882
62,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2077,439.88022
63,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2078,439.99527
64,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2079,440.4424
65,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2080,440.53287
66,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2081,440.7777
67,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2082,441.63553
68,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2083,441.54565
69,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2084,441.90115
70,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2085,443.15503
71,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2086,442.3741
72,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2087,442.0515
73,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2088,443.1589
74,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2089,443.26465
75,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2090,443.08643
76,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2091,443.8378
77,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2092,444.5129
78,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2093,445.69897
79,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2094,445.07593
80,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2095,445.50076
81,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2096,446.18002
82,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2097,445.71643
83,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2098,445.5161
84,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2099,446.67343
85,rlus,ssp370,W m-2,mon,r4i1p1f1,CanESM5,2100,446.64395
