,variable,experiment,units,frequency,ensemble,model,year,value
0,rsds,ssp585,W m-2,mon,r15i1p1f1,CanESM5,2015,197.0865
1,rsds,ssp585,W m-2,mon,r15i1p1f1,CanESM5,2016,196.73628
2,rsds,ssp585,W m-2,mon,r15i1p1f1,CanESM5,2017,198.2548
3,rsds,ssp585,W m-2,mon,r15i1p1f1,CanESM5,2018,198.01231
4,rsds,ssp585,W m-2,mon,r15i1p1f1,CanESM5,2019,197.82057
5,rsds,ssp585,W m-2,mon,r15i1p1f1,CanESM5,2020,198.37872
6,rsds,ssp585,W m-2,mon,r15i1p1f1,CanESM5,2021,197.84459
7,rsds,ssp585,W m-2,mon,r15i1p1f1,CanESM5,2022,197.57097
8,rsds,ssp585,W m-2,mon,r15i1p1f1,CanESM5,2023,198.49109
9,rsds,ssp585,W m-2,mon,r15i1p1f1,CanESM5,2024,197.56587
10,rsds,ssp585,W m-2,mon,r15i1p1f1,CanESM5,2025,197.00043
11,rsds,ssp585,W m-2,mon,r15i1p1f1,CanESM5,2026,197.59741
12,rsds,ssp585,W m-2,mon,r15i1p1f1,CanESM5,2027,196.9828
13,rsds,ssp585,W m-2,mon,r15i1p1f1,CanESM5,2028,197.86108
14,rsds,ssp585,W m-2,mon,r15i1p1f1,CanESM5,2029,197.97493
15,rsds,ssp585,W m-2,mon,r15i1p1f1,CanESM5,2030,197.86237
16,rsds,ssp585,W m-2,mon,r15i1p1f1,CanESM5,2031,198.03717
17,rsds,ssp585,W m-2,mon,r15i1p1f1,CanESM5,2032,198.20177
18,rsds,ssp585,W m-2,mon,r15i1p1f1,CanESM5,2033,198.32808
19,rsds,ssp585,W m-2,mon,r15i1p1f1,CanESM5,2034,197.44354
20,rsds,ssp585,W m-2,mon,r15i1p1f1,CanESM5,2035,198.40471
21,rsds,ssp585,W m-2,mon,r15i1p1f1,CanESM5,2036,197.51897
22,rsds,ssp585,W m-2,mon,r15i1p1f1,CanESM5,2037,197.65105
23,rsds,ssp585,W m-2,mon,r15i1p1f1,CanESM5,2038,198.07521
24,rsds,ssp585,W m-2,mon,r15i1p1f1,CanESM5,2039,198.18506
25,rsds,ssp585,W m-2,mon,r15i1p1f1,CanESM5,2040,197.56465
26,rsds,ssp585,W m-2,mon,r15i1p1f1,CanESM5,2041,197.87982
27,rsds,ssp585,W m-2,mon,r15i1p1f1,CanESM5,2042,198.0189
28,rsds,ssp585,W m-2,mon,r15i1p1f1,CanESM5,2043,198.00476
