,variable,experiment,units,frequency,ensemble,model,year,value
0,rsds,1pctCO2,W m-2,mon,r102i1p1f1,GISS-E2-1-G,1850,202.03687
1,rsds,1pctCO2,W m-2,mon,r102i1p1f1,GISS-E2-1-G,1851,201.97932
2,rsds,1pctCO2,W m-2,mon,r102i1p1f1,GISS-E2-1-G,1852,202.59456
3,rsds,1pctCO2,W m-2,mon,r102i1p1f1,GISS-E2-1-G,1853,201.92401
4,rsds,1pctCO2,W m-2,mon,r102i1p1f1,GISS-E2-1-G,1854,201.76985
5,rsds,1pctCO2,W m-2,mon,r102i1p1f1,GISS-E2-1-G,1855,202.46278
6,rsds,1pctCO2,W m-2,mon,r102i1p1f1,GISS-E2-1-G,1856,202.45985
7,rsds,1pctCO2,W m-2,mon,r102i1p1f1,GISS-E2-1-G,1857,201.83675
8,rsds,1pctCO2,W m-2,mon,r102i1p1f1,GISS-E2-1-G,1858,201.24109
9,rsds,1pctCO2,W m-2,mon,r102i1p1f1,GISS-E2-1-G,1859,202.39427
10,rsds,1pctCO2,W m-2,mon,r102i1p1f1,GISS-E2-1-G,1860,202.23885
11,rsds,1pctCO2,W m-2,mon,r102i1p1f1,GISS-E2-1-G,1861,201.65627
12,rsds,1pctCO2,W m-2,mon,r102i1p1f1,GISS-E2-1-G,1862,201.54765
13,rsds,1pctCO2,W m-2,mon,r102i1p1f1,GISS-E2-1-G,1863,202.04588
14,rsds,1pctCO2,W m-2,mon,r102i1p1f1,GISS-E2-1-G,1864,200.96251
15,rsds,1pctCO2,W m-2,mon,r102i1p1f1,GISS-E2-1-G,1865,201.15623
16,rsds,1pctCO2,W m-2,mon,r102i1p1f1,GISS-E2-1-G,1866,201.12486
17,rsds,1pctCO2,W m-2,mon,r102i1p1f1,GISS-E2-1-G,1867,200.89622
18,rsds,1pctCO2,W m-2,mon,r102i1p1f1,GISS-E2-1-G,1868,202.72542
19,rsds,1pctCO2,W m-2,mon,r102i1p1f1,GISS-E2-1-G,1869,202.58629
20,rsds,1pctCO2,W m-2,mon,r102i1p1f1,GISS-E2-1-G,1870,201.86385
21,rsds,1pctCO2,W m-2,mon,r102i1p1f1,GISS-E2-1-G,1871,201.22215
22,rsds,1pctCO2,W m-2,mon,r102i1p1f1,GISS-E2-1-G,1872,200.82135
23,rsds,1pctCO2,W m-2,mon,r102i1p1f1,GISS-E2-1-G,1873,201.88878
24,rsds,1pctCO2,W m-2,mon,r102i1p1f1,GISS-E2-1-G,1874,201.47583
25,rsds,1pctCO2,W m-2,mon,r102i1p1f1,GISS-E2-1-G,1875,201.16205
26,rsds,1pctCO2,W m-2,mon,r102i1p1f1,GISS-E2-1-G,1876,201.20052
27,rsds,1pctCO2,W m-2,mon,r102i1p1f1,GISS-E2-1-G,1877,200.52586
28,rsds,1pctCO2,W m-2,mon,r102i1p1f1,GISS-E2-1-G,1878,200.38698
29,rsds,1pctCO2,W m-2,mon,r102i1p1f1,GISS-E2-1-G,1879,201.30035
30,rsds,1pctCO2,W m-2,mon,r102i1p1f1,GISS-E2-1-G,1880,201.49492
31,rsds,1pctCO2,W m-2,mon,r102i1p1f1,GISS-E2-1-G,1881,200.44495
32,rsds,1pctCO2,W m-2,mon,r102i1p1f1,GISS-E2-1-G,1882,200.46185
33,rsds,1pctCO2,W m-2,mon,r102i1p1f1,GISS-E2-1-G,1883,200.10246
34,rsds,1pctCO2,W m-2,mon,r102i1p1f1,GISS-E2-1-G,1884,200.85909
35,rsds,1pctCO2,W m-2,mon,r102i1p1f1,GISS-E2-1-G,1885,200.25946
36,rsds,1pctCO2,W m-2,mon,r102i1p1f1,GISS-E2-1-G,1886,199.71654
37,rsds,1pctCO2,W m-2,mon,r102i1p1f1,GISS-E2-1-G,1887,201.03197
38,rsds,1pctCO2,W m-2,mon,r102i1p1f1,GISS-E2-1-G,1888,201.18933
39,rsds,1pctCO2,W m-2,mon,r102i1p1f1,GISS-E2-1-G,1889,200.05159
40,rsds,1pctCO2,W m-2,mon,r102i1p1f1,GISS-E2-1-G,1890,199.85956
41,rsds,1pctCO2,W m-2,mon,r102i1p1f1,GISS-E2-1-G,1891,200.41011
42,rsds,1pctCO2,W m-2,mon,r102i1p1f1,GISS-E2-1-G,1892,201.18048
43,rsds,1pctCO2,W m-2,mon,r102i1p1f1,GISS-E2-1-G,1893,201.60896
44,rsds,1pctCO2,W m-2,mon,r102i1p1f1,GISS-E2-1-G,1894,200.01881
45,rsds,1pctCO2,W m-2,mon,r102i1p1f1,GISS-E2-1-G,1895,199.46596
