,variable,experiment,units,frequency,ensemble,model,year,value
0,rsds,ssp370,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2015,204.02698
1,rsds,ssp370,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2016,203.84508
2,rsds,ssp370,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2017,203.71358
3,rsds,ssp370,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2018,203.67485
4,rsds,ssp370,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2019,204.4778
5,rsds,ssp370,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2020,203.28487
6,rsds,ssp370,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2021,203.26923
7,rsds,ssp370,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2022,204.16315
8,rsds,ssp370,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2023,203.82603
9,rsds,ssp370,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2024,204.46753
10,rsds,ssp370,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2025,203.73991
11,rsds,ssp370,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2026,203.77153
12,rsds,ssp370,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2027,203.95955
13,rsds,ssp370,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2028,204.71991
14,rsds,ssp370,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2029,203.79906
15,rsds,ssp370,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2030,204.23761
16,rsds,ssp370,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2031,203.63509
17,rsds,ssp370,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2032,204.34557
18,rsds,ssp370,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2033,204.61253
19,rsds,ssp370,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2034,204.5482
20,rsds,ssp370,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2035,204.37537
21,rsds,ssp370,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2036,204.48805
22,rsds,ssp370,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2037,205.12535
23,rsds,ssp370,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2038,204.43665
24,rsds,ssp370,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2039,204.63869
25,rsds,ssp370,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2040,204.88701
26,rsds,ssp370,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2041,204.48846
27,rsds,ssp370,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2042,204.58214
28,rsds,ssp370,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2043,205.25769
29,rsds,ssp370,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2044,204.60161
30,rsds,ssp370,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2045,204.88881
31,rsds,ssp370,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2046,204.81384
32,rsds,ssp370,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2047,205.07747
33,rsds,ssp370,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2048,204.39375
34,rsds,ssp370,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2049,204.71362
35,rsds,ssp370,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2050,204.84895
36,rsds,ssp370,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2051,205.35963
37,rsds,ssp370,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2052,204.76959
38,rsds,ssp370,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2053,205.0058
39,rsds,ssp370,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2054,204.87227
40,rsds,ssp370,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2055,205.10199
41,rsds,ssp370,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2056,205.1598
42,rsds,ssp370,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2057,205.22643
43,rsds,ssp370,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2058,205.12471
44,rsds,ssp370,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2059,205.11348
45,rsds,ssp370,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2060,205.55974
46,rsds,ssp370,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2061,205.0959
47,rsds,ssp370,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2062,205.65434
48,rsds,ssp370,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2063,205.59882
49,rsds,ssp370,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2064,205.35854
50,rsds,ssp370,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2065,205.23207
51,rsds,ssp370,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2066,205.72414
52,rsds,ssp370,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2067,205.54924
53,rsds,ssp370,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2068,205.38843
54,rsds,ssp370,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2069,205.65308
55,rsds,ssp370,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2070,205.61964
56,rsds,ssp370,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2071,205.76482
57,rsds,ssp370,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2072,205.26025
58,rsds,ssp370,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2073,205.88823
59,rsds,ssp370,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2074,205.79103
60,rsds,ssp370,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2075,205.99559
61,rsds,ssp370,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2076,206.10872
62,rsds,ssp370,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2077,205.97974
63,rsds,ssp370,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2078,206.38509
64,rsds,ssp370,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2079,205.88226
65,rsds,ssp370,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2080,205.75757
66,rsds,ssp370,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2081,205.83913
67,rsds,ssp370,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2082,206.14565
68,rsds,ssp370,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2083,206.16139
69,rsds,ssp370,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2084,206.2494
70,rsds,ssp370,W m-2,mon,r2i1p1f2,UKESM1-0-LL,2085,205.94606
