,variable,experiment,units,frequency,ensemble,model,year,value
0,rsus,abrupt-4xCO2,W m-2,mon,r1i1p1f1,CESM2-FV2,0001,11.972519
1,rsus,abrupt-4xCO2,W m-2,mon,r1i1p1f1,CESM2-FV2,0002,11.6766405
2,rsus,abrupt-4xCO2,W m-2,mon,r1i1p1f1,CESM2-FV2,0003,11.494743
3,rsus,abrupt-4xCO2,W m-2,mon,r1i1p1f1,CESM2-FV2,0004,11.430228
4,rsus,abrupt-4xCO2,W m-2,mon,r1i1p1f1,CESM2-FV2,0005,11.310105
5,rsus,abrupt-4xCO2,W m-2,mon,r1i1p1f1,CESM2-FV2,0006,11.371726
6,rsus,abrupt-4xCO2,W m-2,mon,r1i1p1f1,CESM2-FV2,0007,11.248085
7,rsus,abrupt-4xCO2,W m-2,mon,r1i1p1f1,CESM2-FV2,0008,11.25938
8,rsus,abrupt-4xCO2,W m-2,mon,r1i1p1f1,CESM2-FV2,0009,11.157756
9,rsus,abrupt-4xCO2,W m-2,mon,r1i1p1f1,CESM2-FV2,0010,11.108972
10,rsus,abrupt-4xCO2,W m-2,mon,r1i1p1f1,CESM2-FV2,0011,11.112033
11,rsus,abrupt-4xCO2,W m-2,mon,r1i1p1f1,CESM2-FV2,0012,11.199201
12,rsus,abrupt-4xCO2,W m-2,mon,r1i1p1f1,CESM2-FV2,0013,11.2188835
13,rsus,abrupt-4xCO2,W m-2,mon,r1i1p1f1,CESM2-FV2,0014,11.1125555
14,rsus,abrupt-4xCO2,W m-2,mon,r1i1p1f1,CESM2-FV2,0015,11.094409
15,rsus,abrupt-4xCO2,W m-2,mon,r1i1p1f1,CESM2-FV2,0016,11.148412
16,rsus,abrupt-4xCO2,W m-2,mon,r1i1p1f1,CESM2-FV2,0017,11.091786
17,rsus,abrupt-4xCO2,W m-2,mon,r1i1p1f1,CESM2-FV2,0018,10.960342
18,rsus,abrupt-4xCO2,W m-2,mon,r1i1p1f1,CESM2-FV2,0019,11.011527
19,rsus,abrupt-4xCO2,W m-2,mon,r1i1p1f1,CESM2-FV2,0020,10.98109
20,rsus,abrupt-4xCO2,W m-2,mon,r1i1p1f1,CESM2-FV2,0021,10.98475
21,rsus,abrupt-4xCO2,W m-2,mon,r1i1p1f1,CESM2-FV2,0022,11.026958
22,rsus,abrupt-4xCO2,W m-2,mon,r1i1p1f1,CESM2-FV2,0023,10.9464
23,rsus,abrupt-4xCO2,W m-2,mon,r1i1p1f1,CESM2-FV2,0024,10.934699
24,rsus,abrupt-4xCO2,W m-2,mon,r1i1p1f1,CESM2-FV2,0025,10.987561
25,rsus,abrupt-4xCO2,W m-2,mon,r1i1p1f1,CESM2-FV2,0026,10.936757
26,rsus,abrupt-4xCO2,W m-2,mon,r1i1p1f1,CESM2-FV2,0027,10.932424
27,rsus,abrupt-4xCO2,W m-2,mon,r1i1p1f1,CESM2-FV2,0028,10.959472
28,rsus,abrupt-4xCO2,W m-2,mon,r1i1p1f1,CESM2-FV2,0029,10.933429
29,rsus,abrupt-4xCO2,W m-2,mon,r1i1p1f1,CESM2-FV2,0030,10.930224
30,rsus,abrupt-4xCO2,W m-2,mon,r1i1p1f1,CESM2-FV2,0031,10.880666
31,rsus,abrupt-4xCO2,W m-2,mon,r1i1p1f1,CESM2-FV2,0032,10.876832
32,rsus,abrupt-4xCO2,W m-2,mon,r1i1p1f1,CESM2-FV2,0033,10.929492
33,rsus,abrupt-4xCO2,W m-2,mon,r1i1p1f1,CESM2-FV2,0034,10.931539
34,rsus,abrupt-4xCO2,W m-2,mon,r1i1p1f1,CESM2-FV2,0035,10.928473
35,rsus,abrupt-4xCO2,W m-2,mon,r1i1p1f1,CESM2-FV2,0036,10.910359
36,rsus,abrupt-4xCO2,W m-2,mon,r1i1p1f1,CESM2-FV2,0037,10.935769
37,rsus,abrupt-4xCO2,W m-2,mon,r1i1p1f1,CESM2-FV2,0038,10.905365
38,rsus,abrupt-4xCO2,W m-2,mon,r1i1p1f1,CESM2-FV2,0039,10.941871
39,rsus,abrupt-4xCO2,W m-2,mon,r1i1p1f1,CESM2-FV2,0040,10.911716
40,rsus,abrupt-4xCO2,W m-2,mon,r1i1p1f1,CESM2-FV2,0041,10.880192
41,rsus,abrupt-4xCO2,W m-2,mon,r1i1p1f1,CESM2-FV2,0042,10.803889
42,rsus,abrupt-4xCO2,W m-2,mon,r1i1p1f1,CESM2-FV2,0043,10.960533
43,rsus,abrupt-4xCO2,W m-2,mon,r1i1p1f1,CESM2-FV2,0044,10.948723
44,rsus,abrupt-4xCO2,W m-2,mon,r1i1p1f1,CESM2-FV2,0045,10.940648
45,rsus,abrupt-4xCO2,W m-2,mon,r1i1p1f1,CESM2-FV2,0046,10.921134
46,rsus,abrupt-4xCO2,W m-2,mon,r1i1p1f1,CESM2-FV2,0047,10.881692
47,rsus,abrupt-4xCO2,W m-2,mon,r1i1p1f1,CESM2-FV2,0048,10.897437
48,rsus,abrupt-4xCO2,W m-2,mon,r1i1p1f1,CESM2-FV2,0049,10.869906
49,rsus,abrupt-4xCO2,W m-2,mon,r1i1p1f1,CESM2-FV2,0050,10.904056
50,rsus,abrupt-4xCO2,W m-2,mon,r1i1p1f1,CESM2-FV2,0051,10.86518
51,rsus,abrupt-4xCO2,W m-2,mon,r1i1p1f1,CESM2-FV2,0052,10.860574
52,rsus,abrupt-4xCO2,W m-2,mon,r1i1p1f1,CESM2-FV2,0053,10.840499
53,rsus,abrupt-4xCO2,W m-2,mon,r1i1p1f1,CESM2-FV2,0054,10.860383
54,rsus,abrupt-4xCO2,W m-2,mon,r1i1p1f1,CESM2-FV2,0055,10.860026
55,rsus,abrupt-4xCO2,W m-2,mon,r1i1p1f1,CESM2-FV2,0056,10.921512
56,rsus,abrupt-4xCO2,W m-2,mon,r1i1p1f1,CESM2-FV2,0057,10.840322
57,rsus,abrupt-4xCO2,W m-2,mon,r1i1p1f1,CESM2-FV2,0058,10.830976
58,rsus,abrupt-4xCO2,W m-2,mon,r1i1p1f1,CESM2-FV2,0059,10.830182
59,rsus,abrupt-4xCO2,W m-2,mon,r1i1p1f1,CESM2-FV2,0060,10.873109
60,rsus,abrupt-4xCO2,W m-2,mon,r1i1p1f1,CESM2-FV2,0061,10.838012
61,rsus,abrupt-4xCO2,W m-2,mon,r1i1p1f1,CESM2-FV2,0062,10.870578
62,rsus,abrupt-4xCO2,W m-2,mon,r1i1p1f1,CESM2-FV2,0063,10.836894
63,rsus,abrupt-4xCO2,W m-2,mon,r1i1p1f1,CESM2-FV2,0064,10.776063
64,rsus,abrupt-4xCO2,W m-2,mon,r1i1p1f1,CESM2-FV2,0065,10.746444
