,variable,experiment,units,frequency,ensemble,model,year,value
0,rsus,ssp245,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2015,10.989352
1,rsus,ssp245,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2016,10.95054
2,rsus,ssp245,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2017,10.936408
3,rsus,ssp245,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2018,11.04258
4,rsus,ssp245,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2019,11.095848
5,rsus,ssp245,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2020,11.020556
6,rsus,ssp245,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2021,11.089286
7,rsus,ssp245,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2022,11.004025
8,rsus,ssp245,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2023,11.018512
9,rsus,ssp245,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2024,10.976506
10,rsus,ssp245,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2025,10.988568
11,rsus,ssp245,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2026,10.992755
12,rsus,ssp245,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2027,11.014674
13,rsus,ssp245,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2028,10.93639
14,rsus,ssp245,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2029,10.959122
15,rsus,ssp245,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2030,10.89755
16,rsus,ssp245,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2031,11.011562
17,rsus,ssp245,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2032,10.987597
18,rsus,ssp245,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2033,10.973026
19,rsus,ssp245,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2034,10.950601
20,rsus,ssp245,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2035,10.944716
21,rsus,ssp245,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2036,10.910916
22,rsus,ssp245,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2037,10.915654
23,rsus,ssp245,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2038,10.942139
24,rsus,ssp245,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2039,10.9464035
25,rsus,ssp245,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2040,10.895091
26,rsus,ssp245,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2041,10.950092
27,rsus,ssp245,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2042,10.902695
28,rsus,ssp245,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2043,10.934849
29,rsus,ssp245,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2044,10.86424
30,rsus,ssp245,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2045,10.966259
31,rsus,ssp245,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2046,10.963439
32,rsus,ssp245,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2047,10.929206
33,rsus,ssp245,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2048,10.893264
34,rsus,ssp245,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2049,10.832813
35,rsus,ssp245,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2050,10.859523
36,rsus,ssp245,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2051,10.923551
37,rsus,ssp245,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2052,10.855003
38,rsus,ssp245,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2053,10.827279
39,rsus,ssp245,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2054,10.871121
40,rsus,ssp245,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2055,10.830308
41,rsus,ssp245,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2056,10.869136
42,rsus,ssp245,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2057,10.854339
43,rsus,ssp245,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2058,10.801105
44,rsus,ssp245,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2059,10.850341
45,rsus,ssp245,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2060,10.833908
46,rsus,ssp245,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2061,10.896857
47,rsus,ssp245,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2062,10.860668
48,rsus,ssp245,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2063,10.776282
49,rsus,ssp245,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,2064,10.84005
