,variable,experiment,units,frequency,ensemble,model,year,value
0,hfls,historical,W m-2,mon,r2i1p1f1,CESM2-WACCM-FV2,1850,113.72952
1,hfls,historical,W m-2,mon,r2i1p1f1,CESM2-WACCM-FV2,1851,113.50809
2,hfls,historical,W m-2,mon,r2i1p1f1,CESM2-WACCM-FV2,1852,114.9813
3,hfls,historical,W m-2,mon,r2i1p1f1,CESM2-WACCM-FV2,1853,112.90051
4,hfls,historical,W m-2,mon,r2i1p1f1,CESM2-WACCM-FV2,1854,114.178444
5,hfls,historical,W m-2,mon,r2i1p1f1,CESM2-WACCM-FV2,1855,115.3173
6,hfls,historical,W m-2,mon,r2i1p1f1,CESM2-WACCM-FV2,1856,114.173775
7,hfls,historical,W m-2,mon,r2i1p1f1,CESM2-WACCM-FV2,1857,114.262794
8,hfls,historical,W m-2,mon,r2i1p1f1,CESM2-WACCM-FV2,1858,114.85447
9,hfls,historical,W m-2,mon,r2i1p1f1,CESM2-WACCM-FV2,1859,114.23229
10,hfls,historical,W m-2,mon,r2i1p1f1,CESM2-WACCM-FV2,1860,114.36242
11,hfls,historical,W m-2,mon,r2i1p1f1,CESM2-WACCM-FV2,1861,114.88412
12,hfls,historical,W m-2,mon,r2i1p1f1,CESM2-WACCM-FV2,1862,114.920105
13,hfls,historical,W m-2,mon,r2i1p1f1,CESM2-WACCM-FV2,1863,114.509895
14,hfls,historical,W m-2,mon,r2i1p1f1,CESM2-WACCM-FV2,1864,113.92151
15,hfls,historical,W m-2,mon,r2i1p1f1,CESM2-WACCM-FV2,1865,114.48782
16,hfls,historical,W m-2,mon,r2i1p1f1,CESM2-WACCM-FV2,1866,114.12267
17,hfls,historical,W m-2,mon,r2i1p1f1,CESM2-WACCM-FV2,1867,113.98388
18,hfls,historical,W m-2,mon,r2i1p1f1,CESM2-WACCM-FV2,1868,114.82266
19,hfls,historical,W m-2,mon,r2i1p1f1,CESM2-WACCM-FV2,1869,115.264465
20,hfls,historical,W m-2,mon,r2i1p1f1,CESM2-WACCM-FV2,1870,113.651825
21,hfls,historical,W m-2,mon,r2i1p1f1,CESM2-WACCM-FV2,1871,114.1096
22,hfls,historical,W m-2,mon,r2i1p1f1,CESM2-WACCM-FV2,1872,113.86844
23,hfls,historical,W m-2,mon,r2i1p1f1,CESM2-WACCM-FV2,1873,114.02317
24,hfls,historical,W m-2,mon,r2i1p1f1,CESM2-WACCM-FV2,1874,114.62198
25,hfls,historical,W m-2,mon,r2i1p1f1,CESM2-WACCM-FV2,1875,114.739235
26,hfls,historical,W m-2,mon,r2i1p1f1,CESM2-WACCM-FV2,1876,115.21836
27,hfls,historical,W m-2,mon,r2i1p1f1,CESM2-WACCM-FV2,1877,114.18874
28,hfls,historical,W m-2,mon,r2i1p1f1,CESM2-WACCM-FV2,1878,114.94268
