,variable,experiment,units,frequency,ensemble,model,year,value
0,hfls,historical,W m-2,mon,r9i1p1f2,CNRM-ESM2-1,1850,114.12115
1,hfls,historical,W m-2,mon,r9i1p1f2,CNRM-ESM2-1,1851,115.525635
2,hfls,historical,W m-2,mon,r9i1p1f2,CNRM-ESM2-1,1852,114.93298
3,hfls,historical,W m-2,mon,r9i1p1f2,CNRM-ESM2-1,1853,114.357445
4,hfls,historical,W m-2,mon,r9i1p1f2,CNRM-ESM2-1,1854,115.24393
5,hfls,historical,W m-2,mon,r9i1p1f2,CNRM-ESM2-1,1855,114.53634
6,hfls,historical,W m-2,mon,r9i1p1f2,CNRM-ESM2-1,1856,113.90133
7,hfls,historical,W m-2,mon,r9i1p1f2,CNRM-ESM2-1,1857,115.34243
8,hfls,historical,W m-2,mon,r9i1p1f2,CNRM-ESM2-1,1858,115.201996
9,hfls,historical,W m-2,mon,r9i1p1f2,CNRM-ESM2-1,1859,115.07175
10,hfls,historical,W m-2,mon,r9i1p1f2,CNRM-ESM2-1,1860,115.54911
11,hfls,historical,W m-2,mon,r9i1p1f2,CNRM-ESM2-1,1861,115.0304
12,hfls,historical,W m-2,mon,r9i1p1f2,CNRM-ESM2-1,1862,115.21853
13,hfls,historical,W m-2,mon,r9i1p1f2,CNRM-ESM2-1,1863,114.199524
14,hfls,historical,W m-2,mon,r9i1p1f2,CNRM-ESM2-1,1864,114.59997
15,hfls,historical,W m-2,mon,r9i1p1f2,CNRM-ESM2-1,1865,114.54676
16,hfls,historical,W m-2,mon,r9i1p1f2,CNRM-ESM2-1,1866,115.26411
17,hfls,historical,W m-2,mon,r9i1p1f2,CNRM-ESM2-1,1867,114.51602
18,hfls,historical,W m-2,mon,r9i1p1f2,CNRM-ESM2-1,1868,114.31928
19,hfls,historical,W m-2,mon,r9i1p1f2,CNRM-ESM2-1,1869,114.79052
20,hfls,historical,W m-2,mon,r9i1p1f2,CNRM-ESM2-1,1870,115.32368
21,hfls,historical,W m-2,mon,r9i1p1f2,CNRM-ESM2-1,1871,114.78298
22,hfls,historical,W m-2,mon,r9i1p1f2,CNRM-ESM2-1,1872,115.09409
23,hfls,historical,W m-2,mon,r9i1p1f2,CNRM-ESM2-1,1873,115.37777
24,hfls,historical,W m-2,mon,r9i1p1f2,CNRM-ESM2-1,1874,114.20808
25,hfls,historical,W m-2,mon,r9i1p1f2,CNRM-ESM2-1,1875,115.04889
26,hfls,historical,W m-2,mon,r9i1p1f2,CNRM-ESM2-1,1876,114.72809
27,hfls,historical,W m-2,mon,r9i1p1f2,CNRM-ESM2-1,1877,114.30547
28,hfls,historical,W m-2,mon,r9i1p1f2,CNRM-ESM2-1,1878,114.95907
29,hfls,historical,W m-2,mon,r9i1p1f2,CNRM-ESM2-1,1879,114.31541
30,hfls,historical,W m-2,mon,r9i1p1f2,CNRM-ESM2-1,1880,114.95175
31,hfls,historical,W m-2,mon,r9i1p1f2,CNRM-ESM2-1,1881,114.92544
