,variable,experiment,units,frequency,ensemble,model,year,value
0,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1850,109.53067
1,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1851,108.80482
2,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1852,109.30145
3,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1853,108.839966
4,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1854,108.75379
5,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1855,109.37485
6,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1856,109.55575
7,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1857,108.42255
8,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1858,108.93046
9,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1859,109.3136
10,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1860,109.65774
11,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1861,108.76873
12,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1862,108.53531
13,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1863,109.26743
14,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1864,108.9222
15,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1865,108.71992
16,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1866,108.48206
17,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1867,109.32938
18,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1868,109.30219
19,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1869,109.15274
20,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1870,109.01853
21,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1871,109.45917
22,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1872,108.98127
23,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1873,108.63752
24,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1874,109.24764
25,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1875,109.06316
26,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1876,108.88812
27,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1877,109.508995
28,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1878,109.22263
29,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1879,109.41675
30,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1880,108.97845
31,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1881,108.81396
32,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1882,108.49615
33,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1883,108.19678
34,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1884,107.33762
35,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1885,107.53602
36,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1886,108.29059
37,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1887,107.98914
38,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1888,108.055725
39,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1889,109.0658
40,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1890,108.6833
41,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1891,109.17029
42,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1892,108.92984
43,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1893,109.11495
44,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1894,108.594475
45,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1895,109.10764
46,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1896,109.01031
47,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1897,108.77697
48,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1898,108.719086
49,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1899,108.64724
50,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1900,108.51452
51,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1901,109.227684
52,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1902,108.73749
53,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1903,108.55714
54,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1904,109.07473
55,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1905,108.86123
56,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1906,108.71322
57,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1907,108.90087
58,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1908,109.33273
59,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1909,109.27304
60,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1910,108.83897
61,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1911,109.8631
62,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1912,109.50794
63,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1913,108.48318
64,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1914,108.95603
65,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1915,109.65876
66,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1916,108.642296
67,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1917,109.44449
68,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1918,109.51605
69,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1919,109.247215
70,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1920,108.844246
71,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1921,109.08138
72,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1922,108.911
73,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1923,109.37788
74,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1924,109.10076
75,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1925,109.26428
76,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1926,109.342285
77,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1927,108.836296
78,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1928,109.492836
79,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1929,109.13343
80,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1930,109.24348
81,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1931,109.110634
82,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1932,109.295815
83,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1933,109.73016
84,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1934,108.86219
85,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1935,109.26278
86,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1936,108.915886
87,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1937,109.23324
88,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1938,109.22689
89,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1939,109.48411
90,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1940,109.40335
91,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1941,109.26423
92,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1942,110.03944
93,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1943,109.09244
94,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1944,108.598145
95,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1945,108.90985
96,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1946,108.988045
97,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1947,109.19372
98,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1948,109.62952
99,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1949,109.62751
100,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1950,109.31281
101,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1951,108.92805
102,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1952,109.24499
103,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1953,108.672455
104,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1954,109.273224
105,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1955,109.00878
106,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1956,108.4526
107,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1957,108.679115
108,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1958,108.892876
109,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1959,109.268166
110,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1960,108.82718
111,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1961,109.45618
112,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1962,109.22095
113,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1963,108.25039
114,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1964,108.13779
115,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1965,108.987335
116,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1966,108.75478
117,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1967,108.50219
118,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1968,108.18329
119,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1969,108.60792
120,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1970,109.10245
121,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1971,108.99348
122,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1972,108.819786
123,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1973,108.635284
124,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1974,109.46936
125,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1975,109.31913
126,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1976,109.19427
127,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1977,108.5207
128,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1978,109.22406
129,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1979,108.85315
130,hfls,historical,W m-2,mon,r1i1p2f1,CanESM5-CanOE,1980,108.82377
