,variable,experiment,units,frequency,ensemble,model,year,value
0,hfls,historical,W m-2,mon,r9i1p1f1,CanESM5,1850,109.224335
1,hfls,historical,W m-2,mon,r9i1p1f1,CanESM5,1851,109.38442
2,hfls,historical,W m-2,mon,r9i1p1f1,CanESM5,1852,108.98618
3,hfls,historical,W m-2,mon,r9i1p1f1,CanESM5,1853,108.71093
4,hfls,historical,W m-2,mon,r9i1p1f1,CanESM5,1854,109.61085
5,hfls,historical,W m-2,mon,r9i1p1f1,CanESM5,1855,109.50637
6,hfls,historical,W m-2,mon,r9i1p1f1,CanESM5,1856,109.49753
7,hfls,historical,W m-2,mon,r9i1p1f1,CanESM5,1857,108.93293
8,hfls,historical,W m-2,mon,r9i1p1f1,CanESM5,1858,108.70527
9,hfls,historical,W m-2,mon,r9i1p1f1,CanESM5,1859,109.71526
10,hfls,historical,W m-2,mon,r9i1p1f1,CanESM5,1860,109.59724
11,hfls,historical,W m-2,mon,r9i1p1f1,CanESM5,1861,108.72244
12,hfls,historical,W m-2,mon,r9i1p1f1,CanESM5,1862,109.11923
13,hfls,historical,W m-2,mon,r9i1p1f1,CanESM5,1863,109.15368
14,hfls,historical,W m-2,mon,r9i1p1f1,CanESM5,1864,108.23947
15,hfls,historical,W m-2,mon,r9i1p1f1,CanESM5,1865,109.119995
16,hfls,historical,W m-2,mon,r9i1p1f1,CanESM5,1866,109.85068
17,hfls,historical,W m-2,mon,r9i1p1f1,CanESM5,1867,109.5199
18,hfls,historical,W m-2,mon,r9i1p1f1,CanESM5,1868,109.2171
19,hfls,historical,W m-2,mon,r9i1p1f1,CanESM5,1869,109.105255
20,hfls,historical,W m-2,mon,r9i1p1f1,CanESM5,1870,108.57153
21,hfls,historical,W m-2,mon,r9i1p1f1,CanESM5,1871,108.60818
22,hfls,historical,W m-2,mon,r9i1p1f1,CanESM5,1872,108.89707
23,hfls,historical,W m-2,mon,r9i1p1f1,CanESM5,1873,108.81601
24,hfls,historical,W m-2,mon,r9i1p1f1,CanESM5,1874,109.168144
25,hfls,historical,W m-2,mon,r9i1p1f1,CanESM5,1875,110.08199
26,hfls,historical,W m-2,mon,r9i1p1f1,CanESM5,1876,109.19724
27,hfls,historical,W m-2,mon,r9i1p1f1,CanESM5,1877,109.37949
28,hfls,historical,W m-2,mon,r9i1p1f1,CanESM5,1878,109.928246
29,hfls,historical,W m-2,mon,r9i1p1f1,CanESM5,1879,109.848175
30,hfls,historical,W m-2,mon,r9i1p1f1,CanESM5,1880,108.9116
31,hfls,historical,W m-2,mon,r9i1p1f1,CanESM5,1881,109.172935
32,hfls,historical,W m-2,mon,r9i1p1f1,CanESM5,1882,109.64962
33,hfls,historical,W m-2,mon,r9i1p1f1,CanESM5,1883,109.00778
34,hfls,historical,W m-2,mon,r9i1p1f1,CanESM5,1884,107.38794
35,hfls,historical,W m-2,mon,r9i1p1f1,CanESM5,1885,108.7411
36,hfls,historical,W m-2,mon,r9i1p1f1,CanESM5,1886,108.569145
37,hfls,historical,W m-2,mon,r9i1p1f1,CanESM5,1887,108.82505
38,hfls,historical,W m-2,mon,r9i1p1f1,CanESM5,1888,108.54916
39,hfls,historical,W m-2,mon,r9i1p1f1,CanESM5,1889,109.50832
40,hfls,historical,W m-2,mon,r9i1p1f1,CanESM5,1890,109.32244
41,hfls,historical,W m-2,mon,r9i1p1f1,CanESM5,1891,108.972046
42,hfls,historical,W m-2,mon,r9i1p1f1,CanESM5,1892,108.70136
43,hfls,historical,W m-2,mon,r9i1p1f1,CanESM5,1893,109.154366
44,hfls,historical,W m-2,mon,r9i1p1f1,CanESM5,1894,109.23465
45,hfls,historical,W m-2,mon,r9i1p1f1,CanESM5,1895,109.19944
46,hfls,historical,W m-2,mon,r9i1p1f1,CanESM5,1896,109.30909
