,variable,experiment,units,frequency,ensemble,model,year,value
0,hfls,ssp119,W m-2,mon,r8i1p1f1,CanESM5,2015,111.25605
1,hfls,ssp119,W m-2,mon,r8i1p1f1,CanESM5,2016,111.11094
2,hfls,ssp119,W m-2,mon,r8i1p1f1,CanESM5,2017,110.90623
3,hfls,ssp119,W m-2,mon,r8i1p1f1,CanESM5,2018,111.927986
4,hfls,ssp119,W m-2,mon,r8i1p1f1,CanESM5,2019,111.00628
5,hfls,ssp119,W m-2,mon,r8i1p1f1,CanESM5,2020,112.51672
6,hfls,ssp119,W m-2,mon,r8i1p1f1,CanESM5,2021,112.37209
7,hfls,ssp119,W m-2,mon,r8i1p1f1,CanESM5,2022,111.87241
8,hfls,ssp119,W m-2,mon,r8i1p1f1,CanESM5,2023,112.42924
9,hfls,ssp119,W m-2,mon,r8i1p1f1,CanESM5,2024,112.589935
10,hfls,ssp119,W m-2,mon,r8i1p1f1,CanESM5,2025,112.26227
11,hfls,ssp119,W m-2,mon,r8i1p1f1,CanESM5,2026,112.36764
12,hfls,ssp119,W m-2,mon,r8i1p1f1,CanESM5,2027,112.77264
13,hfls,ssp119,W m-2,mon,r8i1p1f1,CanESM5,2028,113.04539
14,hfls,ssp119,W m-2,mon,r8i1p1f1,CanESM5,2029,113.056915
15,hfls,ssp119,W m-2,mon,r8i1p1f1,CanESM5,2030,113.39469
16,hfls,ssp119,W m-2,mon,r8i1p1f1,CanESM5,2031,114.173706
17,hfls,ssp119,W m-2,mon,r8i1p1f1,CanESM5,2032,113.00855
18,hfls,ssp119,W m-2,mon,r8i1p1f1,CanESM5,2033,112.98025
19,hfls,ssp119,W m-2,mon,r8i1p1f1,CanESM5,2034,113.78134
20,hfls,ssp119,W m-2,mon,r8i1p1f1,CanESM5,2035,113.667885
21,hfls,ssp119,W m-2,mon,r8i1p1f1,CanESM5,2036,112.96847
22,hfls,ssp119,W m-2,mon,r8i1p1f1,CanESM5,2037,113.32492
23,hfls,ssp119,W m-2,mon,r8i1p1f1,CanESM5,2038,113.901634
24,hfls,ssp119,W m-2,mon,r8i1p1f1,CanESM5,2039,113.41574
25,hfls,ssp119,W m-2,mon,r8i1p1f1,CanESM5,2040,113.770874
26,hfls,ssp119,W m-2,mon,r8i1p1f1,CanESM5,2041,113.20118
27,hfls,ssp119,W m-2,mon,r8i1p1f1,CanESM5,2042,113.343254
28,hfls,ssp119,W m-2,mon,r8i1p1f1,CanESM5,2043,113.76855
29,hfls,ssp119,W m-2,mon,r8i1p1f1,CanESM5,2044,113.97227
30,hfls,ssp119,W m-2,mon,r8i1p1f1,CanESM5,2045,114.16894
31,hfls,ssp119,W m-2,mon,r8i1p1f1,CanESM5,2046,113.88438
32,hfls,ssp119,W m-2,mon,r8i1p1f1,CanESM5,2047,113.63641
33,hfls,ssp119,W m-2,mon,r8i1p1f1,CanESM5,2048,114.2707
34,hfls,ssp119,W m-2,mon,r8i1p1f1,CanESM5,2049,114.21777
35,hfls,ssp119,W m-2,mon,r8i1p1f1,CanESM5,2050,113.71469
36,hfls,ssp119,W m-2,mon,r8i1p1f1,CanESM5,2051,113.57604
37,hfls,ssp119,W m-2,mon,r8i1p1f1,CanESM5,2052,113.63406
38,hfls,ssp119,W m-2,mon,r8i1p1f1,CanESM5,2053,114.06564
39,hfls,ssp119,W m-2,mon,r8i1p1f1,CanESM5,2054,113.772316
40,hfls,ssp119,W m-2,mon,r8i1p1f1,CanESM5,2055,113.69398
41,hfls,ssp119,W m-2,mon,r8i1p1f1,CanESM5,2056,114.06963
42,hfls,ssp119,W m-2,mon,r8i1p1f1,CanESM5,2057,114.62329
43,hfls,ssp119,W m-2,mon,r8i1p1f1,CanESM5,2058,113.971466
44,hfls,ssp119,W m-2,mon,r8i1p1f1,CanESM5,2059,113.869545
45,hfls,ssp119,W m-2,mon,r8i1p1f1,CanESM5,2060,114.34333
46,hfls,ssp119,W m-2,mon,r8i1p1f1,CanESM5,2061,114.575584
47,hfls,ssp119,W m-2,mon,r8i1p1f1,CanESM5,2062,114.23928
