,variable,experiment,units,frequency,ensemble,model,year,value
0,hfls,historical,W m-2,mon,r9i1p1f1,GISS-E2-1-G,1850,115.48697
1,hfls,historical,W m-2,mon,r9i1p1f1,GISS-E2-1-G,1851,116.2196
2,hfls,historical,W m-2,mon,r9i1p1f1,GISS-E2-1-G,1852,115.57358
3,hfls,historical,W m-2,mon,r9i1p1f1,GISS-E2-1-G,1853,115.39872
4,hfls,historical,W m-2,mon,r9i1p1f1,GISS-E2-1-G,1854,115.51806
5,hfls,historical,W m-2,mon,r9i1p1f1,GISS-E2-1-G,1855,115.71081
6,hfls,historical,W m-2,mon,r9i1p1f1,GISS-E2-1-G,1856,116.45816
7,hfls,historical,W m-2,mon,r9i1p1f1,GISS-E2-1-G,1857,115.598625
8,hfls,historical,W m-2,mon,r9i1p1f1,GISS-E2-1-G,1858,115.321686
9,hfls,historical,W m-2,mon,r9i1p1f1,GISS-E2-1-G,1859,115.83793
10,hfls,historical,W m-2,mon,r9i1p1f1,GISS-E2-1-G,1860,116.45278
11,hfls,historical,W m-2,mon,r9i1p1f1,GISS-E2-1-G,1861,115.70209
12,hfls,historical,W m-2,mon,r9i1p1f1,GISS-E2-1-G,1862,114.81073
13,hfls,historical,W m-2,mon,r9i1p1f1,GISS-E2-1-G,1863,114.518555
14,hfls,historical,W m-2,mon,r9i1p1f1,GISS-E2-1-G,1864,115.1047
15,hfls,historical,W m-2,mon,r9i1p1f1,GISS-E2-1-G,1865,115.15555
16,hfls,historical,W m-2,mon,r9i1p1f1,GISS-E2-1-G,1866,116.520256
17,hfls,historical,W m-2,mon,r9i1p1f1,GISS-E2-1-G,1867,115.68015
18,hfls,historical,W m-2,mon,r9i1p1f1,GISS-E2-1-G,1868,114.991295
19,hfls,historical,W m-2,mon,r9i1p1f1,GISS-E2-1-G,1869,115.427956
20,hfls,historical,W m-2,mon,r9i1p1f1,GISS-E2-1-G,1870,115.9464
21,hfls,historical,W m-2,mon,r9i1p1f1,GISS-E2-1-G,1871,115.32003
22,hfls,historical,W m-2,mon,r9i1p1f1,GISS-E2-1-G,1872,116.11506
23,hfls,historical,W m-2,mon,r9i1p1f1,GISS-E2-1-G,1873,115.99176
24,hfls,historical,W m-2,mon,r9i1p1f1,GISS-E2-1-G,1874,115.77526
25,hfls,historical,W m-2,mon,r9i1p1f1,GISS-E2-1-G,1875,115.16796
26,hfls,historical,W m-2,mon,r9i1p1f1,GISS-E2-1-G,1876,115.44293
27,hfls,historical,W m-2,mon,r9i1p1f1,GISS-E2-1-G,1877,116.28512
28,hfls,historical,W m-2,mon,r9i1p1f1,GISS-E2-1-G,1878,116.1319
29,hfls,historical,W m-2,mon,r9i1p1f1,GISS-E2-1-G,1879,115.465126
30,hfls,historical,W m-2,mon,r9i1p1f1,GISS-E2-1-G,1880,114.6063
31,hfls,historical,W m-2,mon,r9i1p1f1,GISS-E2-1-G,1881,115.69961
32,hfls,historical,W m-2,mon,r9i1p1f1,GISS-E2-1-G,1882,115.814354
33,hfls,historical,W m-2,mon,r9i1p1f1,GISS-E2-1-G,1883,114.925545
34,hfls,historical,W m-2,mon,r9i1p1f1,GISS-E2-1-G,1884,114.18749
35,hfls,historical,W m-2,mon,r9i1p1f1,GISS-E2-1-G,1885,114.55277
36,hfls,historical,W m-2,mon,r9i1p1f1,GISS-E2-1-G,1886,114.96094
37,hfls,historical,W m-2,mon,r9i1p1f1,GISS-E2-1-G,1887,115.04652
38,hfls,historical,W m-2,mon,r9i1p1f1,GISS-E2-1-G,1888,115.83066
39,hfls,historical,W m-2,mon,r9i1p1f1,GISS-E2-1-G,1889,115.90382
40,hfls,historical,W m-2,mon,r9i1p1f1,GISS-E2-1-G,1890,114.90335
41,hfls,historical,W m-2,mon,r9i1p1f1,GISS-E2-1-G,1891,114.38102
42,hfls,historical,W m-2,mon,r9i1p1f1,GISS-E2-1-G,1892,115.34055
43,hfls,historical,W m-2,mon,r9i1p1f1,GISS-E2-1-G,1893,116.250946
44,hfls,historical,W m-2,mon,r9i1p1f1,GISS-E2-1-G,1894,116.75428
45,hfls,historical,W m-2,mon,r9i1p1f1,GISS-E2-1-G,1895,114.6289
46,hfls,historical,W m-2,mon,r9i1p1f1,GISS-E2-1-G,1896,115.02621
47,hfls,historical,W m-2,mon,r9i1p1f1,GISS-E2-1-G,1897,116.21926
48,hfls,historical,W m-2,mon,r9i1p1f1,GISS-E2-1-G,1898,116.16088
49,hfls,historical,W m-2,mon,r9i1p1f1,GISS-E2-1-G,1899,115.98743
50,hfls,historical,W m-2,mon,r9i1p1f1,GISS-E2-1-G,1900,115.066124
51,hfls,historical,W m-2,mon,r9i1p1f1,GISS-E2-1-G,1901,115.2703
52,hfls,historical,W m-2,mon,r9i1p1f1,GISS-E2-1-G,1902,115.360016
53,hfls,historical,W m-2,mon,r9i1p1f1,GISS-E2-1-G,1903,115.8279
54,hfls,historical,W m-2,mon,r9i1p1f1,GISS-E2-1-G,1904,114.51822
55,hfls,historical,W m-2,mon,r9i1p1f1,GISS-E2-1-G,1905,115.47874
56,hfls,historical,W m-2,mon,r9i1p1f1,GISS-E2-1-G,1906,116.233406
57,hfls,historical,W m-2,mon,r9i1p1f1,GISS-E2-1-G,1907,116.26708
58,hfls,historical,W m-2,mon,r9i1p1f1,GISS-E2-1-G,1908,115.35145
59,hfls,historical,W m-2,mon,r9i1p1f1,GISS-E2-1-G,1909,114.11335
60,hfls,historical,W m-2,mon,r9i1p1f1,GISS-E2-1-G,1910,114.75251
61,hfls,historical,W m-2,mon,r9i1p1f1,GISS-E2-1-G,1911,117.00772
62,hfls,historical,W m-2,mon,r9i1p1f1,GISS-E2-1-G,1912,115.35513
63,hfls,historical,W m-2,mon,r9i1p1f1,GISS-E2-1-G,1913,115.0286
64,hfls,historical,W m-2,mon,r9i1p1f1,GISS-E2-1-G,1914,115.47373
65,hfls,historical,W m-2,mon,r9i1p1f1,GISS-E2-1-G,1915,116.45376
66,hfls,historical,W m-2,mon,r9i1p1f1,GISS-E2-1-G,1916,114.85394
67,hfls,historical,W m-2,mon,r9i1p1f1,GISS-E2-1-G,1917,115.481445
68,hfls,historical,W m-2,mon,r9i1p1f1,GISS-E2-1-G,1918,116.613434
69,hfls,historical,W m-2,mon,r9i1p1f1,GISS-E2-1-G,1919,116.05567
70,hfls,historical,W m-2,mon,r9i1p1f1,GISS-E2-1-G,1920,114.777275
71,hfls,historical,W m-2,mon,r9i1p1f1,GISS-E2-1-G,1921,115.02823
72,hfls,historical,W m-2,mon,r9i1p1f1,GISS-E2-1-G,1922,116.43035
73,hfls,historical,W m-2,mon,r9i1p1f1,GISS-E2-1-G,1923,116.19888
74,hfls,historical,W m-2,mon,r9i1p1f1,GISS-E2-1-G,1924,115.75919
75,hfls,historical,W m-2,mon,r9i1p1f1,GISS-E2-1-G,1925,115.04276
76,hfls,historical,W m-2,mon,r9i1p1f1,GISS-E2-1-G,1926,115.63174
77,hfls,historical,W m-2,mon,r9i1p1f1,GISS-E2-1-G,1927,116.267265
78,hfls,historical,W m-2,mon,r9i1p1f1,GISS-E2-1-G,1928,115.29531
79,hfls,historical,W m-2,mon,r9i1p1f1,GISS-E2-1-G,1929,115.56448
