,variable,experiment,units,frequency,ensemble,model,year,value
0,hfls,ssp245,W m-2,mon,r5i1p3f1,GISS-E2-1-G,2015,116.26107
1,hfls,ssp245,W m-2,mon,r5i1p3f1,GISS-E2-1-G,2016,116.415855
2,hfls,ssp245,W m-2,mon,r5i1p3f1,GISS-E2-1-G,2017,115.399376
3,hfls,ssp245,W m-2,mon,r5i1p3f1,GISS-E2-1-G,2018,115.63964
4,hfls,ssp245,W m-2,mon,r5i1p3f1,GISS-E2-1-G,2019,116.68454
5,hfls,ssp245,W m-2,mon,r5i1p3f1,GISS-E2-1-G,2020,115.8809
6,hfls,ssp245,W m-2,mon,r5i1p3f1,GISS-E2-1-G,2021,117.23022
7,hfls,ssp245,W m-2,mon,r5i1p3f1,GISS-E2-1-G,2022,116.26502
8,hfls,ssp245,W m-2,mon,r5i1p3f1,GISS-E2-1-G,2023,115.37427
9,hfls,ssp245,W m-2,mon,r5i1p3f1,GISS-E2-1-G,2024,115.29801
10,hfls,ssp245,W m-2,mon,r5i1p3f1,GISS-E2-1-G,2025,117.23763
11,hfls,ssp245,W m-2,mon,r5i1p3f1,GISS-E2-1-G,2026,116.65265
12,hfls,ssp245,W m-2,mon,r5i1p3f1,GISS-E2-1-G,2027,115.929924
13,hfls,ssp245,W m-2,mon,r5i1p3f1,GISS-E2-1-G,2028,115.33642
14,hfls,ssp245,W m-2,mon,r5i1p3f1,GISS-E2-1-G,2029,116.64703
15,hfls,ssp245,W m-2,mon,r5i1p3f1,GISS-E2-1-G,2030,117.133606
16,hfls,ssp245,W m-2,mon,r5i1p3f1,GISS-E2-1-G,2031,116.86582
17,hfls,ssp245,W m-2,mon,r5i1p3f1,GISS-E2-1-G,2032,115.773125
18,hfls,ssp245,W m-2,mon,r5i1p3f1,GISS-E2-1-G,2033,115.843506
19,hfls,ssp245,W m-2,mon,r5i1p3f1,GISS-E2-1-G,2034,116.91837
20,hfls,ssp245,W m-2,mon,r5i1p3f1,GISS-E2-1-G,2035,117.044136
21,hfls,ssp245,W m-2,mon,r5i1p3f1,GISS-E2-1-G,2036,115.92331
22,hfls,ssp245,W m-2,mon,r5i1p3f1,GISS-E2-1-G,2037,115.64434
23,hfls,ssp245,W m-2,mon,r5i1p3f1,GISS-E2-1-G,2038,117.44269
24,hfls,ssp245,W m-2,mon,r5i1p3f1,GISS-E2-1-G,2039,117.65174
25,hfls,ssp245,W m-2,mon,r5i1p3f1,GISS-E2-1-G,2040,116.26357
26,hfls,ssp245,W m-2,mon,r5i1p3f1,GISS-E2-1-G,2041,117.07719
27,hfls,ssp245,W m-2,mon,r5i1p3f1,GISS-E2-1-G,2042,118.251366
28,hfls,ssp245,W m-2,mon,r5i1p3f1,GISS-E2-1-G,2043,117.3247
29,hfls,ssp245,W m-2,mon,r5i1p3f1,GISS-E2-1-G,2044,116.057045
30,hfls,ssp245,W m-2,mon,r5i1p3f1,GISS-E2-1-G,2045,115.659615
31,hfls,ssp245,W m-2,mon,r5i1p3f1,GISS-E2-1-G,2046,117.77949
32,hfls,ssp245,W m-2,mon,r5i1p3f1,GISS-E2-1-G,2047,118.0781
33,hfls,ssp245,W m-2,mon,r5i1p3f1,GISS-E2-1-G,2048,117.17861
34,hfls,ssp245,W m-2,mon,r5i1p3f1,GISS-E2-1-G,2049,116.95454
35,hfls,ssp245,W m-2,mon,r5i1p3f1,GISS-E2-1-G,2050,116.48117
36,hfls,ssp245,W m-2,mon,r5i1p3f1,GISS-E2-1-G,2051,118.311775
37,hfls,ssp245,W m-2,mon,r5i1p3f1,GISS-E2-1-G,2052,117.69489
38,hfls,ssp245,W m-2,mon,r5i1p3f1,GISS-E2-1-G,2053,116.79615
39,hfls,ssp245,W m-2,mon,r5i1p3f1,GISS-E2-1-G,2054,116.844475
40,hfls,ssp245,W m-2,mon,r5i1p3f1,GISS-E2-1-G,2055,118.748604
41,hfls,ssp245,W m-2,mon,r5i1p3f1,GISS-E2-1-G,2056,117.67618
42,hfls,ssp245,W m-2,mon,r5i1p3f1,GISS-E2-1-G,2057,118.33777
43,hfls,ssp245,W m-2,mon,r5i1p3f1,GISS-E2-1-G,2058,117.901184
44,hfls,ssp245,W m-2,mon,r5i1p3f1,GISS-E2-1-G,2059,117.16471
45,hfls,ssp245,W m-2,mon,r5i1p3f1,GISS-E2-1-G,2060,117.11947
46,hfls,ssp245,W m-2,mon,r5i1p3f1,GISS-E2-1-G,2061,117.673454
47,hfls,ssp245,W m-2,mon,r5i1p3f1,GISS-E2-1-G,2062,118.6007
