,variable,experiment,units,frequency,ensemble,model,year,value
0,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1850,113.500694
1,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1851,114.926025
2,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1852,115.10092
3,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1853,114.01135
4,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1854,114.66648
5,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1855,114.86896
6,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1856,113.997246
7,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1857,114.9039
8,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1858,114.08926
9,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1859,114.989655
10,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1860,114.57263
11,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1861,114.52738
12,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1862,114.45931
13,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1863,113.79774
14,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1864,114.988556
15,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1865,115.954384
16,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1866,114.192604
17,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1867,113.818535
18,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1868,114.806694
19,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1869,114.845116
20,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1870,114.86444
21,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1871,114.63677
22,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1872,114.84214
23,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1873,113.89518
24,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1874,114.26592
25,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1875,114.9075
26,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1876,114.68201
27,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1877,113.83611
28,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1878,115.3688
29,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1879,114.671394
30,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1880,114.13193
31,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1881,115.16858
32,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1882,114.51786
33,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1883,113.51041
34,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1884,112.84592
35,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1885,113.86356
36,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1886,114.68847
37,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1887,114.36938
38,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1888,114.52906
39,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1889,114.44723
40,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1890,114.41077
41,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1891,114.1
42,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1892,114.97976
43,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1893,114.69287
44,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1894,114.42017
45,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1895,114.48877
46,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1896,114.96578
47,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1897,115.32171
48,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1898,114.20783
49,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1899,114.09226
50,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1900,114.84574
51,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1901,114.42425
52,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1902,114.58437
53,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1903,114.81345
54,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1904,114.52708
55,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1905,114.7164
56,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1906,114.416176
57,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1907,114.092445
58,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1908,114.60583
59,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1909,115.18851
60,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1910,114.97013
61,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1911,114.711586
62,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1912,115.243034
63,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1913,114.92219
64,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1914,114.46189
65,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1915,114.2029
66,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1916,114.126335
67,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1917,114.85864
68,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1918,115.46624
69,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1919,115.18632
70,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1920,114.913025
71,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1921,114.40685
72,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1922,115.04676
73,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1923,114.91685
74,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1924,114.77355
75,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1925,114.945946
76,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1926,115.19285
77,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1927,115.01059
78,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1928,115.07199
79,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1929,114.62466
80,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1930,115.55459
81,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1931,115.06272
82,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1932,114.55804
83,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1933,114.4575
84,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1934,115.26562
85,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1935,115.2377
86,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1936,115.120636
87,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1937,115.63944
88,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1938,115.42407
89,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1939,115.27439
90,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1940,115.304504
91,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1941,114.75207
92,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1942,115.4711
93,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1943,115.55172
94,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1944,114.68753
95,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1945,114.64844
96,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1946,114.95395
97,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1947,115.50342
98,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1948,115.26004
99,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1949,114.79751
100,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1950,115.624306
101,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1951,116.099846
102,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1952,116.740166
103,hfls,historical,W m-2,mon,r8i1p1f1,IPSL-CM6A-LR,1953,114.50042
