,variable,experiment,units,frequency,ensemble,model,year,value
0,hfls,ssp119,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2015,116.6166
1,hfls,ssp119,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2016,115.790504
2,hfls,ssp119,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2017,115.896614
3,hfls,ssp119,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2018,116.296875
4,hfls,ssp119,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2019,116.51029
5,hfls,ssp119,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2020,117.45773
6,hfls,ssp119,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2021,116.073975
7,hfls,ssp119,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2022,116.428894
8,hfls,ssp119,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2023,116.6899
9,hfls,ssp119,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2024,117.21893
10,hfls,ssp119,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2025,116.951164
11,hfls,ssp119,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2026,116.49271
12,hfls,ssp119,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2027,117.75849
13,hfls,ssp119,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2028,117.21743
14,hfls,ssp119,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2029,116.90176
15,hfls,ssp119,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2030,117.733376
16,hfls,ssp119,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2031,118.31744
17,hfls,ssp119,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2032,117.314384
18,hfls,ssp119,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2033,116.40808
19,hfls,ssp119,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2034,116.9282
20,hfls,ssp119,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2035,117.08445
21,hfls,ssp119,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2036,118.35705
22,hfls,ssp119,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2037,118.01804
23,hfls,ssp119,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2038,117.61337
24,hfls,ssp119,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2039,118.02923
25,hfls,ssp119,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2040,117.55215
26,hfls,ssp119,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2041,117.968864
27,hfls,ssp119,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2042,119.08543
28,hfls,ssp119,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2043,117.057884
29,hfls,ssp119,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2044,117.2031
30,hfls,ssp119,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2045,118.72369
31,hfls,ssp119,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2046,118.841606
32,hfls,ssp119,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2047,118.28512
33,hfls,ssp119,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2048,118.194496
34,hfls,ssp119,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2049,117.92294
35,hfls,ssp119,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2050,117.96986
36,hfls,ssp119,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2051,119.00781
37,hfls,ssp119,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2052,117.24618
38,hfls,ssp119,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2053,117.81027
39,hfls,ssp119,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2054,118.79764
40,hfls,ssp119,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2055,118.2225
41,hfls,ssp119,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2056,117.81721
42,hfls,ssp119,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2057,119.169106
43,hfls,ssp119,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2058,118.22692
44,hfls,ssp119,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2059,117.443146
45,hfls,ssp119,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2060,117.49955
46,hfls,ssp119,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2061,118.00472
47,hfls,ssp119,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2062,118.238525
48,hfls,ssp119,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2063,118.651146
49,hfls,ssp119,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2064,118.332184
50,hfls,ssp119,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2065,118.07297
51,hfls,ssp119,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2066,118.72281
52,hfls,ssp119,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2067,117.292534
53,hfls,ssp119,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2068,116.74424
54,hfls,ssp119,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2069,117.28705
55,hfls,ssp119,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2070,118.51767
56,hfls,ssp119,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2071,117.639915
57,hfls,ssp119,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2072,117.8308
58,hfls,ssp119,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2073,117.4347
59,hfls,ssp119,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2074,117.6563
60,hfls,ssp119,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2075,118.08326
61,hfls,ssp119,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2076,118.1608
