,variable,experiment,units,frequency,ensemble,model,year,value
0,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1850,121.11051
1,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1851,121.51956
2,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1852,121.26504
3,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1853,121.065025
4,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1854,121.0252
5,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1855,120.990295
6,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1856,121.118416
7,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1857,121.446495
8,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1858,120.73107
9,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1859,120.66458
10,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1860,120.778725
11,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1861,121.78921
12,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1862,120.60073
13,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1863,121.07166
14,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1864,120.67124
15,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1865,120.95754
16,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1866,120.82972
17,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1867,121.0148
18,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1868,121.21578
19,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1869,121.54067
20,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1870,121.10322
21,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1871,120.26965
22,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1872,120.95569
23,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1873,121.7853
24,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1874,121.37658
25,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1875,119.638985
26,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1876,120.33582
27,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1877,121.828545
28,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1878,121.48862
29,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1879,120.63529
30,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1880,121.398834
31,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1881,121.45322
32,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1882,120.58701
33,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1883,120.0908
34,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1884,120.339836
35,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1885,121.08368
36,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1886,120.34598
37,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1887,120.718544
38,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1888,120.889496
39,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1889,120.09683
40,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1890,121.01145
41,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1891,120.53701
42,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1892,121.27656
43,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1893,120.51257
44,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1894,120.26871
45,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1895,120.83495
46,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1896,120.947655
47,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1897,121.00385
48,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1898,121.42111
49,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1899,120.59753
50,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1900,120.92206
51,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1901,121.31945
52,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1902,121.6369
53,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1903,120.59849
54,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1904,119.93646
55,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1905,121.46292
56,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1906,120.99522
57,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1907,120.68659
58,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1908,119.99329
59,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1909,121.3974
60,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1910,120.01608
61,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1911,120.5626
62,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1912,120.86605
63,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1913,120.861595
64,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1914,121.022026
65,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1915,121.944244
66,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1916,120.63253
67,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1917,120.4101
68,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1918,120.85125
69,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1919,120.59278
70,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1920,121.26069
71,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1921,120.61367
72,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1922,121.10207
73,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1923,120.56008
74,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1924,120.674805
75,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1925,120.59946
76,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1926,121.2974
77,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1927,122.381226
78,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1928,120.64048
79,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1929,120.52311
80,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1930,120.24143
81,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1931,120.88791
82,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1932,120.942085
83,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1933,120.79889
84,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1934,120.72513
85,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1935,121.29068
86,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1936,121.548195
87,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1937,119.898994
88,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1938,120.5133
89,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1939,121.93098
90,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1940,121.589134
91,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1941,120.885155
92,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1942,120.323494
93,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1943,120.38921
94,hfls,historical,W m-2,mon,r32i1p1f1,MIROC6,1944,121.085205
