,variable,experiment,units,frequency,ensemble,model,year,value
0,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1850,35.442627
1,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1851,35.469852
2,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1852,35.488895
3,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1853,35.44695
4,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1854,35.707096
5,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1855,35.54639
6,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1856,35.379204
7,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1857,35.560684
8,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1858,35.32179
9,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1859,35.39192
10,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1860,35.293186
11,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1861,35.327015
12,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1862,35.349148
13,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1863,35.334347
14,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1864,35.511448
15,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1865,35.296825
16,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1866,35.311413
17,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1867,35.369724
18,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1868,35.446354
19,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1869,35.508205
20,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1870,35.38286
21,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1871,35.382652
22,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1872,35.30469
23,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1873,35.48152
24,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1874,35.415543
25,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1875,35.307255
26,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1876,35.42091
27,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1877,35.24702
28,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1878,35.563835
29,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1879,35.468025
30,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1880,35.515026
31,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1881,35.40046
32,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1882,35.38849
33,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1883,35.410477
34,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1884,35.25325
35,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1885,35.372997
36,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1886,35.557056
37,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1887,35.446205
38,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1888,35.502735
39,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1889,35.60985
40,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1890,35.792286
41,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1891,35.59712
42,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1892,35.49152
43,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1893,35.65102
44,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1894,35.68657
45,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1895,35.48702
46,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1896,35.510494
47,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1897,35.714573
48,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1898,35.787136
49,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1899,35.650475
50,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1900,35.63811
51,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1901,35.52258
52,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1902,35.66563
53,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1903,35.723698
54,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1904,35.438633
55,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1905,35.568367
56,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1906,35.436047
57,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1907,35.31225
58,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1908,35.86495
59,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1909,35.57159
60,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1910,35.39809
61,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1911,35.508965
62,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1912,35.41892
63,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1913,35.49583
64,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1914,35.437874
65,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1915,35.368088
66,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1916,35.488796
67,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1917,35.61042
68,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1918,35.522472
69,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1919,35.557545
70,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1920,35.58032
71,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1921,35.656826
72,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1922,35.43635
73,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1923,35.642967
74,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1924,35.496883
75,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1925,35.470905
76,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1926,35.53895
77,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1927,35.635784
78,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1928,35.494816
79,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1929,35.496696
80,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1930,35.519382
81,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1931,35.45883
82,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1932,35.442463
83,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1933,35.260563
84,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1934,35.343918
85,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1935,35.53709
86,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1936,35.36888
87,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1937,35.457565
88,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1938,35.476513
89,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1939,35.527683
90,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1940,35.819607
91,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1941,35.640213
92,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1942,35.536472
93,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1943,35.48083
94,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1944,35.36824
95,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1945,35.617744
96,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1946,35.607742
97,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1947,35.541683
98,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1948,35.501034
99,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1949,35.64801
100,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1950,35.765007
101,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1951,35.73979
102,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1952,35.665073
103,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1953,35.42686
104,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1954,35.521442
105,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1955,35.593853
106,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1956,35.668804
107,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1957,35.552864
108,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1958,35.61545
109,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1959,35.698612
110,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1960,35.5136
111,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1961,35.458088
112,hfls,historical,W m-2,mon,r7i1p1f1,MPI-ESM1-2-HR,1962,35.472446
