,variable,experiment,units,frequency,ensemble,model,year,value
0,hfls,1pctCO2,W m-2,mon,r3i1p1f2,UKESM1-0-LL,1850,118.92136
1,hfls,1pctCO2,W m-2,mon,r3i1p1f2,UKESM1-0-LL,1851,118.91788
2,hfls,1pctCO2,W m-2,mon,r3i1p1f2,UKESM1-0-LL,1852,120.16574
3,hfls,1pctCO2,W m-2,mon,r3i1p1f2,UKESM1-0-LL,1853,120.21628
4,hfls,1pctCO2,W m-2,mon,r3i1p1f2,UKESM1-0-LL,1854,119.95876
5,hfls,1pctCO2,W m-2,mon,r3i1p1f2,UKESM1-0-LL,1855,119.67841
6,hfls,1pctCO2,W m-2,mon,r3i1p1f2,UKESM1-0-LL,1856,118.71882
7,hfls,1pctCO2,W m-2,mon,r3i1p1f2,UKESM1-0-LL,1857,118.888374
8,hfls,1pctCO2,W m-2,mon,r3i1p1f2,UKESM1-0-LL,1858,120.022514
9,hfls,1pctCO2,W m-2,mon,r3i1p1f2,UKESM1-0-LL,1859,120.713104
10,hfls,1pctCO2,W m-2,mon,r3i1p1f2,UKESM1-0-LL,1860,119.855736
11,hfls,1pctCO2,W m-2,mon,r3i1p1f2,UKESM1-0-LL,1861,119.33053
12,hfls,1pctCO2,W m-2,mon,r3i1p1f2,UKESM1-0-LL,1862,119.043175
13,hfls,1pctCO2,W m-2,mon,r3i1p1f2,UKESM1-0-LL,1863,118.749016
14,hfls,1pctCO2,W m-2,mon,r3i1p1f2,UKESM1-0-LL,1864,119.684364
15,hfls,1pctCO2,W m-2,mon,r3i1p1f2,UKESM1-0-LL,1865,120.4204
16,hfls,1pctCO2,W m-2,mon,r3i1p1f2,UKESM1-0-LL,1866,118.949
17,hfls,1pctCO2,W m-2,mon,r3i1p1f2,UKESM1-0-LL,1867,118.8475
18,hfls,1pctCO2,W m-2,mon,r3i1p1f2,UKESM1-0-LL,1868,120.44955
19,hfls,1pctCO2,W m-2,mon,r3i1p1f2,UKESM1-0-LL,1869,120.81784
20,hfls,1pctCO2,W m-2,mon,r3i1p1f2,UKESM1-0-LL,1870,119.51708
21,hfls,1pctCO2,W m-2,mon,r3i1p1f2,UKESM1-0-LL,1871,119.7942
22,hfls,1pctCO2,W m-2,mon,r3i1p1f2,UKESM1-0-LL,1872,120.15382
23,hfls,1pctCO2,W m-2,mon,r3i1p1f2,UKESM1-0-LL,1873,120.57058
24,hfls,1pctCO2,W m-2,mon,r3i1p1f2,UKESM1-0-LL,1874,120.888306
25,hfls,1pctCO2,W m-2,mon,r3i1p1f2,UKESM1-0-LL,1875,119.50622
26,hfls,1pctCO2,W m-2,mon,r3i1p1f2,UKESM1-0-LL,1876,120.03124
27,hfls,1pctCO2,W m-2,mon,r3i1p1f2,UKESM1-0-LL,1877,121.80041
28,hfls,1pctCO2,W m-2,mon,r3i1p1f2,UKESM1-0-LL,1878,120.53239
29,hfls,1pctCO2,W m-2,mon,r3i1p1f2,UKESM1-0-LL,1879,120.80129
30,hfls,1pctCO2,W m-2,mon,r3i1p1f2,UKESM1-0-LL,1880,120.06116
31,hfls,1pctCO2,W m-2,mon,r3i1p1f2,UKESM1-0-LL,1881,120.65204
32,hfls,1pctCO2,W m-2,mon,r3i1p1f2,UKESM1-0-LL,1882,120.57236
33,hfls,1pctCO2,W m-2,mon,r3i1p1f2,UKESM1-0-LL,1883,122.2134
34,hfls,1pctCO2,W m-2,mon,r3i1p1f2,UKESM1-0-LL,1884,121.544556
35,hfls,1pctCO2,W m-2,mon,r3i1p1f2,UKESM1-0-LL,1885,120.559074
36,hfls,1pctCO2,W m-2,mon,r3i1p1f2,UKESM1-0-LL,1886,122.23157
37,hfls,1pctCO2,W m-2,mon,r3i1p1f2,UKESM1-0-LL,1887,121.8509
