,variable,experiment,units,frequency,ensemble,model,year,value
0,hfss,historical,W m-2,mon,r15i1p1f1,ACCESS-ESM1-5,1850,12.899799
1,hfss,historical,W m-2,mon,r15i1p1f1,ACCESS-ESM1-5,1851,12.810374
2,hfss,historical,W m-2,mon,r15i1p1f1,ACCESS-ESM1-5,1852,12.746139
3,hfss,historical,W m-2,mon,r15i1p1f1,ACCESS-ESM1-5,1853,12.847997
4,hfss,historical,W m-2,mon,r15i1p1f1,ACCESS-ESM1-5,1854,12.836501
5,hfss,historical,W m-2,mon,r15i1p1f1,ACCESS-ESM1-5,1855,12.831177
6,hfss,historical,W m-2,mon,r15i1p1f1,ACCESS-ESM1-5,1856,12.966694
7,hfss,historical,W m-2,mon,r15i1p1f1,ACCESS-ESM1-5,1857,12.875266
8,hfss,historical,W m-2,mon,r15i1p1f1,ACCESS-ESM1-5,1858,12.842656
9,hfss,historical,W m-2,mon,r15i1p1f1,ACCESS-ESM1-5,1859,12.81675
10,hfss,historical,W m-2,mon,r15i1p1f1,ACCESS-ESM1-5,1860,12.870303
11,hfss,historical,W m-2,mon,r15i1p1f1,ACCESS-ESM1-5,1861,12.878392
12,hfss,historical,W m-2,mon,r15i1p1f1,ACCESS-ESM1-5,1862,12.881336
13,hfss,historical,W m-2,mon,r15i1p1f1,ACCESS-ESM1-5,1863,12.994861
14,hfss,historical,W m-2,mon,r15i1p1f1,ACCESS-ESM1-5,1864,12.957364
15,hfss,historical,W m-2,mon,r15i1p1f1,ACCESS-ESM1-5,1865,12.940883
16,hfss,historical,W m-2,mon,r15i1p1f1,ACCESS-ESM1-5,1866,12.826358
17,hfss,historical,W m-2,mon,r15i1p1f1,ACCESS-ESM1-5,1867,12.977107
18,hfss,historical,W m-2,mon,r15i1p1f1,ACCESS-ESM1-5,1868,12.814639
19,hfss,historical,W m-2,mon,r15i1p1f1,ACCESS-ESM1-5,1869,13.01471
20,hfss,historical,W m-2,mon,r15i1p1f1,ACCESS-ESM1-5,1870,12.8926115
21,hfss,historical,W m-2,mon,r15i1p1f1,ACCESS-ESM1-5,1871,12.889099
22,hfss,historical,W m-2,mon,r15i1p1f1,ACCESS-ESM1-5,1872,12.920606
23,hfss,historical,W m-2,mon,r15i1p1f1,ACCESS-ESM1-5,1873,12.913363
24,hfss,historical,W m-2,mon,r15i1p1f1,ACCESS-ESM1-5,1874,12.803184
25,hfss,historical,W m-2,mon,r15i1p1f1,ACCESS-ESM1-5,1875,12.987004
26,hfss,historical,W m-2,mon,r15i1p1f1,ACCESS-ESM1-5,1876,12.9662285
27,hfss,historical,W m-2,mon,r15i1p1f1,ACCESS-ESM1-5,1877,12.924469
28,hfss,historical,W m-2,mon,r15i1p1f1,ACCESS-ESM1-5,1878,12.8581915
29,hfss,historical,W m-2,mon,r15i1p1f1,ACCESS-ESM1-5,1879,12.9333315
30,hfss,historical,W m-2,mon,r15i1p1f1,ACCESS-ESM1-5,1880,12.944419
31,hfss,historical,W m-2,mon,r15i1p1f1,ACCESS-ESM1-5,1881,12.931651
32,hfss,historical,W m-2,mon,r15i1p1f1,ACCESS-ESM1-5,1882,12.906998
33,hfss,historical,W m-2,mon,r15i1p1f1,ACCESS-ESM1-5,1883,12.809608
34,hfss,historical,W m-2,mon,r15i1p1f1,ACCESS-ESM1-5,1884,13.02317
35,hfss,historical,W m-2,mon,r15i1p1f1,ACCESS-ESM1-5,1885,12.894149
36,hfss,historical,W m-2,mon,r15i1p1f1,ACCESS-ESM1-5,1886,12.819348
37,hfss,historical,W m-2,mon,r15i1p1f1,ACCESS-ESM1-5,1887,12.926938
38,hfss,historical,W m-2,mon,r15i1p1f1,ACCESS-ESM1-5,1888,12.851891
39,hfss,historical,W m-2,mon,r15i1p1f1,ACCESS-ESM1-5,1889,12.813957
40,hfss,historical,W m-2,mon,r15i1p1f1,ACCESS-ESM1-5,1890,12.774701
41,hfss,historical,W m-2,mon,r15i1p1f1,ACCESS-ESM1-5,1891,12.897298
42,hfss,historical,W m-2,mon,r15i1p1f1,ACCESS-ESM1-5,1892,12.814472
43,hfss,historical,W m-2,mon,r15i1p1f1,ACCESS-ESM1-5,1893,12.826279
44,hfss,historical,W m-2,mon,r15i1p1f1,ACCESS-ESM1-5,1894,12.724567
45,hfss,historical,W m-2,mon,r15i1p1f1,ACCESS-ESM1-5,1895,12.759059
46,hfss,historical,W m-2,mon,r15i1p1f1,ACCESS-ESM1-5,1896,12.658114
47,hfss,historical,W m-2,mon,r15i1p1f1,ACCESS-ESM1-5,1897,12.783509
48,hfss,historical,W m-2,mon,r15i1p1f1,ACCESS-ESM1-5,1898,12.847627
49,hfss,historical,W m-2,mon,r15i1p1f1,ACCESS-ESM1-5,1899,12.742299
50,hfss,historical,W m-2,mon,r15i1p1f1,ACCESS-ESM1-5,1900,12.719627
51,hfss,historical,W m-2,mon,r15i1p1f1,ACCESS-ESM1-5,1901,12.701322
52,hfss,historical,W m-2,mon,r15i1p1f1,ACCESS-ESM1-5,1902,12.834213
53,hfss,historical,W m-2,mon,r15i1p1f1,ACCESS-ESM1-5,1903,12.788169
54,hfss,historical,W m-2,mon,r15i1p1f1,ACCESS-ESM1-5,1904,12.82325
55,hfss,historical,W m-2,mon,r15i1p1f1,ACCESS-ESM1-5,1905,12.642799
56,hfss,historical,W m-2,mon,r15i1p1f1,ACCESS-ESM1-5,1906,12.744948
57,hfss,historical,W m-2,mon,r15i1p1f1,ACCESS-ESM1-5,1907,12.739276
58,hfss,historical,W m-2,mon,r15i1p1f1,ACCESS-ESM1-5,1908,12.70285
59,hfss,historical,W m-2,mon,r15i1p1f1,ACCESS-ESM1-5,1909,12.619967
60,hfss,historical,W m-2,mon,r15i1p1f1,ACCESS-ESM1-5,1910,12.670634
61,hfss,historical,W m-2,mon,r15i1p1f1,ACCESS-ESM1-5,1911,12.602408
62,hfss,historical,W m-2,mon,r15i1p1f1,ACCESS-ESM1-5,1912,12.790313
63,hfss,historical,W m-2,mon,r15i1p1f1,ACCESS-ESM1-5,1913,12.870637
64,hfss,historical,W m-2,mon,r15i1p1f1,ACCESS-ESM1-5,1914,12.785359
65,hfss,historical,W m-2,mon,r15i1p1f1,ACCESS-ESM1-5,1915,12.777213
66,hfss,historical,W m-2,mon,r15i1p1f1,ACCESS-ESM1-5,1916,12.823195
67,hfss,historical,W m-2,mon,r15i1p1f1,ACCESS-ESM1-5,1917,12.653708
68,hfss,historical,W m-2,mon,r15i1p1f1,ACCESS-ESM1-5,1918,12.707603
69,hfss,historical,W m-2,mon,r15i1p1f1,ACCESS-ESM1-5,1919,12.752957
70,hfss,historical,W m-2,mon,r15i1p1f1,ACCESS-ESM1-5,1920,12.660935
71,hfss,historical,W m-2,mon,r15i1p1f1,ACCESS-ESM1-5,1921,12.848096
72,hfss,historical,W m-2,mon,r15i1p1f1,ACCESS-ESM1-5,1922,12.70028
73,hfss,historical,W m-2,mon,r15i1p1f1,ACCESS-ESM1-5,1923,12.784171
74,hfss,historical,W m-2,mon,r15i1p1f1,ACCESS-ESM1-5,1924,12.767506
75,hfss,historical,W m-2,mon,r15i1p1f1,ACCESS-ESM1-5,1925,12.827149
76,hfss,historical,W m-2,mon,r15i1p1f1,ACCESS-ESM1-5,1926,12.775566
77,hfss,historical,W m-2,mon,r15i1p1f1,ACCESS-ESM1-5,1927,12.592304
78,hfss,historical,W m-2,mon,r15i1p1f1,ACCESS-ESM1-5,1928,12.684449
79,hfss,historical,W m-2,mon,r15i1p1f1,ACCESS-ESM1-5,1929,12.664811
