,variable,experiment,units,frequency,ensemble,model,year,value
0,hfss,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1850,19.681648
1,hfss,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1851,19.758713
2,hfss,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1852,19.733171
3,hfss,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1853,19.72353
4,hfss,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1854,19.806957
5,hfss,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1855,19.785704
6,hfss,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1856,19.879011
7,hfss,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1857,19.76224
8,hfss,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1858,19.91667
9,hfss,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1859,19.801907
10,hfss,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1860,19.810316
11,hfss,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1861,19.9621
12,hfss,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1862,19.75751
13,hfss,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1863,19.961231
14,hfss,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1864,19.772532
15,hfss,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1865,19.861032
16,hfss,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1866,19.822369
17,hfss,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1867,19.779257
18,hfss,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1868,19.785997
19,hfss,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1869,19.821953
20,hfss,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1870,19.882986
21,hfss,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1871,19.918402
22,hfss,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1872,19.967604
23,hfss,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1873,19.89147
24,hfss,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1874,19.862173
25,hfss,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1875,19.8738
26,hfss,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1876,19.95978
27,hfss,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1877,19.933718
28,hfss,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1878,19.815918
29,hfss,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1879,20.028442
30,hfss,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1880,19.82339
31,hfss,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1881,19.877983
32,hfss,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1882,19.86896
33,hfss,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1883,19.881853
34,hfss,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1884,19.901875
35,hfss,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1885,19.703077
36,hfss,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1886,19.894701
37,hfss,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1887,19.890476
38,hfss,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1888,19.883362
39,hfss,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1889,19.896019
40,hfss,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1890,19.670069
41,hfss,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1891,19.82528
42,hfss,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1892,19.9754
43,hfss,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1893,19.982466
44,hfss,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1894,19.752434
45,hfss,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1895,19.777264
46,hfss,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1896,19.725126
47,hfss,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1897,19.786955
48,hfss,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1898,19.821327
49,hfss,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1899,19.82656
50,hfss,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1900,19.867348
51,hfss,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1901,19.76012
52,hfss,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1902,19.904087
53,hfss,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1903,19.917957
54,hfss,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1904,19.774254
55,hfss,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1905,19.80333
56,hfss,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1906,19.743551
57,hfss,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1907,19.940857
58,hfss,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1908,19.870068
59,hfss,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1909,19.910072
60,hfss,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1910,19.812891
61,hfss,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1911,19.838264
