,variable,experiment,units,frequency,ensemble,model,year,value
0,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1850,17.762688
1,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1851,17.309258
2,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1852,17.15978
3,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1853,16.835102
4,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1854,16.709883
5,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1855,16.586834
6,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1856,16.517794
7,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1857,16.493584
8,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1858,16.419344
9,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1859,16.32223
10,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1860,16.348879
11,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1861,16.380816
12,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1862,16.273539
13,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1863,16.15409
14,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1864,16.338634
15,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1865,16.20864
16,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1866,16.046043
17,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1867,15.948356
18,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1868,16.128874
19,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1869,15.910789
20,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1870,15.953181
21,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1871,15.922599
22,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1872,15.854434
23,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1873,15.85075
24,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1874,15.90997
25,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1875,15.74824
26,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1876,15.772758
27,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1877,15.751721
28,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1878,15.666293
29,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1879,15.703383
30,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1880,15.715838
31,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1881,15.671737
32,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1882,15.614539
33,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1883,15.719246
34,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1884,15.846648
35,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1885,15.608063
36,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1886,15.662796
37,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1887,15.654182
38,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1888,15.61369
39,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1889,15.650186
40,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1890,15.432323
41,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1891,15.4781685
42,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1892,15.451007
43,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1893,15.435997
44,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1894,15.596189
45,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1895,15.662201
46,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1896,15.5069685
47,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1897,15.43311
48,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1898,15.398907
49,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1899,15.632754
50,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1900,15.498494
51,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1901,15.31443
52,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1902,15.275132
53,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1903,15.291583
54,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1904,15.568519
55,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1905,15.420001
56,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1906,15.344203
57,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1907,15.426557
58,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1908,15.349225
59,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1909,15.416596
60,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1910,15.294541
61,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1911,15.411105
62,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1912,15.351642
63,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1913,15.488963
64,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1914,15.378598
65,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1915,15.418107
66,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1916,15.254617
67,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1917,15.265403
68,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1918,15.303958
69,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1919,15.254682
70,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1920,15.226544
71,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1921,15.373218
72,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1922,15.223144
73,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1923,15.162548
74,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1924,15.213088
75,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1925,15.196701
76,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1926,15.259664
77,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1927,15.2895155
78,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1928,15.317109
79,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1929,15.218193
80,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1930,15.096498
81,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1931,15.000384
82,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1932,15.2233
83,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1933,15.099415
84,hfss,abrupt-4xCO2,W m-2,mon,r1i1p1f2,CNRM-CM6-1,1934,15.190876
