,variable,experiment,units,frequency,ensemble,model,year,value
0,hfss,historical,W m-2,mon,r19i1p2f1,CanESM5,1850,19.234423
1,hfss,historical,W m-2,mon,r19i1p2f1,CanESM5,1851,19.141853
2,hfss,historical,W m-2,mon,r19i1p2f1,CanESM5,1852,19.435003
3,hfss,historical,W m-2,mon,r19i1p2f1,CanESM5,1853,19.153458
4,hfss,historical,W m-2,mon,r19i1p2f1,CanESM5,1854,19.04531
5,hfss,historical,W m-2,mon,r19i1p2f1,CanESM5,1855,19.16409
6,hfss,historical,W m-2,mon,r19i1p2f1,CanESM5,1856,19.195597
7,hfss,historical,W m-2,mon,r19i1p2f1,CanESM5,1857,19.307314
8,hfss,historical,W m-2,mon,r19i1p2f1,CanESM5,1858,19.277487
9,hfss,historical,W m-2,mon,r19i1p2f1,CanESM5,1859,19.17792
10,hfss,historical,W m-2,mon,r19i1p2f1,CanESM5,1860,18.882887
11,hfss,historical,W m-2,mon,r19i1p2f1,CanESM5,1861,19.22111
12,hfss,historical,W m-2,mon,r19i1p2f1,CanESM5,1862,19.25488
13,hfss,historical,W m-2,mon,r19i1p2f1,CanESM5,1863,19.23266
14,hfss,historical,W m-2,mon,r19i1p2f1,CanESM5,1864,19.198868
15,hfss,historical,W m-2,mon,r19i1p2f1,CanESM5,1865,19.232136
16,hfss,historical,W m-2,mon,r19i1p2f1,CanESM5,1866,19.183573
17,hfss,historical,W m-2,mon,r19i1p2f1,CanESM5,1867,19.109926
18,hfss,historical,W m-2,mon,r19i1p2f1,CanESM5,1868,19.250185
19,hfss,historical,W m-2,mon,r19i1p2f1,CanESM5,1869,19.140139
20,hfss,historical,W m-2,mon,r19i1p2f1,CanESM5,1870,19.131746
21,hfss,historical,W m-2,mon,r19i1p2f1,CanESM5,1871,19.142447
22,hfss,historical,W m-2,mon,r19i1p2f1,CanESM5,1872,19.254444
23,hfss,historical,W m-2,mon,r19i1p2f1,CanESM5,1873,19.161158
24,hfss,historical,W m-2,mon,r19i1p2f1,CanESM5,1874,19.208048
25,hfss,historical,W m-2,mon,r19i1p2f1,CanESM5,1875,19.256104
