,variable,experiment,units,frequency,ensemble,model,year,value
0,hfss,historical,W m-2,mon,r8i1p5f1,GISS-E2-1-G,1850,17.026758
1,hfss,historical,W m-2,mon,r8i1p5f1,GISS-E2-1-G,1851,17.000242
2,hfss,historical,W m-2,mon,r8i1p5f1,GISS-E2-1-G,1852,16.9354
3,hfss,historical,W m-2,mon,r8i1p5f1,GISS-E2-1-G,1853,17.064417
4,hfss,historical,W m-2,mon,r8i1p5f1,GISS-E2-1-G,1854,17.015396
5,hfss,historical,W m-2,mon,r8i1p5f1,GISS-E2-1-G,1855,16.973309
6,hfss,historical,W m-2,mon,r8i1p5f1,GISS-E2-1-G,1856,16.85603
7,hfss,historical,W m-2,mon,r8i1p5f1,GISS-E2-1-G,1857,16.87159
8,hfss,historical,W m-2,mon,r8i1p5f1,GISS-E2-1-G,1858,16.949963
9,hfss,historical,W m-2,mon,r8i1p5f1,GISS-E2-1-G,1859,17.034714
10,hfss,historical,W m-2,mon,r8i1p5f1,GISS-E2-1-G,1860,16.91011
11,hfss,historical,W m-2,mon,r8i1p5f1,GISS-E2-1-G,1861,17.004782
12,hfss,historical,W m-2,mon,r8i1p5f1,GISS-E2-1-G,1862,17.096155
13,hfss,historical,W m-2,mon,r8i1p5f1,GISS-E2-1-G,1863,17.057215
14,hfss,historical,W m-2,mon,r8i1p5f1,GISS-E2-1-G,1864,16.96939
15,hfss,historical,W m-2,mon,r8i1p5f1,GISS-E2-1-G,1865,16.854092
16,hfss,historical,W m-2,mon,r8i1p5f1,GISS-E2-1-G,1866,17.02534
17,hfss,historical,W m-2,mon,r8i1p5f1,GISS-E2-1-G,1867,17.062017
18,hfss,historical,W m-2,mon,r8i1p5f1,GISS-E2-1-G,1868,17.033014
19,hfss,historical,W m-2,mon,r8i1p5f1,GISS-E2-1-G,1869,16.973478
20,hfss,historical,W m-2,mon,r8i1p5f1,GISS-E2-1-G,1870,16.904179
21,hfss,historical,W m-2,mon,r8i1p5f1,GISS-E2-1-G,1871,16.992842
22,hfss,historical,W m-2,mon,r8i1p5f1,GISS-E2-1-G,1872,16.915005
23,hfss,historical,W m-2,mon,r8i1p5f1,GISS-E2-1-G,1873,17.013313
24,hfss,historical,W m-2,mon,r8i1p5f1,GISS-E2-1-G,1874,16.847654
25,hfss,historical,W m-2,mon,r8i1p5f1,GISS-E2-1-G,1875,16.857882
26,hfss,historical,W m-2,mon,r8i1p5f1,GISS-E2-1-G,1876,16.997862
27,hfss,historical,W m-2,mon,r8i1p5f1,GISS-E2-1-G,1877,16.99053
28,hfss,historical,W m-2,mon,r8i1p5f1,GISS-E2-1-G,1878,17.002707
29,hfss,historical,W m-2,mon,r8i1p5f1,GISS-E2-1-G,1879,16.879358
30,hfss,historical,W m-2,mon,r8i1p5f1,GISS-E2-1-G,1880,16.92727
31,hfss,historical,W m-2,mon,r8i1p5f1,GISS-E2-1-G,1881,16.916985
32,hfss,historical,W m-2,mon,r8i1p5f1,GISS-E2-1-G,1882,17.095766
33,hfss,historical,W m-2,mon,r8i1p5f1,GISS-E2-1-G,1883,16.930944
34,hfss,historical,W m-2,mon,r8i1p5f1,GISS-E2-1-G,1884,17.218401
35,hfss,historical,W m-2,mon,r8i1p5f1,GISS-E2-1-G,1885,16.965738
36,hfss,historical,W m-2,mon,r8i1p5f1,GISS-E2-1-G,1886,17.067429
37,hfss,historical,W m-2,mon,r8i1p5f1,GISS-E2-1-G,1887,17.016678
38,hfss,historical,W m-2,mon,r8i1p5f1,GISS-E2-1-G,1888,16.97929
39,hfss,historical,W m-2,mon,r8i1p5f1,GISS-E2-1-G,1889,16.887161
40,hfss,historical,W m-2,mon,r8i1p5f1,GISS-E2-1-G,1890,16.86263
41,hfss,historical,W m-2,mon,r8i1p5f1,GISS-E2-1-G,1891,16.972553
42,hfss,historical,W m-2,mon,r8i1p5f1,GISS-E2-1-G,1892,16.897451
