,variable,experiment,units,frequency,ensemble,model,year,value
0,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2015,16.109404
1,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2016,16.095795
2,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2017,15.970222
3,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2018,16.00099
4,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2019,16.01837
5,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2020,16.021235
6,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2021,15.889217
7,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2022,15.768424
8,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2023,15.863613
9,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2024,15.710498
10,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2025,15.67899
11,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2026,15.5628195
12,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2027,15.750051
13,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2028,15.722267
14,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2029,15.614797
15,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2030,15.537282
16,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2031,15.445218
17,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2032,15.478343
18,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2033,15.373885
19,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2034,15.372997
20,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2035,15.425594
21,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2036,15.317876
22,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2037,15.2635565
23,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2038,15.284482
24,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2039,15.335338
25,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2040,15.1306305
26,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2041,15.155342
27,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2042,15.221352
28,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2043,15.14016
29,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2044,15.091905
30,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2045,15.096272
31,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2046,15.142247
32,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2047,14.995252
33,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2048,14.859473
34,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2049,14.892624
35,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2050,14.957344
36,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2051,14.9212885
37,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2052,14.893054
38,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2053,14.797084
39,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2054,14.720588
40,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2055,14.749656
41,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2056,14.851903
42,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2057,14.496666
43,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2058,14.655278
44,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2059,14.653439
45,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2060,14.619156
46,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2061,14.437927
47,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2062,14.381837
48,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2063,14.561885
49,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2064,14.522862
50,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2065,14.287055
51,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2066,14.2991495
52,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2067,14.4857
53,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2068,14.121536
54,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2069,14.109653
55,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2070,14.164008
56,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2071,14.064541
57,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2072,14.05684
58,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2073,14.104664
59,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2074,14.223022
60,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2075,14.243991
61,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2076,14.0071745
62,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2077,14.033393
63,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2078,14.058373
64,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2079,13.868733
65,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2080,13.860866
66,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2081,14.062791
67,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2082,13.932443
68,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2083,13.790038
69,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2084,13.765625
70,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2085,13.910019
71,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2086,13.7714615
72,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2087,13.702836
73,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2088,13.827373
74,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2089,13.743871
75,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2090,13.592792
76,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2091,13.407963
77,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2092,13.51289
78,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2093,13.340663
79,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2094,13.41664
80,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2095,13.39634
81,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2096,13.273608
82,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2097,13.383499
83,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2098,13.33424
84,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2099,13.22804
85,hfss,ssp370,W m-2,mon,r2i1p3f2,GISS-E2-1-G,2100,13.191464
