,variable,experiment,units,frequency,ensemble,model,year,value
0,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1850,17.97883
1,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1851,17.989885
2,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1852,17.934172
3,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1853,17.987112
4,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1854,18.009935
5,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1855,17.915945
6,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1856,17.9722
7,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1857,17.960968
8,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1858,18.012789
9,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1859,17.95275
10,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1860,17.953835
11,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1861,17.96327
12,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1862,18.009787
13,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1863,18.105087
14,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1864,18.050867
15,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1865,18.06837
16,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1866,17.94463
17,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1867,17.92456
18,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1868,17.866808
19,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1869,18.053513
20,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1870,18.00862
21,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1871,17.983301
22,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1872,18.018831
23,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1873,18.011753
24,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1874,18.145885
25,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1875,18.162611
26,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1876,18.0636
27,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1877,18.090273
28,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1878,18.089863
29,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1879,17.948177
30,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1880,17.948463
31,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1881,18.033474
32,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1882,18.02046
33,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1883,18.032701
34,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1884,18.2437
35,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1885,18.207087
36,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1886,18.184519
37,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1887,18.249798
38,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1888,18.10915
39,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1889,17.986704
40,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1890,17.970354
41,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1891,18.133307
42,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1892,18.05057
43,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1893,17.917692
44,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1894,17.798315
45,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1895,17.900297
46,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1896,17.941435
47,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1897,17.914478
48,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1898,17.94533
49,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1899,17.982939
50,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1900,17.938278
51,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1901,17.96998
52,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1902,17.863834
53,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1903,18.082617
54,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1904,17.8874
55,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1905,17.8649
56,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1906,17.823914
57,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1907,17.890907
58,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1908,17.827604
59,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1909,17.942673
60,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1910,18.044802
61,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1911,18.065424
62,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1912,18.057402
63,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1913,17.975111
64,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1914,17.939598
65,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1915,17.90781
66,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1916,17.827753
67,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1917,17.891016
68,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1918,17.857239
69,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1919,17.888172
70,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1920,17.823175
71,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1921,17.711493
72,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1922,17.722948
73,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1923,17.780334
74,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1924,17.772312
75,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1925,17.758718
76,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1926,17.814186
77,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1927,17.882666
78,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1928,17.777588
79,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1929,17.870132
80,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1930,17.788952
81,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1931,17.703484
82,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1932,17.742184
83,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1933,17.752874
84,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1934,17.847254
85,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1935,17.692484
86,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1936,17.734102
87,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1937,17.810358
88,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1938,17.783546
89,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1939,17.787504
90,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1940,17.771166
91,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1941,17.814722
92,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1942,17.725805
93,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1943,17.731283
94,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1944,17.674768
95,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1945,17.71533
96,hfss,historical,W m-2,mon,r5i1p1f2,GISS-E2-1-H,1946,17.682451
