,variable,experiment,units,frequency,ensemble,model,year,value
0,hfss,ssp585,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2015,15.675114
1,hfss,ssp585,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2016,15.634029
2,hfss,ssp585,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2017,15.778821
3,hfss,ssp585,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2018,15.887174
4,hfss,ssp585,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2019,15.60247
5,hfss,ssp585,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2020,15.573575
6,hfss,ssp585,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2021,15.755379
7,hfss,ssp585,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2022,15.509803
8,hfss,ssp585,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2023,15.421557
9,hfss,ssp585,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2024,15.306075
10,hfss,ssp585,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2025,15.452447
11,hfss,ssp585,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2026,15.46944
12,hfss,ssp585,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2027,15.28439
13,hfss,ssp585,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2028,15.324528
14,hfss,ssp585,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2029,15.325272
15,hfss,ssp585,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2030,15.148888
16,hfss,ssp585,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2031,15.000698
17,hfss,ssp585,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2032,15.114797
18,hfss,ssp585,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2033,14.988797
19,hfss,ssp585,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2034,15.176089
20,hfss,ssp585,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2035,15.089204
21,hfss,ssp585,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2036,15.043243
22,hfss,ssp585,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2037,15.100503
23,hfss,ssp585,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2038,14.955978
24,hfss,ssp585,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2039,14.886093
25,hfss,ssp585,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2040,14.776672
26,hfss,ssp585,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2041,14.699062
27,hfss,ssp585,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2042,14.729194
28,hfss,ssp585,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2043,14.4531145
29,hfss,ssp585,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2044,14.561061
30,hfss,ssp585,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2045,14.785432
31,hfss,ssp585,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2046,14.603131
32,hfss,ssp585,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2047,14.508136
33,hfss,ssp585,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2048,14.573396
34,hfss,ssp585,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2049,14.394637
35,hfss,ssp585,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2050,14.486847
36,hfss,ssp585,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2051,14.432294
37,hfss,ssp585,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2052,14.368526
38,hfss,ssp585,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2053,14.3349
39,hfss,ssp585,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2054,14.1146965
40,hfss,ssp585,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2055,14.391418
41,hfss,ssp585,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2056,14.169557
42,hfss,ssp585,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2057,14.0638275
43,hfss,ssp585,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2058,14.052407
44,hfss,ssp585,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2059,13.961543
45,hfss,ssp585,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2060,14.02716
46,hfss,ssp585,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2061,13.870514
47,hfss,ssp585,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2062,14.020687
48,hfss,ssp585,W m-2,mon,r14i1p1f1,IPSL-CM6A-LR,2063,13.907382
