,variable,experiment,units,frequency,ensemble,model,year,value
0,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1850,7.193705
1,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1851,7.13804
2,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1852,7.21501
3,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1853,7.1035767
4,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1854,7.161413
5,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1855,7.2014065
6,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1856,7.222885
7,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1857,7.0330033
8,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1858,7.244459
9,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1859,7.1786485
10,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1860,7.1467996
11,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1861,7.177693
12,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1862,7.155475
13,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1863,7.3434834
14,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1864,7.2499638
15,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1865,7.142862
16,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1866,7.189295
17,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1867,7.1772327
18,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1868,7.278072
19,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1869,7.0646267
20,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1870,7.2700596
21,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1871,7.2229233
22,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1872,7.2386913
23,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1873,7.3261304
24,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1874,7.1851707
25,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1875,7.050589
26,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1876,7.098181
27,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1877,7.243716
28,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1878,7.1246095
29,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1879,7.0862765
30,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1880,7.2913003
31,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1881,7.1702294
32,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1882,7.053964
33,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1883,7.0655313
34,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1884,7.267168
35,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1885,7.153784
36,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1886,7.3295174
37,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1887,7.16713
38,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1888,7.228291
39,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1889,7.1722393
40,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1890,7.0422854
41,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1891,7.2512646
42,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1892,7.1725082
43,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1893,7.238219
44,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1894,7.2033076
45,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1895,7.110678
46,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1896,7.121191
47,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1897,7.1526275
48,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1898,7.119957
49,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1899,7.1462917
50,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1900,7.1637244
51,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1901,7.1989093
52,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1902,7.2729073
53,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1903,7.1872354
54,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1904,7.1350656
55,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1905,7.197161
56,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1906,7.2185903
57,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1907,7.14373
58,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1908,7.029075
59,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1909,7.2494283
60,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1910,7.082148
61,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1911,7.187939
62,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1912,7.200723
63,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1913,7.254233
64,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1914,7.1052494
65,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1915,7.164903
66,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1916,7.1647573
67,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1917,7.2305226
68,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1918,7.018553
69,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1919,7.115851
70,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1920,7.2513022
71,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1921,7.0923944
72,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1922,7.1615014
73,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1923,7.1241345
74,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1924,7.0680633
75,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1925,7.072613
76,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1926,6.973289
77,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1927,7.063256
78,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1928,7.0845013
79,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1929,7.135897
80,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1930,7.108006
81,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1931,6.977052
82,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1932,7.0825944
83,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1933,6.973749
84,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1934,7.0917144
85,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1935,7.1024876
86,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1936,7.1899185
87,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1937,6.9796453
88,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1938,6.9756246
89,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1939,7.036249
90,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1940,7.0319977
91,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1941,7.067709
92,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1942,7.175884
93,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1943,7.0211544
94,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1944,7.0545273
95,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1945,6.8939376
96,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1946,7.0538507
97,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1947,7.0761504
98,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1948,7.1068206
99,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1949,7.0600185
100,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1950,6.931795
101,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1951,7.0328064
102,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1952,7.0628357
103,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1953,6.997259
104,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1954,7.0978236
105,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1955,7.082027
106,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1956,7.1483135
107,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1957,7.03105
108,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1958,7.02146
109,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1959,6.9628453
110,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1960,7.0984025
111,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1961,7.0432878
112,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1962,7.029528
113,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1963,6.9978995
114,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1964,7.059933
115,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1965,7.1766853
116,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1966,7.172827
117,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1967,7.0155106
118,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1968,6.98929
119,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1969,7.1321564
120,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1970,7.0569463
121,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1971,7.018587
122,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1972,7.093241
123,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1973,7.049675
124,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1974,7.058369
125,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1975,7.1226463
126,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1976,7.0220065
127,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1977,6.917204
128,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1978,7.107609
129,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1979,7.0082207
130,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1980,6.9324946
131,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1981,6.832501
132,hfss,historical,W m-2,mon,r8i1p1f2,MIROC-ES2L,1982,6.9689336
