,variable,experiment,units,frequency,ensemble,model,year,value
0,hfss,ssp245,W m-2,mon,r9i1p1f1,MPI-ESM1-2-LR,2015,7.793487
1,hfss,ssp245,W m-2,mon,r9i1p1f1,MPI-ESM1-2-LR,2016,7.7812233
2,hfss,ssp245,W m-2,mon,r9i1p1f1,MPI-ESM1-2-LR,2017,7.726703
3,hfss,ssp245,W m-2,mon,r9i1p1f1,MPI-ESM1-2-LR,2018,7.737881
4,hfss,ssp245,W m-2,mon,r9i1p1f1,MPI-ESM1-2-LR,2019,7.8993354
5,hfss,ssp245,W m-2,mon,r9i1p1f1,MPI-ESM1-2-LR,2020,7.6423917
6,hfss,ssp245,W m-2,mon,r9i1p1f1,MPI-ESM1-2-LR,2021,7.7824593
7,hfss,ssp245,W m-2,mon,r9i1p1f1,MPI-ESM1-2-LR,2022,7.9957824
8,hfss,ssp245,W m-2,mon,r9i1p1f1,MPI-ESM1-2-LR,2023,7.860621
9,hfss,ssp245,W m-2,mon,r9i1p1f1,MPI-ESM1-2-LR,2024,7.741588
10,hfss,ssp245,W m-2,mon,r9i1p1f1,MPI-ESM1-2-LR,2025,7.7405334
11,hfss,ssp245,W m-2,mon,r9i1p1f1,MPI-ESM1-2-LR,2026,7.746405
12,hfss,ssp245,W m-2,mon,r9i1p1f1,MPI-ESM1-2-LR,2027,7.8490815
13,hfss,ssp245,W m-2,mon,r9i1p1f1,MPI-ESM1-2-LR,2028,7.6830406
14,hfss,ssp245,W m-2,mon,r9i1p1f1,MPI-ESM1-2-LR,2029,7.6015353
15,hfss,ssp245,W m-2,mon,r9i1p1f1,MPI-ESM1-2-LR,2030,7.674486
16,hfss,ssp245,W m-2,mon,r9i1p1f1,MPI-ESM1-2-LR,2031,7.663627
17,hfss,ssp245,W m-2,mon,r9i1p1f1,MPI-ESM1-2-LR,2032,7.69667
18,hfss,ssp245,W m-2,mon,r9i1p1f1,MPI-ESM1-2-LR,2033,7.7085996
19,hfss,ssp245,W m-2,mon,r9i1p1f1,MPI-ESM1-2-LR,2034,7.8150506
20,hfss,ssp245,W m-2,mon,r9i1p1f1,MPI-ESM1-2-LR,2035,7.5011
21,hfss,ssp245,W m-2,mon,r9i1p1f1,MPI-ESM1-2-LR,2036,7.652285
22,hfss,ssp245,W m-2,mon,r9i1p1f1,MPI-ESM1-2-LR,2037,7.637689
23,hfss,ssp245,W m-2,mon,r9i1p1f1,MPI-ESM1-2-LR,2038,7.592037
24,hfss,ssp245,W m-2,mon,r9i1p1f1,MPI-ESM1-2-LR,2039,7.7351823
25,hfss,ssp245,W m-2,mon,r9i1p1f1,MPI-ESM1-2-LR,2040,7.6779256
26,hfss,ssp245,W m-2,mon,r9i1p1f1,MPI-ESM1-2-LR,2041,7.595291
27,hfss,ssp245,W m-2,mon,r9i1p1f1,MPI-ESM1-2-LR,2042,7.5894713
28,hfss,ssp245,W m-2,mon,r9i1p1f1,MPI-ESM1-2-LR,2043,7.515248
29,hfss,ssp245,W m-2,mon,r9i1p1f1,MPI-ESM1-2-LR,2044,7.497574
30,hfss,ssp245,W m-2,mon,r9i1p1f1,MPI-ESM1-2-LR,2045,7.5523396
31,hfss,ssp245,W m-2,mon,r9i1p1f1,MPI-ESM1-2-LR,2046,7.5232472
32,hfss,ssp245,W m-2,mon,r9i1p1f1,MPI-ESM1-2-LR,2047,7.5123086
33,hfss,ssp245,W m-2,mon,r9i1p1f1,MPI-ESM1-2-LR,2048,7.5557957
34,hfss,ssp245,W m-2,mon,r9i1p1f1,MPI-ESM1-2-LR,2049,7.4811015
35,hfss,ssp245,W m-2,mon,r9i1p1f1,MPI-ESM1-2-LR,2050,7.398386
36,hfss,ssp245,W m-2,mon,r9i1p1f1,MPI-ESM1-2-LR,2051,7.5120125
