,variable,experiment,units,frequency,ensemble,model,year,value
0,hfss,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1850,16.95707
1,hfss,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1851,17.015352
2,hfss,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1852,16.967562
3,hfss,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1853,17.029613
4,hfss,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1854,17.075546
5,hfss,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1855,17.050901
6,hfss,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1856,16.984037
7,hfss,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1857,17.020134
8,hfss,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1858,16.992857
9,hfss,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1859,17.056288
10,hfss,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1860,16.902784
11,hfss,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1861,16.853058
12,hfss,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1862,17.033312
13,hfss,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1863,17.099737
14,hfss,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1864,17.036476
15,hfss,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1865,17.068169
16,hfss,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1866,16.906057
17,hfss,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1867,17.145681
18,hfss,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1868,16.96705
19,hfss,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1869,17.053802
20,hfss,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1870,16.989683
21,hfss,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1871,17.026863
22,hfss,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1872,16.815693
23,hfss,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1873,16.892239
24,hfss,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1874,16.908213
25,hfss,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1875,16.784292
26,hfss,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1876,16.749025
27,hfss,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1877,17.074167
28,hfss,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1878,16.94545
29,hfss,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1879,16.92634
30,hfss,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1880,16.946623
31,hfss,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1881,17.034616
32,hfss,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1882,16.865484
33,hfss,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1883,17.027334
34,hfss,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1884,17.088776
35,hfss,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1885,16.938356
36,hfss,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1886,17.034403
37,hfss,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1887,16.946865
38,hfss,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1888,17.043922
39,hfss,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1889,16.967089
40,hfss,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1890,16.954206
41,hfss,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1891,16.94378
42,hfss,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1892,17.131287
43,hfss,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1893,16.843603
44,hfss,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1894,16.822088
45,hfss,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1895,16.82485
46,hfss,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1896,16.937943
47,hfss,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1897,16.87519
48,hfss,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1898,17.09875
49,hfss,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1899,16.834215
50,hfss,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1900,16.813972
51,hfss,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1901,16.9171
52,hfss,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1902,16.744331
53,hfss,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1903,17.067436
54,hfss,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1904,17.088953
55,hfss,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1905,17.028656
56,hfss,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1906,16.84474
57,hfss,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1907,16.904884
58,hfss,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1908,17.052774
59,hfss,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1909,16.93081
60,hfss,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1910,16.939507
61,hfss,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1911,16.816124
62,hfss,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1912,16.915913
63,hfss,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1913,16.815264
64,hfss,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1914,16.682062
65,hfss,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1915,16.885122
66,hfss,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1916,16.879759
67,hfss,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1917,16.83599
68,hfss,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1918,16.936031
69,hfss,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1919,16.935444
70,hfss,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1920,16.86804
71,hfss,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1921,16.92055
72,hfss,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1922,16.790953
73,hfss,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1923,16.945673
74,hfss,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1924,16.807148
75,hfss,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1925,16.80821
76,hfss,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1926,16.742548
77,hfss,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1927,16.740168
78,hfss,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1928,16.712881
79,hfss,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1929,16.676464
80,hfss,historical,W m-2,mon,r2i1p1f1,MRI-ESM2-0,1930,16.738075
