,variable,experiment,units,frequency,ensemble,model,year,value
0,hfss,ssp585,W m-2,mon,r1i1p1f1,NorESM2-MM,2015,16.503695
1,hfss,ssp585,W m-2,mon,r1i1p1f1,NorESM2-MM,2016,16.377523
2,hfss,ssp585,W m-2,mon,r1i1p1f1,NorESM2-MM,2017,16.466026
3,hfss,ssp585,W m-2,mon,r1i1p1f1,NorESM2-MM,2018,16.482096
4,hfss,ssp585,W m-2,mon,r1i1p1f1,NorESM2-MM,2019,16.641777
5,hfss,ssp585,W m-2,mon,r1i1p1f1,NorESM2-MM,2020,16.495615
6,hfss,ssp585,W m-2,mon,r1i1p1f1,NorESM2-MM,2021,16.542213
7,hfss,ssp585,W m-2,mon,r1i1p1f1,NorESM2-MM,2022,16.393293
8,hfss,ssp585,W m-2,mon,r1i1p1f1,NorESM2-MM,2023,16.46427
9,hfss,ssp585,W m-2,mon,r1i1p1f1,NorESM2-MM,2024,16.398638
10,hfss,ssp585,W m-2,mon,r1i1p1f1,NorESM2-MM,2025,16.460747
11,hfss,ssp585,W m-2,mon,r1i1p1f1,NorESM2-MM,2026,16.447224
12,hfss,ssp585,W m-2,mon,r1i1p1f1,NorESM2-MM,2027,16.515131
13,hfss,ssp585,W m-2,mon,r1i1p1f1,NorESM2-MM,2028,16.326319
14,hfss,ssp585,W m-2,mon,r1i1p1f1,NorESM2-MM,2029,16.37223
15,hfss,ssp585,W m-2,mon,r1i1p1f1,NorESM2-MM,2030,16.363451
16,hfss,ssp585,W m-2,mon,r1i1p1f1,NorESM2-MM,2031,16.293924
17,hfss,ssp585,W m-2,mon,r1i1p1f1,NorESM2-MM,2032,16.400969
18,hfss,ssp585,W m-2,mon,r1i1p1f1,NorESM2-MM,2033,16.389074
19,hfss,ssp585,W m-2,mon,r1i1p1f1,NorESM2-MM,2034,16.20844
20,hfss,ssp585,W m-2,mon,r1i1p1f1,NorESM2-MM,2035,16.295637
21,hfss,ssp585,W m-2,mon,r1i1p1f1,NorESM2-MM,2036,16.391157
22,hfss,ssp585,W m-2,mon,r1i1p1f1,NorESM2-MM,2037,16.158602
23,hfss,ssp585,W m-2,mon,r1i1p1f1,NorESM2-MM,2038,16.209328
24,hfss,ssp585,W m-2,mon,r1i1p1f1,NorESM2-MM,2039,16.116161
25,hfss,ssp585,W m-2,mon,r1i1p1f1,NorESM2-MM,2040,15.97823
26,hfss,ssp585,W m-2,mon,r1i1p1f1,NorESM2-MM,2041,16.121729
27,hfss,ssp585,W m-2,mon,r1i1p1f1,NorESM2-MM,2042,16.249657
28,hfss,ssp585,W m-2,mon,r1i1p1f1,NorESM2-MM,2043,16.048073
29,hfss,ssp585,W m-2,mon,r1i1p1f1,NorESM2-MM,2044,16.067892
30,hfss,ssp585,W m-2,mon,r1i1p1f1,NorESM2-MM,2045,16.055862
31,hfss,ssp585,W m-2,mon,r1i1p1f1,NorESM2-MM,2046,15.954357
32,hfss,ssp585,W m-2,mon,r1i1p1f1,NorESM2-MM,2047,16.0254
33,hfss,ssp585,W m-2,mon,r1i1p1f1,NorESM2-MM,2048,15.924157
34,hfss,ssp585,W m-2,mon,r1i1p1f1,NorESM2-MM,2049,16.109549
35,hfss,ssp585,W m-2,mon,r1i1p1f1,NorESM2-MM,2050,16.144659
36,hfss,ssp585,W m-2,mon,r1i1p1f1,NorESM2-MM,2051,15.914421
37,hfss,ssp585,W m-2,mon,r1i1p1f1,NorESM2-MM,2052,15.959355
38,hfss,ssp585,W m-2,mon,r1i1p1f1,NorESM2-MM,2053,15.936791
39,hfss,ssp585,W m-2,mon,r1i1p1f1,NorESM2-MM,2054,15.90451
40,hfss,ssp585,W m-2,mon,r1i1p1f1,NorESM2-MM,2055,15.838123
41,hfss,ssp585,W m-2,mon,r1i1p1f1,NorESM2-MM,2056,15.86232
42,hfss,ssp585,W m-2,mon,r1i1p1f1,NorESM2-MM,2057,15.92409
43,hfss,ssp585,W m-2,mon,r1i1p1f1,NorESM2-MM,2058,15.666653
44,hfss,ssp585,W m-2,mon,r1i1p1f1,NorESM2-MM,2059,15.663362
45,hfss,ssp585,W m-2,mon,r1i1p1f1,NorESM2-MM,2060,15.817981
46,hfss,ssp585,W m-2,mon,r1i1p1f1,NorESM2-MM,2061,15.701135
47,hfss,ssp585,W m-2,mon,r1i1p1f1,NorESM2-MM,2062,15.7570505
48,hfss,ssp585,W m-2,mon,r1i1p1f1,NorESM2-MM,2063,15.739227
49,hfss,ssp585,W m-2,mon,r1i1p1f1,NorESM2-MM,2064,15.726901
50,hfss,ssp585,W m-2,mon,r1i1p1f1,NorESM2-MM,2065,15.699989
51,hfss,ssp585,W m-2,mon,r1i1p1f1,NorESM2-MM,2066,15.59176
