,variable,experiment,units,frequency,ensemble,model,year,value
0,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1850,366.33884
1,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1851,366.98795
2,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1852,366.4213
3,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1853,366.1233
4,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1854,366.3293
5,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1855,366.64124
6,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1856,366.7792
7,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1857,366.92432
8,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1858,367.03296
9,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1859,366.69666
10,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1860,366.88867
11,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1861,366.85864
12,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1862,366.38818
13,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1863,366.0237
14,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1864,366.31912
15,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1865,365.8962
16,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1866,366.05408
17,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1867,365.65927
18,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1868,366.30167
19,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1869,366.56116
20,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1870,367.0072
21,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1871,367.01807
22,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1872,366.9396
23,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1873,366.89297
24,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1874,366.7439
25,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1875,366.3706
26,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1876,366.63074
27,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1877,366.90762
28,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1878,367.79904
29,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1879,367.55527
30,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1880,367.16306
31,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1881,367.81754
32,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1882,367.83084
33,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1883,367.05984
34,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1884,364.1692
35,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1885,365.37045
36,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1886,366.27023
37,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1887,366.06027
38,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1888,365.88333
39,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1889,365.86758
40,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1890,367.0177
41,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1891,366.30203
42,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1892,366.36267
43,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1893,366.71216
44,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1894,366.52225
45,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1895,366.39673
46,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1896,366.81213
47,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1897,366.3468
48,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1898,366.2728
49,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1899,365.66492
50,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1900,365.74393
51,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1901,365.87076
52,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1902,365.22812
53,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1903,364.6715
54,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1904,364.90604
55,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1905,365.5062
56,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1906,364.95764
57,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1907,365.63846
58,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1908,366.0737
59,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1909,366.33188
60,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1910,366.20337
61,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1911,366.0918
62,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1912,365.6495
63,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1913,364.78275
64,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1914,365.2299
65,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1915,365.7849
66,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1916,365.86926
67,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1917,366.26224
68,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1918,365.7679
69,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1919,366.33643
70,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1920,366.46616
71,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1921,366.8516
72,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1922,367.24564
73,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1923,367.2136
74,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1924,367.50705
75,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1925,367.026
76,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1926,367.3505
77,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1927,366.94125
78,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1928,367.8732
79,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1929,367.97678
80,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1930,367.73514
81,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1931,367.77188
82,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1932,368.3324
83,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1933,367.98425
84,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1934,367.94604
85,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1935,368.23035
86,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1936,367.48593
87,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1937,367.04297
88,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1938,367.5952
89,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1939,368.29745
90,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1940,367.92123
91,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1941,367.66153
92,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1942,367.68436
93,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1943,367.6686
94,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1944,367.40762
95,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1945,367.55618
96,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1946,367.59924
97,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1947,368.81482
98,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1948,368.47556
99,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1949,368.27405
100,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1950,367.8862
101,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1951,368.05417
102,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1952,368.3795
103,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1953,367.74216
104,rlds,historical,W m-2,mon,r3i1p1f1,BCC-ESM1,1954,367.62784
