,variable,experiment,units,frequency,ensemble,model,year,value
0,rlds,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1850,359.62515
1,rlds,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1851,357.989
2,rlds,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1852,359.4366
3,rlds,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1853,359.38882
4,rlds,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1854,357.88083
5,rlds,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1855,358.2462
6,rlds,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1856,359.18155
7,rlds,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1857,357.74802
8,rlds,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1858,358.9668
9,rlds,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1859,360.00662
10,rlds,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1860,357.94177
11,rlds,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1861,358.665
12,rlds,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1862,359.16324
13,rlds,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1863,357.25064
14,rlds,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1864,359.05252
15,rlds,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1865,359.25247
16,rlds,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1866,358.26343
17,rlds,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1867,358.13675
18,rlds,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1868,359.82913
19,rlds,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1869,358.0712
20,rlds,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1870,358.90933
21,rlds,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1871,358.54248
22,rlds,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1872,358.89893
23,rlds,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1873,357.3529
24,rlds,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1874,358.83035
25,rlds,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1875,359.78442
26,rlds,historical,W m-2,mon,r28i1p1f2,CNRM-CM6-1,1876,356.62436
