,variable,experiment,units,frequency,ensemble,model,year,value
0,rlds,ssp434,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2015,368.15598
1,rlds,ssp434,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2016,367.5349
2,rlds,ssp434,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2017,367.68875
3,rlds,ssp434,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2018,368.3096
4,rlds,ssp434,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2019,369.08823
5,rlds,ssp434,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2020,367.66232
6,rlds,ssp434,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2021,367.86926
7,rlds,ssp434,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2022,368.2491
8,rlds,ssp434,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2023,368.98523
9,rlds,ssp434,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2024,369.616
10,rlds,ssp434,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2025,370.94565
11,rlds,ssp434,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2026,371.00015
12,rlds,ssp434,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2027,369.19302
13,rlds,ssp434,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2028,369.25174
14,rlds,ssp434,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2029,371.31808
15,rlds,ssp434,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2030,370.94003
16,rlds,ssp434,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2031,369.4106
17,rlds,ssp434,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2032,370.54382
18,rlds,ssp434,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2033,371.8041
19,rlds,ssp434,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2034,370.46118
20,rlds,ssp434,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2035,372.45923
21,rlds,ssp434,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2036,371.6349
22,rlds,ssp434,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2037,372.6776
23,rlds,ssp434,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2038,374.00052
24,rlds,ssp434,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2039,372.51672
25,rlds,ssp434,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2040,372.74222
26,rlds,ssp434,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2041,372.41544
27,rlds,ssp434,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2042,372.80795
28,rlds,ssp434,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2043,371.43375
29,rlds,ssp434,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2044,372.52615
30,rlds,ssp434,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2045,371.70596
31,rlds,ssp434,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2046,372.88095
32,rlds,ssp434,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2047,374.66873
33,rlds,ssp434,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2048,373.05875
34,rlds,ssp434,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2049,373.47012
35,rlds,ssp434,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2050,372.8325
36,rlds,ssp434,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2051,374.60117
37,rlds,ssp434,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2052,374.66675
38,rlds,ssp434,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2053,372.6442
39,rlds,ssp434,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2054,374.01956
40,rlds,ssp434,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2055,375.81705
41,rlds,ssp434,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2056,374.70535
42,rlds,ssp434,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2057,374.5934
43,rlds,ssp434,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2058,374.88095
44,rlds,ssp434,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2059,375.23935
45,rlds,ssp434,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2060,376.22217
46,rlds,ssp434,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2061,374.928
47,rlds,ssp434,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2062,375.87253
48,rlds,ssp434,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2063,374.64572
49,rlds,ssp434,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2064,375.3379
50,rlds,ssp434,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2065,375.22745
51,rlds,ssp434,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2066,376.65225
52,rlds,ssp434,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2067,375.94296
53,rlds,ssp434,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2068,376.70706
54,rlds,ssp434,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2069,375.39966
55,rlds,ssp434,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2070,375.92276
