,variable,experiment,units,frequency,ensemble,model,year,value
0,rlds,1pctCO2,W m-2,mon,r7i1p1f2,CNRM-ESM2-1,1850,362.11426
1,rlds,1pctCO2,W m-2,mon,r7i1p1f2,CNRM-ESM2-1,1851,362.11667
2,rlds,1pctCO2,W m-2,mon,r7i1p1f2,CNRM-ESM2-1,1852,360.70633
3,rlds,1pctCO2,W m-2,mon,r7i1p1f2,CNRM-ESM2-1,1853,361.79312
4,rlds,1pctCO2,W m-2,mon,r7i1p1f2,CNRM-ESM2-1,1854,362.234
5,rlds,1pctCO2,W m-2,mon,r7i1p1f2,CNRM-ESM2-1,1855,361.8799
6,rlds,1pctCO2,W m-2,mon,r7i1p1f2,CNRM-ESM2-1,1856,360.96414
7,rlds,1pctCO2,W m-2,mon,r7i1p1f2,CNRM-ESM2-1,1857,361.06998
8,rlds,1pctCO2,W m-2,mon,r7i1p1f2,CNRM-ESM2-1,1858,362.637
9,rlds,1pctCO2,W m-2,mon,r7i1p1f2,CNRM-ESM2-1,1859,362.1554
10,rlds,1pctCO2,W m-2,mon,r7i1p1f2,CNRM-ESM2-1,1860,362.88156
11,rlds,1pctCO2,W m-2,mon,r7i1p1f2,CNRM-ESM2-1,1861,361.61288
12,rlds,1pctCO2,W m-2,mon,r7i1p1f2,CNRM-ESM2-1,1862,361.82935
13,rlds,1pctCO2,W m-2,mon,r7i1p1f2,CNRM-ESM2-1,1863,362.91098
14,rlds,1pctCO2,W m-2,mon,r7i1p1f2,CNRM-ESM2-1,1864,362.97598
15,rlds,1pctCO2,W m-2,mon,r7i1p1f2,CNRM-ESM2-1,1865,362.9871
16,rlds,1pctCO2,W m-2,mon,r7i1p1f2,CNRM-ESM2-1,1866,362.41086
17,rlds,1pctCO2,W m-2,mon,r7i1p1f2,CNRM-ESM2-1,1867,362.59937
18,rlds,1pctCO2,W m-2,mon,r7i1p1f2,CNRM-ESM2-1,1868,363.459
19,rlds,1pctCO2,W m-2,mon,r7i1p1f2,CNRM-ESM2-1,1869,362.26852
20,rlds,1pctCO2,W m-2,mon,r7i1p1f2,CNRM-ESM2-1,1870,364.7435
