,variable,experiment,units,frequency,ensemble,model,year,value
0,rlds,ssp126,W m-2,mon,r9i1p2f1,CanESM5,2015,372.43863
1,rlds,ssp126,W m-2,mon,r9i1p2f1,CanESM5,2016,372.98538
2,rlds,ssp126,W m-2,mon,r9i1p2f1,CanESM5,2017,373.8069
3,rlds,ssp126,W m-2,mon,r9i1p2f1,CanESM5,2018,373.64987
4,rlds,ssp126,W m-2,mon,r9i1p2f1,CanESM5,2019,373.40005
5,rlds,ssp126,W m-2,mon,r9i1p2f1,CanESM5,2020,373.57968
6,rlds,ssp126,W m-2,mon,r9i1p2f1,CanESM5,2021,373.6472
7,rlds,ssp126,W m-2,mon,r9i1p2f1,CanESM5,2022,373.30716
8,rlds,ssp126,W m-2,mon,r9i1p2f1,CanESM5,2023,374.42038
9,rlds,ssp126,W m-2,mon,r9i1p2f1,CanESM5,2024,376.10782
10,rlds,ssp126,W m-2,mon,r9i1p2f1,CanESM5,2025,376.95773
11,rlds,ssp126,W m-2,mon,r9i1p2f1,CanESM5,2026,375.76187
12,rlds,ssp126,W m-2,mon,r9i1p2f1,CanESM5,2027,375.17
13,rlds,ssp126,W m-2,mon,r9i1p2f1,CanESM5,2028,375.76035
14,rlds,ssp126,W m-2,mon,r9i1p2f1,CanESM5,2029,376.4067
15,rlds,ssp126,W m-2,mon,r9i1p2f1,CanESM5,2030,375.58017
16,rlds,ssp126,W m-2,mon,r9i1p2f1,CanESM5,2031,375.82144
17,rlds,ssp126,W m-2,mon,r9i1p2f1,CanESM5,2032,375.8846
18,rlds,ssp126,W m-2,mon,r9i1p2f1,CanESM5,2033,376.1097
19,rlds,ssp126,W m-2,mon,r9i1p2f1,CanESM5,2034,377.3131
20,rlds,ssp126,W m-2,mon,r9i1p2f1,CanESM5,2035,378.40152
21,rlds,ssp126,W m-2,mon,r9i1p2f1,CanESM5,2036,378.7058
22,rlds,ssp126,W m-2,mon,r9i1p2f1,CanESM5,2037,377.71982
23,rlds,ssp126,W m-2,mon,r9i1p2f1,CanESM5,2038,377.36987
24,rlds,ssp126,W m-2,mon,r9i1p2f1,CanESM5,2039,378.8281
25,rlds,ssp126,W m-2,mon,r9i1p2f1,CanESM5,2040,377.7479
26,rlds,ssp126,W m-2,mon,r9i1p2f1,CanESM5,2041,377.6476
27,rlds,ssp126,W m-2,mon,r9i1p2f1,CanESM5,2042,377.66946
28,rlds,ssp126,W m-2,mon,r9i1p2f1,CanESM5,2043,377.45532
29,rlds,ssp126,W m-2,mon,r9i1p2f1,CanESM5,2044,378.66525
30,rlds,ssp126,W m-2,mon,r9i1p2f1,CanESM5,2045,377.73904
31,rlds,ssp126,W m-2,mon,r9i1p2f1,CanESM5,2046,378.1178
32,rlds,ssp126,W m-2,mon,r9i1p2f1,CanESM5,2047,378.1746
33,rlds,ssp126,W m-2,mon,r9i1p2f1,CanESM5,2048,378.40628
34,rlds,ssp126,W m-2,mon,r9i1p2f1,CanESM5,2049,377.63467
35,rlds,ssp126,W m-2,mon,r9i1p2f1,CanESM5,2050,378.8754
36,rlds,ssp126,W m-2,mon,r9i1p2f1,CanESM5,2051,378.86523
37,rlds,ssp126,W m-2,mon,r9i1p2f1,CanESM5,2052,379.3503
38,rlds,ssp126,W m-2,mon,r9i1p2f1,CanESM5,2053,378.2583
39,rlds,ssp126,W m-2,mon,r9i1p2f1,CanESM5,2054,377.65906
40,rlds,ssp126,W m-2,mon,r9i1p2f1,CanESM5,2055,378.2611
41,rlds,ssp126,W m-2,mon,r9i1p2f1,CanESM5,2056,378.48453
42,rlds,ssp126,W m-2,mon,r9i1p2f1,CanESM5,2057,379.42422
43,rlds,ssp126,W m-2,mon,r9i1p2f1,CanESM5,2058,378.9021
44,rlds,ssp126,W m-2,mon,r9i1p2f1,CanESM5,2059,378.85367
45,rlds,ssp126,W m-2,mon,r9i1p2f1,CanESM5,2060,378.50977
46,rlds,ssp126,W m-2,mon,r9i1p2f1,CanESM5,2061,378.18307
47,rlds,ssp126,W m-2,mon,r9i1p2f1,CanESM5,2062,379.27795
48,rlds,ssp126,W m-2,mon,r9i1p2f1,CanESM5,2063,379.53183
49,rlds,ssp126,W m-2,mon,r9i1p2f1,CanESM5,2064,378.5179
50,rlds,ssp126,W m-2,mon,r9i1p2f1,CanESM5,2065,379.10263
51,rlds,ssp126,W m-2,mon,r9i1p2f1,CanESM5,2066,378.2485
52,rlds,ssp126,W m-2,mon,r9i1p2f1,CanESM5,2067,377.96567
53,rlds,ssp126,W m-2,mon,r9i1p2f1,CanESM5,2068,379.29358
54,rlds,ssp126,W m-2,mon,r9i1p2f1,CanESM5,2069,378.79382
55,rlds,ssp126,W m-2,mon,r9i1p2f1,CanESM5,2070,378.70883
