,variable,experiment,units,frequency,ensemble,model,year,value
0,rlds,historical,W m-2,mon,r2i1p1f2,GISS-E2-1-G,1850,372.5472
1,rlds,historical,W m-2,mon,r2i1p1f2,GISS-E2-1-G,1851,372.47098
2,rlds,historical,W m-2,mon,r2i1p1f2,GISS-E2-1-G,1852,370.06082
3,rlds,historical,W m-2,mon,r2i1p1f2,GISS-E2-1-G,1853,371.39847
4,rlds,historical,W m-2,mon,r2i1p1f2,GISS-E2-1-G,1854,373.07446
5,rlds,historical,W m-2,mon,r2i1p1f2,GISS-E2-1-G,1855,372.06946
6,rlds,historical,W m-2,mon,r2i1p1f2,GISS-E2-1-G,1856,370.0675
7,rlds,historical,W m-2,mon,r2i1p1f2,GISS-E2-1-G,1857,370.65027
8,rlds,historical,W m-2,mon,r2i1p1f2,GISS-E2-1-G,1858,372.31165
9,rlds,historical,W m-2,mon,r2i1p1f2,GISS-E2-1-G,1859,373.4349
10,rlds,historical,W m-2,mon,r2i1p1f2,GISS-E2-1-G,1860,371.56778
11,rlds,historical,W m-2,mon,r2i1p1f2,GISS-E2-1-G,1861,370.40247
12,rlds,historical,W m-2,mon,r2i1p1f2,GISS-E2-1-G,1862,371.38525
13,rlds,historical,W m-2,mon,r2i1p1f2,GISS-E2-1-G,1863,372.7562
14,rlds,historical,W m-2,mon,r2i1p1f2,GISS-E2-1-G,1864,371.51486
15,rlds,historical,W m-2,mon,r2i1p1f2,GISS-E2-1-G,1865,369.02444
16,rlds,historical,W m-2,mon,r2i1p1f2,GISS-E2-1-G,1866,370.5176
17,rlds,historical,W m-2,mon,r2i1p1f2,GISS-E2-1-G,1867,372.7925
18,rlds,historical,W m-2,mon,r2i1p1f2,GISS-E2-1-G,1868,373.0898
19,rlds,historical,W m-2,mon,r2i1p1f2,GISS-E2-1-G,1869,370.735
20,rlds,historical,W m-2,mon,r2i1p1f2,GISS-E2-1-G,1870,371.7714
21,rlds,historical,W m-2,mon,r2i1p1f2,GISS-E2-1-G,1871,371.9043
22,rlds,historical,W m-2,mon,r2i1p1f2,GISS-E2-1-G,1872,370.66086
23,rlds,historical,W m-2,mon,r2i1p1f2,GISS-E2-1-G,1873,370.5697
24,rlds,historical,W m-2,mon,r2i1p1f2,GISS-E2-1-G,1874,372.9751
25,rlds,historical,W m-2,mon,r2i1p1f2,GISS-E2-1-G,1875,373.07227
