,variable,experiment,units,frequency,ensemble,model,year,value
0,rlds,historical,W m-2,mon,r21i1p1f1,IPSL-CM6A-LR,1850,365.73624
1,rlds,historical,W m-2,mon,r21i1p1f1,IPSL-CM6A-LR,1851,366.8049
2,rlds,historical,W m-2,mon,r21i1p1f1,IPSL-CM6A-LR,1852,364.52454
3,rlds,historical,W m-2,mon,r21i1p1f1,IPSL-CM6A-LR,1853,364.6179
4,rlds,historical,W m-2,mon,r21i1p1f1,IPSL-CM6A-LR,1854,366.2026
5,rlds,historical,W m-2,mon,r21i1p1f1,IPSL-CM6A-LR,1855,366.51974
6,rlds,historical,W m-2,mon,r21i1p1f1,IPSL-CM6A-LR,1856,365.2252
7,rlds,historical,W m-2,mon,r21i1p1f1,IPSL-CM6A-LR,1857,364.31693
8,rlds,historical,W m-2,mon,r21i1p1f1,IPSL-CM6A-LR,1858,364.55228
9,rlds,historical,W m-2,mon,r21i1p1f1,IPSL-CM6A-LR,1859,364.6787
10,rlds,historical,W m-2,mon,r21i1p1f1,IPSL-CM6A-LR,1860,364.44168
11,rlds,historical,W m-2,mon,r21i1p1f1,IPSL-CM6A-LR,1861,364.44406
12,rlds,historical,W m-2,mon,r21i1p1f1,IPSL-CM6A-LR,1862,363.69046
13,rlds,historical,W m-2,mon,r21i1p1f1,IPSL-CM6A-LR,1863,364.33115
14,rlds,historical,W m-2,mon,r21i1p1f1,IPSL-CM6A-LR,1864,365.86185
15,rlds,historical,W m-2,mon,r21i1p1f1,IPSL-CM6A-LR,1865,366.57523
16,rlds,historical,W m-2,mon,r21i1p1f1,IPSL-CM6A-LR,1866,364.27896
17,rlds,historical,W m-2,mon,r21i1p1f1,IPSL-CM6A-LR,1867,364.53967
18,rlds,historical,W m-2,mon,r21i1p1f1,IPSL-CM6A-LR,1868,364.45584
19,rlds,historical,W m-2,mon,r21i1p1f1,IPSL-CM6A-LR,1869,364.86874
20,rlds,historical,W m-2,mon,r21i1p1f1,IPSL-CM6A-LR,1870,365.36325
21,rlds,historical,W m-2,mon,r21i1p1f1,IPSL-CM6A-LR,1871,366.49197
22,rlds,historical,W m-2,mon,r21i1p1f1,IPSL-CM6A-LR,1872,365.04245
23,rlds,historical,W m-2,mon,r21i1p1f1,IPSL-CM6A-LR,1873,365.75974
24,rlds,historical,W m-2,mon,r21i1p1f1,IPSL-CM6A-LR,1874,365.31625
25,rlds,historical,W m-2,mon,r21i1p1f1,IPSL-CM6A-LR,1875,365.48697
26,rlds,historical,W m-2,mon,r21i1p1f1,IPSL-CM6A-LR,1876,365.5808
27,rlds,historical,W m-2,mon,r21i1p1f1,IPSL-CM6A-LR,1877,364.31018
28,rlds,historical,W m-2,mon,r21i1p1f1,IPSL-CM6A-LR,1878,363.5681
29,rlds,historical,W m-2,mon,r21i1p1f1,IPSL-CM6A-LR,1879,365.91553
