,variable,experiment,units,frequency,ensemble,model,year,value
0,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1850,370.92957
1,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1851,370.9955
2,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1852,371.4458
3,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1853,371.5214
4,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1854,371.77954
5,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1855,371.3595
6,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1856,371.23877
7,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1857,370.7883
8,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1858,371.4227
9,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1859,371.70248
10,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1860,371.82217
11,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1861,372.70438
12,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1862,370.9037
13,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1863,370.8877
14,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1864,371.39197
15,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1865,370.79382
16,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1866,371.55396
17,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1867,370.91806
18,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1868,370.39603
19,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1869,371.23438
20,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1870,371.5099
21,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1871,371.11734
22,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1872,371.4644
23,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1873,372.02988
24,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1874,373.455
25,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1875,373.6742
26,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1876,371.59265
27,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1877,370.90295
28,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1878,371.69138
29,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1879,371.76627
30,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1880,372.187
31,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1881,371.4446
32,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1882,371.14456
33,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1883,371.72116
34,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1884,370.42264
35,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1885,371.44998
36,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1886,372.07083
37,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1887,371.22714
38,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1888,372.64572
39,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1889,373.7161
40,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1890,372.9719
41,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1891,370.7197
42,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1892,370.9117
43,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1893,371.26465
44,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1894,371.78043
45,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1895,373.22742
46,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1896,373.70618
47,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1897,371.6947
48,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1898,371.3982
49,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1899,371.94156
50,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1900,371.23755
51,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1901,371.6818
52,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1902,371.2893
53,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1903,371.3827
54,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1904,372.48074
55,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1905,371.69604
56,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1906,371.48352
57,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1907,371.96732
58,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1908,372.43295
59,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1909,373.51242
60,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1910,371.32327
61,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1911,371.81644
62,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1912,372.15848
63,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1913,371.94205
64,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1914,372.42325
65,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1915,374.24838
66,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1916,373.86133
67,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1917,370.84583
68,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1918,371.05692
69,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1919,372.00693
70,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1920,373.03116
71,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1921,372.68555
72,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1922,372.43112
73,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1923,373.66162
74,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1924,373.09692
75,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1925,373.03308
76,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1926,372.9419
77,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1927,372.70602
78,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1928,373.5437
79,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1929,372.98862
80,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1930,372.55515
81,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1931,372.62057
82,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1932,373.09305
83,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1933,374.3558
84,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1934,374.60928
85,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1935,373.94897
86,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1936,371.9537
87,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1937,372.21057
88,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1938,372.77243
89,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1939,372.75345
90,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1940,372.99814
91,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1941,372.60483
92,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1942,372.40414
93,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1943,373.52087
94,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1944,374.72595
95,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1945,374.4519
96,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1946,372.20923
97,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1947,371.9155
98,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1948,371.51547
99,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1949,371.9371
100,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1950,372.61148
101,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1951,372.68594
102,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1952,372.46
103,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1953,373.34756
104,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1954,375.7584
105,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1955,375.3966
106,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1956,373.15808
107,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1957,372.3729
108,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1958,372.85208
109,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1959,372.83505
110,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1960,372.7793
111,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1961,373.80405
112,rlds,historical,W m-2,mon,r6i1p1f1,MIROC6,1962,376.00757
