,variable,experiment,units,frequency,ensemble,model,year,value
0,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2015,375.69962
1,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2016,375.39062
2,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2017,376.56064
3,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2018,376.92017
4,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2019,378.34204
5,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2020,379.43222
6,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2021,380.4526
7,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2022,377.06192
8,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2023,376.74646
9,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2024,377.68143
10,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2025,378.7427
11,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2026,381.10953
12,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2027,382.07703
13,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2028,378.85538
14,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2029,377.48413
15,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2030,379.36243
16,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2031,381.0154
17,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2032,379.79202
18,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2033,378.01572
19,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2034,379.07162
20,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2035,381.13925
21,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2036,383.3237
22,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2037,382.58606
23,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2038,380.30185
24,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2039,380.18176
25,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2040,381.0953
26,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2041,382.25076
27,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2042,384.71872
28,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2043,381.23825
29,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2044,380.7645
30,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2045,381.72266
31,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2046,383.5402
32,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2047,384.97348
33,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2048,381.50058
34,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2049,380.29727
35,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2050,383.032
36,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2051,383.36926
37,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2052,384.522
38,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2053,384.71652
39,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2054,385.70377
40,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2055,383.47012
41,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2056,382.68216
42,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2057,384.35117
43,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2058,385.87564
44,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2059,386.7886
45,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2060,383.08057
46,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2061,382.79028
47,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2062,383.81384
48,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2063,385.1774
49,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2064,386.5518
50,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2065,384.9139
51,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2066,385.2474
52,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2067,387.255
53,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2068,387.69467
54,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2069,384.6448
55,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2070,384.94482
56,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2071,385.70822
57,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2072,387.38306
58,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2073,388.9053
59,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2074,385.5001
60,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2075,384.86765
61,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2076,386.75095
62,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2077,388.70767
63,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2078,388.5186
64,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2079,384.78772
65,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2080,384.47482
66,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2081,387.44315
67,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2082,389.45386
68,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2083,386.46744
69,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2084,386.68375
70,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2085,388.40747
71,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2086,389.38474
72,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2087,386.3259
73,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2088,386.66016
74,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2089,387.84634
75,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2090,389.98306
76,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2091,387.6986
77,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2092,386.7039
78,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2093,387.69144
79,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2094,389.70602
80,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2095,390.05212
81,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2096,387.1777
82,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2097,386.58948
83,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2098,387.51303
84,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2099,390.0076
85,rlds,ssp460,W m-2,mon,r1i1p1f1,MIROC6,2100,391.28226
