,variable,experiment,units,frequency,ensemble,model,year,value
0,rlds,ssp434,W m-2,mon,r8i1p1f2,UKESM1-0-LL,2015,371.0107
1,rlds,ssp434,W m-2,mon,r8i1p1f2,UKESM1-0-LL,2016,370.9602
2,rlds,ssp434,W m-2,mon,r8i1p1f2,UKESM1-0-LL,2017,370.28198
3,rlds,ssp434,W m-2,mon,r8i1p1f2,UKESM1-0-LL,2018,371.0266
4,rlds,ssp434,W m-2,mon,r8i1p1f2,UKESM1-0-LL,2019,371.8629
5,rlds,ssp434,W m-2,mon,r8i1p1f2,UKESM1-0-LL,2020,372.7443
6,rlds,ssp434,W m-2,mon,r8i1p1f2,UKESM1-0-LL,2021,372.1689
7,rlds,ssp434,W m-2,mon,r8i1p1f2,UKESM1-0-LL,2022,371.2268
8,rlds,ssp434,W m-2,mon,r8i1p1f2,UKESM1-0-LL,2023,373.46384
9,rlds,ssp434,W m-2,mon,r8i1p1f2,UKESM1-0-LL,2024,373.51834
10,rlds,ssp434,W m-2,mon,r8i1p1f2,UKESM1-0-LL,2025,372.6383
11,rlds,ssp434,W m-2,mon,r8i1p1f2,UKESM1-0-LL,2026,373.7889
12,rlds,ssp434,W m-2,mon,r8i1p1f2,UKESM1-0-LL,2027,374.89273
13,rlds,ssp434,W m-2,mon,r8i1p1f2,UKESM1-0-LL,2028,375.8832
14,rlds,ssp434,W m-2,mon,r8i1p1f2,UKESM1-0-LL,2029,375.2688
15,rlds,ssp434,W m-2,mon,r8i1p1f2,UKESM1-0-LL,2030,374.60327
16,rlds,ssp434,W m-2,mon,r8i1p1f2,UKESM1-0-LL,2031,375.3981
17,rlds,ssp434,W m-2,mon,r8i1p1f2,UKESM1-0-LL,2032,376.10327
18,rlds,ssp434,W m-2,mon,r8i1p1f2,UKESM1-0-LL,2033,375.69434
19,rlds,ssp434,W m-2,mon,r8i1p1f2,UKESM1-0-LL,2034,375.84103
20,rlds,ssp434,W m-2,mon,r8i1p1f2,UKESM1-0-LL,2035,376.12097
21,rlds,ssp434,W m-2,mon,r8i1p1f2,UKESM1-0-LL,2036,376.7954
22,rlds,ssp434,W m-2,mon,r8i1p1f2,UKESM1-0-LL,2037,377.34714
23,rlds,ssp434,W m-2,mon,r8i1p1f2,UKESM1-0-LL,2038,376.84082
24,rlds,ssp434,W m-2,mon,r8i1p1f2,UKESM1-0-LL,2039,376.6344
25,rlds,ssp434,W m-2,mon,r8i1p1f2,UKESM1-0-LL,2040,376.42786
26,rlds,ssp434,W m-2,mon,r8i1p1f2,UKESM1-0-LL,2041,376.8975
27,rlds,ssp434,W m-2,mon,r8i1p1f2,UKESM1-0-LL,2042,377.80484
28,rlds,ssp434,W m-2,mon,r8i1p1f2,UKESM1-0-LL,2043,378.60083
29,rlds,ssp434,W m-2,mon,r8i1p1f2,UKESM1-0-LL,2044,378.2203
30,rlds,ssp434,W m-2,mon,r8i1p1f2,UKESM1-0-LL,2045,377.52734
31,rlds,ssp434,W m-2,mon,r8i1p1f2,UKESM1-0-LL,2046,377.9858
32,rlds,ssp434,W m-2,mon,r8i1p1f2,UKESM1-0-LL,2047,378.3574
33,rlds,ssp434,W m-2,mon,r8i1p1f2,UKESM1-0-LL,2048,379.254
34,rlds,ssp434,W m-2,mon,r8i1p1f2,UKESM1-0-LL,2049,379.78406
35,rlds,ssp434,W m-2,mon,r8i1p1f2,UKESM1-0-LL,2050,379.2521
36,rlds,ssp434,W m-2,mon,r8i1p1f2,UKESM1-0-LL,2051,379.51175
37,rlds,ssp434,W m-2,mon,r8i1p1f2,UKESM1-0-LL,2052,379.24527
38,rlds,ssp434,W m-2,mon,r8i1p1f2,UKESM1-0-LL,2053,379.40503
39,rlds,ssp434,W m-2,mon,r8i1p1f2,UKESM1-0-LL,2054,380.56754
40,rlds,ssp434,W m-2,mon,r8i1p1f2,UKESM1-0-LL,2055,379.71118
41,rlds,ssp434,W m-2,mon,r8i1p1f2,UKESM1-0-LL,2056,379.50064
42,rlds,ssp434,W m-2,mon,r8i1p1f2,UKESM1-0-LL,2057,379.8173
43,rlds,ssp434,W m-2,mon,r8i1p1f2,UKESM1-0-LL,2058,379.13437
44,rlds,ssp434,W m-2,mon,r8i1p1f2,UKESM1-0-LL,2059,381.34488
45,rlds,ssp434,W m-2,mon,r8i1p1f2,UKESM1-0-LL,2060,381.1379
46,rlds,ssp434,W m-2,mon,r8i1p1f2,UKESM1-0-LL,2061,379.93124
47,rlds,ssp434,W m-2,mon,r8i1p1f2,UKESM1-0-LL,2062,380.463
48,rlds,ssp434,W m-2,mon,r8i1p1f2,UKESM1-0-LL,2063,380.63208
49,rlds,ssp434,W m-2,mon,r8i1p1f2,UKESM1-0-LL,2064,381.8169
50,rlds,ssp434,W m-2,mon,r8i1p1f2,UKESM1-0-LL,2065,382.17526
51,rlds,ssp434,W m-2,mon,r8i1p1f2,UKESM1-0-LL,2066,382.5953
52,rlds,ssp434,W m-2,mon,r8i1p1f2,UKESM1-0-LL,2067,381.28268
53,rlds,ssp434,W m-2,mon,r8i1p1f2,UKESM1-0-LL,2068,381.6057
54,rlds,ssp434,W m-2,mon,r8i1p1f2,UKESM1-0-LL,2069,382.20517
55,rlds,ssp434,W m-2,mon,r8i1p1f2,UKESM1-0-LL,2070,382.51636
56,rlds,ssp434,W m-2,mon,r8i1p1f2,UKESM1-0-LL,2071,383.5243
57,rlds,ssp434,W m-2,mon,r8i1p1f2,UKESM1-0-LL,2072,383.29922
58,rlds,ssp434,W m-2,mon,r8i1p1f2,UKESM1-0-LL,2073,381.91672
59,rlds,ssp434,W m-2,mon,r8i1p1f2,UKESM1-0-LL,2074,382.2726
60,rlds,ssp434,W m-2,mon,r8i1p1f2,UKESM1-0-LL,2075,382.7323
61,rlds,ssp434,W m-2,mon,r8i1p1f2,UKESM1-0-LL,2076,382.33948
62,rlds,ssp434,W m-2,mon,r8i1p1f2,UKESM1-0-LL,2077,382.96036
63,rlds,ssp434,W m-2,mon,r8i1p1f2,UKESM1-0-LL,2078,384.00284
64,rlds,ssp434,W m-2,mon,r8i1p1f2,UKESM1-0-LL,2079,383.40433
65,rlds,ssp434,W m-2,mon,r8i1p1f2,UKESM1-0-LL,2080,383.33728
66,rlds,ssp434,W m-2,mon,r8i1p1f2,UKESM1-0-LL,2081,384.0706
67,rlds,ssp434,W m-2,mon,r8i1p1f2,UKESM1-0-LL,2082,384.80832
68,rlds,ssp434,W m-2,mon,r8i1p1f2,UKESM1-0-LL,2083,383.2941
69,rlds,ssp434,W m-2,mon,r8i1p1f2,UKESM1-0-LL,2084,383.7524
70,rlds,ssp434,W m-2,mon,r8i1p1f2,UKESM1-0-LL,2085,384.2628
