,variable,experiment,units,frequency,ensemble,model,year,value
0,rlus,historical,W m-2,mon,r3i1p1f1,CESM2-WACCM-FV2,1850,425.8406
1,rlus,historical,W m-2,mon,r3i1p1f1,CESM2-WACCM-FV2,1851,425.80554
2,rlus,historical,W m-2,mon,r3i1p1f1,CESM2-WACCM-FV2,1852,425.67636
3,rlus,historical,W m-2,mon,r3i1p1f1,CESM2-WACCM-FV2,1853,424.65726
4,rlus,historical,W m-2,mon,r3i1p1f1,CESM2-WACCM-FV2,1854,425.17786
5,rlus,historical,W m-2,mon,r3i1p1f1,CESM2-WACCM-FV2,1855,425.1924
6,rlus,historical,W m-2,mon,r3i1p1f1,CESM2-WACCM-FV2,1856,424.86353
7,rlus,historical,W m-2,mon,r3i1p1f1,CESM2-WACCM-FV2,1857,425.82675
8,rlus,historical,W m-2,mon,r3i1p1f1,CESM2-WACCM-FV2,1858,425.8313
9,rlus,historical,W m-2,mon,r3i1p1f1,CESM2-WACCM-FV2,1859,424.51218
10,rlus,historical,W m-2,mon,r3i1p1f1,CESM2-WACCM-FV2,1860,425.5481
11,rlus,historical,W m-2,mon,r3i1p1f1,CESM2-WACCM-FV2,1861,425.6893
12,rlus,historical,W m-2,mon,r3i1p1f1,CESM2-WACCM-FV2,1862,425.28262
13,rlus,historical,W m-2,mon,r3i1p1f1,CESM2-WACCM-FV2,1863,425.61472
14,rlus,historical,W m-2,mon,r3i1p1f1,CESM2-WACCM-FV2,1864,426.1039
15,rlus,historical,W m-2,mon,r3i1p1f1,CESM2-WACCM-FV2,1865,425.5319
16,rlus,historical,W m-2,mon,r3i1p1f1,CESM2-WACCM-FV2,1866,426.23547
17,rlus,historical,W m-2,mon,r3i1p1f1,CESM2-WACCM-FV2,1867,425.99
18,rlus,historical,W m-2,mon,r3i1p1f1,CESM2-WACCM-FV2,1868,424.72144
19,rlus,historical,W m-2,mon,r3i1p1f1,CESM2-WACCM-FV2,1869,425.34073
20,rlus,historical,W m-2,mon,r3i1p1f1,CESM2-WACCM-FV2,1870,425.34534
21,rlus,historical,W m-2,mon,r3i1p1f1,CESM2-WACCM-FV2,1871,425.14246
22,rlus,historical,W m-2,mon,r3i1p1f1,CESM2-WACCM-FV2,1872,425.8572
23,rlus,historical,W m-2,mon,r3i1p1f1,CESM2-WACCM-FV2,1873,426.79355
24,rlus,historical,W m-2,mon,r3i1p1f1,CESM2-WACCM-FV2,1874,426.41464
25,rlus,historical,W m-2,mon,r3i1p1f1,CESM2-WACCM-FV2,1875,426.45837
26,rlus,historical,W m-2,mon,r3i1p1f1,CESM2-WACCM-FV2,1876,426.47842
27,rlus,historical,W m-2,mon,r3i1p1f1,CESM2-WACCM-FV2,1877,425.14322
28,rlus,historical,W m-2,mon,r3i1p1f1,CESM2-WACCM-FV2,1878,426.0994
29,rlus,historical,W m-2,mon,r3i1p1f1,CESM2-WACCM-FV2,1879,425.59705
30,rlus,historical,W m-2,mon,r3i1p1f1,CESM2-WACCM-FV2,1880,425.88855
31,rlus,historical,W m-2,mon,r3i1p1f1,CESM2-WACCM-FV2,1881,426.69223
32,rlus,historical,W m-2,mon,r3i1p1f1,CESM2-WACCM-FV2,1882,426.75882
33,rlus,historical,W m-2,mon,r3i1p1f1,CESM2-WACCM-FV2,1883,425.2926
34,rlus,historical,W m-2,mon,r3i1p1f1,CESM2-WACCM-FV2,1884,424.80002
35,rlus,historical,W m-2,mon,r3i1p1f1,CESM2-WACCM-FV2,1885,425.08298
36,rlus,historical,W m-2,mon,r3i1p1f1,CESM2-WACCM-FV2,1886,424.29855
37,rlus,historical,W m-2,mon,r3i1p1f1,CESM2-WACCM-FV2,1887,423.7267
38,rlus,historical,W m-2,mon,r3i1p1f1,CESM2-WACCM-FV2,1888,424.87558
39,rlus,historical,W m-2,mon,r3i1p1f1,CESM2-WACCM-FV2,1889,426.33524
40,rlus,historical,W m-2,mon,r3i1p1f1,CESM2-WACCM-FV2,1890,426.165
41,rlus,historical,W m-2,mon,r3i1p1f1,CESM2-WACCM-FV2,1891,426.35364
42,rlus,historical,W m-2,mon,r3i1p1f1,CESM2-WACCM-FV2,1892,425.5774
43,rlus,historical,W m-2,mon,r3i1p1f1,CESM2-WACCM-FV2,1893,425.6749
44,rlus,historical,W m-2,mon,r3i1p1f1,CESM2-WACCM-FV2,1894,426.1652
45,rlus,historical,W m-2,mon,r3i1p1f1,CESM2-WACCM-FV2,1895,425.77454
46,rlus,historical,W m-2,mon,r3i1p1f1,CESM2-WACCM-FV2,1896,426.45752
47,rlus,historical,W m-2,mon,r3i1p1f1,CESM2-WACCM-FV2,1897,426.4399
48,rlus,historical,W m-2,mon,r3i1p1f1,CESM2-WACCM-FV2,1898,424.42532
49,rlus,historical,W m-2,mon,r3i1p1f1,CESM2-WACCM-FV2,1899,424.4186
50,rlus,historical,W m-2,mon,r3i1p1f1,CESM2-WACCM-FV2,1900,426.1825
51,rlus,historical,W m-2,mon,r3i1p1f1,CESM2-WACCM-FV2,1901,425.88293
52,rlus,historical,W m-2,mon,r3i1p1f1,CESM2-WACCM-FV2,1902,424.47287
53,rlus,historical,W m-2,mon,r3i1p1f1,CESM2-WACCM-FV2,1903,424.47867
54,rlus,historical,W m-2,mon,r3i1p1f1,CESM2-WACCM-FV2,1904,425.71597
55,rlus,historical,W m-2,mon,r3i1p1f1,CESM2-WACCM-FV2,1905,425.16165
56,rlus,historical,W m-2,mon,r3i1p1f1,CESM2-WACCM-FV2,1906,425.19778
57,rlus,historical,W m-2,mon,r3i1p1f1,CESM2-WACCM-FV2,1907,425.8669
58,rlus,historical,W m-2,mon,r3i1p1f1,CESM2-WACCM-FV2,1908,425.9053
59,rlus,historical,W m-2,mon,r3i1p1f1,CESM2-WACCM-FV2,1909,425.7317
60,rlus,historical,W m-2,mon,r3i1p1f1,CESM2-WACCM-FV2,1910,426.05258
61,rlus,historical,W m-2,mon,r3i1p1f1,CESM2-WACCM-FV2,1911,426.85873
62,rlus,historical,W m-2,mon,r3i1p1f1,CESM2-WACCM-FV2,1912,426.41592
