,variable,experiment,units,frequency,ensemble,model,year,value
0,rlus,historical,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,1850,423.34937
1,rlus,historical,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,1851,423.0898
2,rlus,historical,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,1852,422.5815
3,rlus,historical,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,1853,423.84024
4,rlus,historical,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,1854,423.9003
5,rlus,historical,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,1855,423.9303
6,rlus,historical,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,1856,424.08362
7,rlus,historical,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,1857,423.84216
8,rlus,historical,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,1858,423.5928
9,rlus,historical,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,1859,423.79062
10,rlus,historical,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,1860,423.4078
11,rlus,historical,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,1861,423.51382
12,rlus,historical,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,1862,423.47842
13,rlus,historical,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,1863,422.42746
14,rlus,historical,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,1864,422.05978
15,rlus,historical,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,1865,421.8801
16,rlus,historical,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,1866,421.58377
17,rlus,historical,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,1867,422.2406
18,rlus,historical,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,1868,423.28305
19,rlus,historical,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,1869,424.35916
20,rlus,historical,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,1870,423.86194
21,rlus,historical,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,1871,422.95963
22,rlus,historical,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,1872,423.40842
23,rlus,historical,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,1873,423.35837
24,rlus,historical,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,1874,423.22
25,rlus,historical,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,1875,422.86057
26,rlus,historical,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,1876,422.45926
27,rlus,historical,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,1877,422.62485
28,rlus,historical,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,1878,422.92123
29,rlus,historical,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,1879,422.53238
30,rlus,historical,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,1880,422.83572
31,rlus,historical,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,1881,423.09262
32,rlus,historical,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,1882,422.4476
33,rlus,historical,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,1883,421.264
34,rlus,historical,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,1884,420.95972
35,rlus,historical,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,1885,421.96887
36,rlus,historical,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,1886,422.3579
37,rlus,historical,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,1887,421.37524
38,rlus,historical,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,1888,421.12466
39,rlus,historical,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,1889,421.82886
40,rlus,historical,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,1890,421.76367
41,rlus,historical,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,1891,421.91464
42,rlus,historical,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,1892,422.17612
43,rlus,historical,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,1893,423.22327
44,rlus,historical,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,1894,423.62695
45,rlus,historical,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,1895,421.98523
46,rlus,historical,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,1896,421.2717
47,rlus,historical,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,1897,421.68506
48,rlus,historical,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,1898,422.12662
49,rlus,historical,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,1899,422.78226
50,rlus,historical,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,1900,423.68826
51,rlus,historical,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,1901,423.79373
52,rlus,historical,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,1902,423.25876
53,rlus,historical,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,1903,422.01016
54,rlus,historical,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,1904,421.7556
55,rlus,historical,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,1905,421.74203
56,rlus,historical,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,1906,421.73962
57,rlus,historical,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,1907,422.2015
58,rlus,historical,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,1908,422.48282
59,rlus,historical,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,1909,423.49106
60,rlus,historical,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,1910,423.98392
61,rlus,historical,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,1911,422.35056
62,rlus,historical,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,1912,421.9857
63,rlus,historical,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,1913,421.78122
64,rlus,historical,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,1914,422.8309
65,rlus,historical,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,1915,422.68192
66,rlus,historical,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,1916,423.5399
67,rlus,historical,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,1917,423.2994
68,rlus,historical,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,1918,423.2311
69,rlus,historical,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,1919,423.2399
70,rlus,historical,W m-2,mon,r1i1p1f1,CMCC-CM2-SR5,1920,423.76486
