,variable,experiment,units,frequency,ensemble,model,year,value
0,rlus,historical,W m-2,mon,r11i1p1f2,CNRM-CM6-1,1850,417.70718
1,rlus,historical,W m-2,mon,r11i1p1f2,CNRM-CM6-1,1851,417.91064
2,rlus,historical,W m-2,mon,r11i1p1f2,CNRM-CM6-1,1852,418.06357
3,rlus,historical,W m-2,mon,r11i1p1f2,CNRM-CM6-1,1853,417.75687
4,rlus,historical,W m-2,mon,r11i1p1f2,CNRM-CM6-1,1854,417.67322
5,rlus,historical,W m-2,mon,r11i1p1f2,CNRM-CM6-1,1855,417.3999
6,rlus,historical,W m-2,mon,r11i1p1f2,CNRM-CM6-1,1856,417.4973
7,rlus,historical,W m-2,mon,r11i1p1f2,CNRM-CM6-1,1857,417.9473
8,rlus,historical,W m-2,mon,r11i1p1f2,CNRM-CM6-1,1858,417.73694
9,rlus,historical,W m-2,mon,r11i1p1f2,CNRM-CM6-1,1859,417.86
10,rlus,historical,W m-2,mon,r11i1p1f2,CNRM-CM6-1,1860,417.42642
11,rlus,historical,W m-2,mon,r11i1p1f2,CNRM-CM6-1,1861,417.51797
12,rlus,historical,W m-2,mon,r11i1p1f2,CNRM-CM6-1,1862,417.8745
13,rlus,historical,W m-2,mon,r11i1p1f2,CNRM-CM6-1,1863,417.8395
14,rlus,historical,W m-2,mon,r11i1p1f2,CNRM-CM6-1,1864,417.69995
15,rlus,historical,W m-2,mon,r11i1p1f2,CNRM-CM6-1,1865,418.21188
16,rlus,historical,W m-2,mon,r11i1p1f2,CNRM-CM6-1,1866,417.4739
17,rlus,historical,W m-2,mon,r11i1p1f2,CNRM-CM6-1,1867,417.8435
18,rlus,historical,W m-2,mon,r11i1p1f2,CNRM-CM6-1,1868,417.83994
19,rlus,historical,W m-2,mon,r11i1p1f2,CNRM-CM6-1,1869,417.17526
20,rlus,historical,W m-2,mon,r11i1p1f2,CNRM-CM6-1,1870,417.92673
21,rlus,historical,W m-2,mon,r11i1p1f2,CNRM-CM6-1,1871,418.3402
22,rlus,historical,W m-2,mon,r11i1p1f2,CNRM-CM6-1,1872,416.9028
23,rlus,historical,W m-2,mon,r11i1p1f2,CNRM-CM6-1,1873,417.5724
24,rlus,historical,W m-2,mon,r11i1p1f2,CNRM-CM6-1,1874,417.92398
25,rlus,historical,W m-2,mon,r11i1p1f2,CNRM-CM6-1,1875,416.72803
26,rlus,historical,W m-2,mon,r11i1p1f2,CNRM-CM6-1,1876,417.5725
27,rlus,historical,W m-2,mon,r11i1p1f2,CNRM-CM6-1,1877,418.041
28,rlus,historical,W m-2,mon,r11i1p1f2,CNRM-CM6-1,1878,417.66345
29,rlus,historical,W m-2,mon,r11i1p1f2,CNRM-CM6-1,1879,417.83972
30,rlus,historical,W m-2,mon,r11i1p1f2,CNRM-CM6-1,1880,417.11124
31,rlus,historical,W m-2,mon,r11i1p1f2,CNRM-CM6-1,1881,417.24295
32,rlus,historical,W m-2,mon,r11i1p1f2,CNRM-CM6-1,1882,417.7078
33,rlus,historical,W m-2,mon,r11i1p1f2,CNRM-CM6-1,1883,417.0719
34,rlus,historical,W m-2,mon,r11i1p1f2,CNRM-CM6-1,1884,416.55112
35,rlus,historical,W m-2,mon,r11i1p1f2,CNRM-CM6-1,1885,417.52292
36,rlus,historical,W m-2,mon,r11i1p1f2,CNRM-CM6-1,1886,418.07764
37,rlus,historical,W m-2,mon,r11i1p1f2,CNRM-CM6-1,1887,417.30966
38,rlus,historical,W m-2,mon,r11i1p1f2,CNRM-CM6-1,1888,417.21146
39,rlus,historical,W m-2,mon,r11i1p1f2,CNRM-CM6-1,1889,417.03006
40,rlus,historical,W m-2,mon,r11i1p1f2,CNRM-CM6-1,1890,417.76724
41,rlus,historical,W m-2,mon,r11i1p1f2,CNRM-CM6-1,1891,418.41403
42,rlus,historical,W m-2,mon,r11i1p1f2,CNRM-CM6-1,1892,417.2449
43,rlus,historical,W m-2,mon,r11i1p1f2,CNRM-CM6-1,1893,418.14075
44,rlus,historical,W m-2,mon,r11i1p1f2,CNRM-CM6-1,1894,418.05978
45,rlus,historical,W m-2,mon,r11i1p1f2,CNRM-CM6-1,1895,417.1548
46,rlus,historical,W m-2,mon,r11i1p1f2,CNRM-CM6-1,1896,417.50082
47,rlus,historical,W m-2,mon,r11i1p1f2,CNRM-CM6-1,1897,417.44943
48,rlus,historical,W m-2,mon,r11i1p1f2,CNRM-CM6-1,1898,417.35623
49,rlus,historical,W m-2,mon,r11i1p1f2,CNRM-CM6-1,1899,417.87817
50,rlus,historical,W m-2,mon,r11i1p1f2,CNRM-CM6-1,1900,417.08813
51,rlus,historical,W m-2,mon,r11i1p1f2,CNRM-CM6-1,1901,418.26273
52,rlus,historical,W m-2,mon,r11i1p1f2,CNRM-CM6-1,1902,418.1797
53,rlus,historical,W m-2,mon,r11i1p1f2,CNRM-CM6-1,1903,417.35474
54,rlus,historical,W m-2,mon,r11i1p1f2,CNRM-CM6-1,1904,417.6802
55,rlus,historical,W m-2,mon,r11i1p1f2,CNRM-CM6-1,1905,417.86667
56,rlus,historical,W m-2,mon,r11i1p1f2,CNRM-CM6-1,1906,417.44962
57,rlus,historical,W m-2,mon,r11i1p1f2,CNRM-CM6-1,1907,417.91577
58,rlus,historical,W m-2,mon,r11i1p1f2,CNRM-CM6-1,1908,418.63895
59,rlus,historical,W m-2,mon,r11i1p1f2,CNRM-CM6-1,1909,418.25723
60,rlus,historical,W m-2,mon,r11i1p1f2,CNRM-CM6-1,1910,418.34653
61,rlus,historical,W m-2,mon,r11i1p1f2,CNRM-CM6-1,1911,418.50842
62,rlus,historical,W m-2,mon,r11i1p1f2,CNRM-CM6-1,1912,417.81055
63,rlus,historical,W m-2,mon,r11i1p1f2,CNRM-CM6-1,1913,418.10886
64,rlus,historical,W m-2,mon,r11i1p1f2,CNRM-CM6-1,1914,418.09265
65,rlus,historical,W m-2,mon,r11i1p1f2,CNRM-CM6-1,1915,418.09897
66,rlus,historical,W m-2,mon,r11i1p1f2,CNRM-CM6-1,1916,418.44287
67,rlus,historical,W m-2,mon,r11i1p1f2,CNRM-CM6-1,1917,418.10745
68,rlus,historical,W m-2,mon,r11i1p1f2,CNRM-CM6-1,1918,417.80807
69,rlus,historical,W m-2,mon,r11i1p1f2,CNRM-CM6-1,1919,418.2573
70,rlus,historical,W m-2,mon,r11i1p1f2,CNRM-CM6-1,1920,418.42392
71,rlus,historical,W m-2,mon,r11i1p1f2,CNRM-CM6-1,1921,418.4557
72,rlus,historical,W m-2,mon,r11i1p1f2,CNRM-CM6-1,1922,418.50513
