,variable,experiment,units,frequency,ensemble,model,year,value
0,rlus,ssp370,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2015,424.63504
1,rlus,ssp370,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2016,424.2924
2,rlus,ssp370,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2017,423.77502
3,rlus,ssp370,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2018,424.4275
4,rlus,ssp370,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2019,424.2977
5,rlus,ssp370,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2020,424.33875
6,rlus,ssp370,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2021,424.03738
7,rlus,ssp370,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2022,423.68872
8,rlus,ssp370,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2023,423.4751
9,rlus,ssp370,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2024,423.7062
10,rlus,ssp370,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2025,424.93277
11,rlus,ssp370,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2026,425.4429
12,rlus,ssp370,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2027,424.8236
13,rlus,ssp370,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2028,425.13864
14,rlus,ssp370,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2029,425.53958
15,rlus,ssp370,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2030,425.91223
16,rlus,ssp370,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2031,424.74
17,rlus,ssp370,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2032,425.42386
18,rlus,ssp370,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2033,426.314
19,rlus,ssp370,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2034,426.8339
20,rlus,ssp370,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2035,426.35278
21,rlus,ssp370,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2036,426.86353
22,rlus,ssp370,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2037,427.28146
23,rlus,ssp370,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2038,426.64355
24,rlus,ssp370,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2039,426.81168
25,rlus,ssp370,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2040,427.57156
26,rlus,ssp370,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2041,427.32236
27,rlus,ssp370,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2042,427.65683
28,rlus,ssp370,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2043,427.77896
29,rlus,ssp370,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2044,427.74448
30,rlus,ssp370,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2045,427.93625
31,rlus,ssp370,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2046,427.98132
32,rlus,ssp370,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2047,428.0886
33,rlus,ssp370,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2048,428.60754
34,rlus,ssp370,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2049,429.75003
35,rlus,ssp370,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2050,428.75024
36,rlus,ssp370,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2051,429.39624
37,rlus,ssp370,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2052,430.00204
38,rlus,ssp370,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2053,430.1587
39,rlus,ssp370,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2054,429.60593
40,rlus,ssp370,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2055,430.01038
41,rlus,ssp370,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2056,429.96436
42,rlus,ssp370,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2057,430.03543
43,rlus,ssp370,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2058,431.3722
44,rlus,ssp370,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2059,431.5787
45,rlus,ssp370,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2060,431.07028
46,rlus,ssp370,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2061,431.29532
47,rlus,ssp370,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2062,432.54883
48,rlus,ssp370,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2063,431.88864
49,rlus,ssp370,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2064,430.8679
50,rlus,ssp370,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2065,432.693
51,rlus,ssp370,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2066,432.9204
52,rlus,ssp370,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2067,432.5837
53,rlus,ssp370,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2068,432.94153
54,rlus,ssp370,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2069,432.63565
55,rlus,ssp370,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2070,432.8146
56,rlus,ssp370,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2071,434.3118
57,rlus,ssp370,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2072,433.775
58,rlus,ssp370,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2073,433.95328
59,rlus,ssp370,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2074,434.75134
60,rlus,ssp370,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2075,435.33972
61,rlus,ssp370,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2076,435.2754
62,rlus,ssp370,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2077,434.70068
63,rlus,ssp370,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2078,436.00754
64,rlus,ssp370,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2079,435.83972
65,rlus,ssp370,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2080,435.41443
66,rlus,ssp370,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2081,435.54752
67,rlus,ssp370,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2082,435.72488
68,rlus,ssp370,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2083,437.02176
69,rlus,ssp370,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2084,437.0768
70,rlus,ssp370,W m-2,mon,r2i1p1f2,CNRM-ESM2-1,2085,437.08517
