,variable,experiment,units,frequency,ensemble,model,year,value
0,rlus,historical,W m-2,mon,r6i1p2f1,CanESM5,1850,418.02148
1,rlus,historical,W m-2,mon,r6i1p2f1,CanESM5,1851,416.88992
2,rlus,historical,W m-2,mon,r6i1p2f1,CanESM5,1852,416.94485
3,rlus,historical,W m-2,mon,r6i1p2f1,CanESM5,1853,416.7955
4,rlus,historical,W m-2,mon,r6i1p2f1,CanESM5,1854,416.6094
5,rlus,historical,W m-2,mon,r6i1p2f1,CanESM5,1855,416.4321
6,rlus,historical,W m-2,mon,r6i1p2f1,CanESM5,1856,416.60242
7,rlus,historical,W m-2,mon,r6i1p2f1,CanESM5,1857,416.5409
8,rlus,historical,W m-2,mon,r6i1p2f1,CanESM5,1858,417.34128
9,rlus,historical,W m-2,mon,r6i1p2f1,CanESM5,1859,417.27664
10,rlus,historical,W m-2,mon,r6i1p2f1,CanESM5,1860,417.00626
11,rlus,historical,W m-2,mon,r6i1p2f1,CanESM5,1861,416.8296
12,rlus,historical,W m-2,mon,r6i1p2f1,CanESM5,1862,416.3635
13,rlus,historical,W m-2,mon,r6i1p2f1,CanESM5,1863,416.59555
14,rlus,historical,W m-2,mon,r6i1p2f1,CanESM5,1864,416.55252
15,rlus,historical,W m-2,mon,r6i1p2f1,CanESM5,1865,416.6263
16,rlus,historical,W m-2,mon,r6i1p2f1,CanESM5,1866,417.08292
17,rlus,historical,W m-2,mon,r6i1p2f1,CanESM5,1867,417.13745
18,rlus,historical,W m-2,mon,r6i1p2f1,CanESM5,1868,416.50864
19,rlus,historical,W m-2,mon,r6i1p2f1,CanESM5,1869,417.03613
20,rlus,historical,W m-2,mon,r6i1p2f1,CanESM5,1870,416.97604
21,rlus,historical,W m-2,mon,r6i1p2f1,CanESM5,1871,416.27664
22,rlus,historical,W m-2,mon,r6i1p2f1,CanESM5,1872,416.52417
23,rlus,historical,W m-2,mon,r6i1p2f1,CanESM5,1873,417.78516
24,rlus,historical,W m-2,mon,r6i1p2f1,CanESM5,1874,418.05722
25,rlus,historical,W m-2,mon,r6i1p2f1,CanESM5,1875,417.56506
26,rlus,historical,W m-2,mon,r6i1p2f1,CanESM5,1876,417.8658
27,rlus,historical,W m-2,mon,r6i1p2f1,CanESM5,1877,417.81628
28,rlus,historical,W m-2,mon,r6i1p2f1,CanESM5,1878,417.40347
29,rlus,historical,W m-2,mon,r6i1p2f1,CanESM5,1879,417.25272
30,rlus,historical,W m-2,mon,r6i1p2f1,CanESM5,1880,417.50208
31,rlus,historical,W m-2,mon,r6i1p2f1,CanESM5,1881,416.1935
32,rlus,historical,W m-2,mon,r6i1p2f1,CanESM5,1882,416.17468
33,rlus,historical,W m-2,mon,r6i1p2f1,CanESM5,1883,416.0576
34,rlus,historical,W m-2,mon,r6i1p2f1,CanESM5,1884,414.32315
35,rlus,historical,W m-2,mon,r6i1p2f1,CanESM5,1885,414.29678
36,rlus,historical,W m-2,mon,r6i1p2f1,CanESM5,1886,415.26245
37,rlus,historical,W m-2,mon,r6i1p2f1,CanESM5,1887,415.6339
38,rlus,historical,W m-2,mon,r6i1p2f1,CanESM5,1888,416.42245
39,rlus,historical,W m-2,mon,r6i1p2f1,CanESM5,1889,416.62292
40,rlus,historical,W m-2,mon,r6i1p2f1,CanESM5,1890,416.509
41,rlus,historical,W m-2,mon,r6i1p2f1,CanESM5,1891,416.07568
42,rlus,historical,W m-2,mon,r6i1p2f1,CanESM5,1892,416.132
43,rlus,historical,W m-2,mon,r6i1p2f1,CanESM5,1893,416.44092
44,rlus,historical,W m-2,mon,r6i1p2f1,CanESM5,1894,417.213
45,rlus,historical,W m-2,mon,r6i1p2f1,CanESM5,1895,417.09457
46,rlus,historical,W m-2,mon,r6i1p2f1,CanESM5,1896,416.19006
47,rlus,historical,W m-2,mon,r6i1p2f1,CanESM5,1897,416.77902
48,rlus,historical,W m-2,mon,r6i1p2f1,CanESM5,1898,417.39197
49,rlus,historical,W m-2,mon,r6i1p2f1,CanESM5,1899,418.04178
50,rlus,historical,W m-2,mon,r6i1p2f1,CanESM5,1900,417.40195
51,rlus,historical,W m-2,mon,r6i1p2f1,CanESM5,1901,417.1566
52,rlus,historical,W m-2,mon,r6i1p2f1,CanESM5,1902,416.93088
53,rlus,historical,W m-2,mon,r6i1p2f1,CanESM5,1903,416.0817
54,rlus,historical,W m-2,mon,r6i1p2f1,CanESM5,1904,415.81992
55,rlus,historical,W m-2,mon,r6i1p2f1,CanESM5,1905,416.2227
