,variable,experiment,units,frequency,ensemble,model,year,value
0,rlus,ssp585,W m-2,mon,r6i1p2f1,CanESM5,2015,424.75186
1,rlus,ssp585,W m-2,mon,r6i1p2f1,CanESM5,2016,425.06906
2,rlus,ssp585,W m-2,mon,r6i1p2f1,CanESM5,2017,425.3804
3,rlus,ssp585,W m-2,mon,r6i1p2f1,CanESM5,2018,424.97018
4,rlus,ssp585,W m-2,mon,r6i1p2f1,CanESM5,2019,424.79834
5,rlus,ssp585,W m-2,mon,r6i1p2f1,CanESM5,2020,425.79456
6,rlus,ssp585,W m-2,mon,r6i1p2f1,CanESM5,2021,426.32455
7,rlus,ssp585,W m-2,mon,r6i1p2f1,CanESM5,2022,427.53027
8,rlus,ssp585,W m-2,mon,r6i1p2f1,CanESM5,2023,427.42575
9,rlus,ssp585,W m-2,mon,r6i1p2f1,CanESM5,2024,426.30887
10,rlus,ssp585,W m-2,mon,r6i1p2f1,CanESM5,2025,425.65646
11,rlus,ssp585,W m-2,mon,r6i1p2f1,CanESM5,2026,426.22812
12,rlus,ssp585,W m-2,mon,r6i1p2f1,CanESM5,2027,427.01273
13,rlus,ssp585,W m-2,mon,r6i1p2f1,CanESM5,2028,427.07553
14,rlus,ssp585,W m-2,mon,r6i1p2f1,CanESM5,2029,428.60092
15,rlus,ssp585,W m-2,mon,r6i1p2f1,CanESM5,2030,427.9232
16,rlus,ssp585,W m-2,mon,r6i1p2f1,CanESM5,2031,427.46838
17,rlus,ssp585,W m-2,mon,r6i1p2f1,CanESM5,2032,428.29724
18,rlus,ssp585,W m-2,mon,r6i1p2f1,CanESM5,2033,429.60886
19,rlus,ssp585,W m-2,mon,r6i1p2f1,CanESM5,2034,428.62778
20,rlus,ssp585,W m-2,mon,r6i1p2f1,CanESM5,2035,428.28073
21,rlus,ssp585,W m-2,mon,r6i1p2f1,CanESM5,2036,429.2186
22,rlus,ssp585,W m-2,mon,r6i1p2f1,CanESM5,2037,429.50375
23,rlus,ssp585,W m-2,mon,r6i1p2f1,CanESM5,2038,429.9208
24,rlus,ssp585,W m-2,mon,r6i1p2f1,CanESM5,2039,428.86227
25,rlus,ssp585,W m-2,mon,r6i1p2f1,CanESM5,2040,430.4736
