,variable,experiment,units,frequency,ensemble,model,year,value
0,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1850,426.04776
1,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1851,426.04996
2,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1852,424.32602
3,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1853,423.64413
4,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1854,424.17398
5,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1855,426.20862
6,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1856,426.6616
7,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1857,424.84033
8,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1858,424.63818
9,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1859,425.62903
10,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1860,426.75143
11,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1861,425.11435
12,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1862,424.01974
13,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1863,424.79648
14,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1864,425.31204
15,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1865,425.30002
16,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1866,424.53333
17,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1867,424.03796
18,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1868,424.2512
19,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1869,424.51108
20,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1870,424.93484
21,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1871,425.96414
22,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1872,425.75806
23,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1873,424.88293
24,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1874,424.307
25,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1875,424.4237
26,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1876,425.39526
27,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1877,426.10178
28,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1878,424.98343
29,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1879,424.38538
30,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1880,424.4841
31,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1881,425.72116
32,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1882,426.0387
33,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1883,423.88306
34,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1884,422.86734
35,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1885,423.74857
36,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1886,425.57315
37,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1887,425.62723
38,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1888,424.20474
39,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1889,424.64978
40,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1890,425.78824
41,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1891,426.3291
42,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1892,424.26083
43,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1893,423.2976
44,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1894,424.36703
45,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1895,425.50302
46,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1896,426.74014
47,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1897,425.66745
48,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1898,424.9336
49,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1899,426.0443
50,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1900,426.81308
51,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1901,424.58627
52,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1902,423.66687
53,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1903,423.99878
54,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1904,425.57388
55,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1905,425.49094
56,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1906,425.35587
57,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1907,424.3992
58,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1908,424.84045
59,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1909,424.729
60,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1910,425.6704
61,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1911,426.25357
62,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1912,424.9772
63,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1913,423.71878
64,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1914,424.94522
65,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1915,425.78918
66,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1916,424.45218
67,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1917,424.10117
68,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1918,424.83823
69,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1919,426.76132
70,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1920,426.62076
71,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1921,424.7506
72,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1922,425.08786
73,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1923,425.78128
74,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1924,426.48633
75,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1925,426.51285
76,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1926,424.97513
77,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1927,424.88403
78,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1928,425.60367
79,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1929,426.8215
80,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1930,426.9672
81,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1931,426.93326
82,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1932,425.30814
83,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1933,423.99118
84,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1934,424.80444
85,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1935,425.12814
86,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1936,425.88516
87,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1937,426.03906
88,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1938,425.77396
89,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1939,425.30087
90,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1940,425.49075
91,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1941,426.01938
92,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1942,426.97925
93,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1943,426.08487
94,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1944,425.03036
95,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1945,425.573
96,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1946,425.41635
97,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1947,425.0903
98,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1948,425.5096
99,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1949,426.9706
100,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1950,427.09058
101,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1951,425.24475
102,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1952,424.84714
103,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1953,425.43713
104,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1954,426.67667
105,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1955,426.21457
106,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1956,425.11264
107,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1957,425.25497
108,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1958,426.31528
109,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1959,427.30884
110,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1960,426.1809
111,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1961,424.8812
112,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1962,426.39282
113,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1963,426.62442
114,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1964,424.53516
115,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1965,424.12503
116,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1966,425.33948
117,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1967,426.54382
118,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1968,426.92966
119,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1969,426.38596
120,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1970,425.64487
121,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1971,425.35837
122,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1972,425.93457
123,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1973,426.6298
124,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1974,426.79422
125,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1975,425.19748
126,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1976,425.61966
127,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1977,426.9214
128,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1978,426.82812
129,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1979,425.68774
130,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1980,425.9974
131,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1981,427.07834
132,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1982,428.03915
133,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1983,427.16354
134,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1984,427.6124
135,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1985,426.71194
136,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1986,426.76822
137,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1987,427.8325
138,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1988,428.46497
139,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1989,427.4214
140,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1990,426.64957
141,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1991,427.2073
142,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1992,427.14853
143,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1993,427.51218
144,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1994,426.0825
145,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1995,425.97012
146,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1996,426.38382
147,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1997,427.40372
148,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1998,428.82248
149,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1999,429.1869
150,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,2000,428.31223
151,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,2001,428.03433
152,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,2002,428.65707
153,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,2003,429.25204
154,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,2004,429.4025
155,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,2005,427.22147
156,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,2006,427.51462
157,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,2007,428.2687
158,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,2008,429.0398
159,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,2009,427.46317
160,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,2010,427.1274
161,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,2011,428.3398
162,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,2012,429.80417
163,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,2013,429.57092
164,rlus,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,2014,427.5314
