,variable,experiment,units,frequency,ensemble,model,year,value
0,rlus,ssp370,W m-2,mon,r1i1p1f1,INM-CM5-0,2015,421.9291
1,rlus,ssp370,W m-2,mon,r1i1p1f1,INM-CM5-0,2016,421.53113
2,rlus,ssp370,W m-2,mon,r1i1p1f1,INM-CM5-0,2017,421.6261
3,rlus,ssp370,W m-2,mon,r1i1p1f1,INM-CM5-0,2018,422.3478
4,rlus,ssp370,W m-2,mon,r1i1p1f1,INM-CM5-0,2019,422.7257
5,rlus,ssp370,W m-2,mon,r1i1p1f1,INM-CM5-0,2020,422.34705
6,rlus,ssp370,W m-2,mon,r1i1p1f1,INM-CM5-0,2021,422.5544
7,rlus,ssp370,W m-2,mon,r1i1p1f1,INM-CM5-0,2022,423.277
8,rlus,ssp370,W m-2,mon,r1i1p1f1,INM-CM5-0,2023,423.3124
9,rlus,ssp370,W m-2,mon,r1i1p1f1,INM-CM5-0,2024,423.3016
10,rlus,ssp370,W m-2,mon,r1i1p1f1,INM-CM5-0,2025,423.52908
11,rlus,ssp370,W m-2,mon,r1i1p1f1,INM-CM5-0,2026,423.4122
12,rlus,ssp370,W m-2,mon,r1i1p1f1,INM-CM5-0,2027,423.54196
13,rlus,ssp370,W m-2,mon,r1i1p1f1,INM-CM5-0,2028,423.09888
14,rlus,ssp370,W m-2,mon,r1i1p1f1,INM-CM5-0,2029,423.52182
15,rlus,ssp370,W m-2,mon,r1i1p1f1,INM-CM5-0,2030,423.73343
16,rlus,ssp370,W m-2,mon,r1i1p1f1,INM-CM5-0,2031,424.41135
17,rlus,ssp370,W m-2,mon,r1i1p1f1,INM-CM5-0,2032,424.59827
18,rlus,ssp370,W m-2,mon,r1i1p1f1,INM-CM5-0,2033,424.36844
19,rlus,ssp370,W m-2,mon,r1i1p1f1,INM-CM5-0,2034,424.2935
20,rlus,ssp370,W m-2,mon,r1i1p1f1,INM-CM5-0,2035,424.50894
21,rlus,ssp370,W m-2,mon,r1i1p1f1,INM-CM5-0,2036,424.63058
22,rlus,ssp370,W m-2,mon,r1i1p1f1,INM-CM5-0,2037,425.2765
23,rlus,ssp370,W m-2,mon,r1i1p1f1,INM-CM5-0,2038,425.3905
24,rlus,ssp370,W m-2,mon,r1i1p1f1,INM-CM5-0,2039,425.5911
25,rlus,ssp370,W m-2,mon,r1i1p1f1,INM-CM5-0,2040,425.59378
26,rlus,ssp370,W m-2,mon,r1i1p1f1,INM-CM5-0,2041,425.28018
27,rlus,ssp370,W m-2,mon,r1i1p1f1,INM-CM5-0,2042,425.3453
28,rlus,ssp370,W m-2,mon,r1i1p1f1,INM-CM5-0,2043,425.821
