,variable,experiment,units,frequency,ensemble,model,year,value
0,rlus,ssp245,W m-2,mon,r5i1p1f1,IPSL-CM6A-LR,2015,424.5623
1,rlus,ssp245,W m-2,mon,r5i1p1f1,IPSL-CM6A-LR,2016,423.84573
2,rlus,ssp245,W m-2,mon,r5i1p1f1,IPSL-CM6A-LR,2017,423.8826
3,rlus,ssp245,W m-2,mon,r5i1p1f1,IPSL-CM6A-LR,2018,424.67783
4,rlus,ssp245,W m-2,mon,r5i1p1f1,IPSL-CM6A-LR,2019,424.65964
5,rlus,ssp245,W m-2,mon,r5i1p1f1,IPSL-CM6A-LR,2020,424.69302
6,rlus,ssp245,W m-2,mon,r5i1p1f1,IPSL-CM6A-LR,2021,425.35287
7,rlus,ssp245,W m-2,mon,r5i1p1f1,IPSL-CM6A-LR,2022,425.25894
8,rlus,ssp245,W m-2,mon,r5i1p1f1,IPSL-CM6A-LR,2023,424.92102
9,rlus,ssp245,W m-2,mon,r5i1p1f1,IPSL-CM6A-LR,2024,425.42453
10,rlus,ssp245,W m-2,mon,r5i1p1f1,IPSL-CM6A-LR,2025,424.8677
11,rlus,ssp245,W m-2,mon,r5i1p1f1,IPSL-CM6A-LR,2026,425.69626
12,rlus,ssp245,W m-2,mon,r5i1p1f1,IPSL-CM6A-LR,2027,427.26895
13,rlus,ssp245,W m-2,mon,r5i1p1f1,IPSL-CM6A-LR,2028,425.96494
14,rlus,ssp245,W m-2,mon,r5i1p1f1,IPSL-CM6A-LR,2029,426.3149
15,rlus,ssp245,W m-2,mon,r5i1p1f1,IPSL-CM6A-LR,2030,427.77902
16,rlus,ssp245,W m-2,mon,r5i1p1f1,IPSL-CM6A-LR,2031,427.6796
17,rlus,ssp245,W m-2,mon,r5i1p1f1,IPSL-CM6A-LR,2032,427.1652
18,rlus,ssp245,W m-2,mon,r5i1p1f1,IPSL-CM6A-LR,2033,427.69763
19,rlus,ssp245,W m-2,mon,r5i1p1f1,IPSL-CM6A-LR,2034,427.14285
20,rlus,ssp245,W m-2,mon,r5i1p1f1,IPSL-CM6A-LR,2035,426.64896
21,rlus,ssp245,W m-2,mon,r5i1p1f1,IPSL-CM6A-LR,2036,427.8356
22,rlus,ssp245,W m-2,mon,r5i1p1f1,IPSL-CM6A-LR,2037,427.1757
23,rlus,ssp245,W m-2,mon,r5i1p1f1,IPSL-CM6A-LR,2038,427.70557
24,rlus,ssp245,W m-2,mon,r5i1p1f1,IPSL-CM6A-LR,2039,428.20023
25,rlus,ssp245,W m-2,mon,r5i1p1f1,IPSL-CM6A-LR,2040,426.48672
26,rlus,ssp245,W m-2,mon,r5i1p1f1,IPSL-CM6A-LR,2041,427.50696
27,rlus,ssp245,W m-2,mon,r5i1p1f1,IPSL-CM6A-LR,2042,428.381
28,rlus,ssp245,W m-2,mon,r5i1p1f1,IPSL-CM6A-LR,2043,428.76236
29,rlus,ssp245,W m-2,mon,r5i1p1f1,IPSL-CM6A-LR,2044,429.98862
30,rlus,ssp245,W m-2,mon,r5i1p1f1,IPSL-CM6A-LR,2045,428.9943
31,rlus,ssp245,W m-2,mon,r5i1p1f1,IPSL-CM6A-LR,2046,428.8998
32,rlus,ssp245,W m-2,mon,r5i1p1f1,IPSL-CM6A-LR,2047,429.63028
33,rlus,ssp245,W m-2,mon,r5i1p1f1,IPSL-CM6A-LR,2048,430.4457
34,rlus,ssp245,W m-2,mon,r5i1p1f1,IPSL-CM6A-LR,2049,429.26962
35,rlus,ssp245,W m-2,mon,r5i1p1f1,IPSL-CM6A-LR,2050,429.61276
36,rlus,ssp245,W m-2,mon,r5i1p1f1,IPSL-CM6A-LR,2051,429.38782
37,rlus,ssp245,W m-2,mon,r5i1p1f1,IPSL-CM6A-LR,2052,429.51004
38,rlus,ssp245,W m-2,mon,r5i1p1f1,IPSL-CM6A-LR,2053,430.06876
39,rlus,ssp245,W m-2,mon,r5i1p1f1,IPSL-CM6A-LR,2054,429.06802
40,rlus,ssp245,W m-2,mon,r5i1p1f1,IPSL-CM6A-LR,2055,430.23618
41,rlus,ssp245,W m-2,mon,r5i1p1f1,IPSL-CM6A-LR,2056,431.90625
42,rlus,ssp245,W m-2,mon,r5i1p1f1,IPSL-CM6A-LR,2057,430.9935
43,rlus,ssp245,W m-2,mon,r5i1p1f1,IPSL-CM6A-LR,2058,430.70102
44,rlus,ssp245,W m-2,mon,r5i1p1f1,IPSL-CM6A-LR,2059,430.55887
