,variable,experiment,units,frequency,ensemble,model,year,value
0,rlus,ssp126,W m-2,mon,r9i1p1f2,MIROC-ES2L,2015,424.291
1,rlus,ssp126,W m-2,mon,r9i1p1f2,MIROC-ES2L,2016,422.7963
2,rlus,ssp126,W m-2,mon,r9i1p1f2,MIROC-ES2L,2017,423.07043
3,rlus,ssp126,W m-2,mon,r9i1p1f2,MIROC-ES2L,2018,424.3756
4,rlus,ssp126,W m-2,mon,r9i1p1f2,MIROC-ES2L,2019,424.65506
5,rlus,ssp126,W m-2,mon,r9i1p1f2,MIROC-ES2L,2020,422.4744
6,rlus,ssp126,W m-2,mon,r9i1p1f2,MIROC-ES2L,2021,422.4
7,rlus,ssp126,W m-2,mon,r9i1p1f2,MIROC-ES2L,2022,423.85147
8,rlus,ssp126,W m-2,mon,r9i1p1f2,MIROC-ES2L,2023,425.3068
9,rlus,ssp126,W m-2,mon,r9i1p1f2,MIROC-ES2L,2024,424.17258
10,rlus,ssp126,W m-2,mon,r9i1p1f2,MIROC-ES2L,2025,423.1594
11,rlus,ssp126,W m-2,mon,r9i1p1f2,MIROC-ES2L,2026,423.6953
12,rlus,ssp126,W m-2,mon,r9i1p1f2,MIROC-ES2L,2027,424.38306
13,rlus,ssp126,W m-2,mon,r9i1p1f2,MIROC-ES2L,2028,425.20935
14,rlus,ssp126,W m-2,mon,r9i1p1f2,MIROC-ES2L,2029,425.40128
15,rlus,ssp126,W m-2,mon,r9i1p1f2,MIROC-ES2L,2030,425.25174
16,rlus,ssp126,W m-2,mon,r9i1p1f2,MIROC-ES2L,2031,424.96445
17,rlus,ssp126,W m-2,mon,r9i1p1f2,MIROC-ES2L,2032,425.57077
18,rlus,ssp126,W m-2,mon,r9i1p1f2,MIROC-ES2L,2033,426.68558
19,rlus,ssp126,W m-2,mon,r9i1p1f2,MIROC-ES2L,2034,427.2573
20,rlus,ssp126,W m-2,mon,r9i1p1f2,MIROC-ES2L,2035,424.86154
21,rlus,ssp126,W m-2,mon,r9i1p1f2,MIROC-ES2L,2036,424.1724
22,rlus,ssp126,W m-2,mon,r9i1p1f2,MIROC-ES2L,2037,425.657
23,rlus,ssp126,W m-2,mon,r9i1p1f2,MIROC-ES2L,2038,426.94333
24,rlus,ssp126,W m-2,mon,r9i1p1f2,MIROC-ES2L,2039,426.70828
25,rlus,ssp126,W m-2,mon,r9i1p1f2,MIROC-ES2L,2040,424.719
26,rlus,ssp126,W m-2,mon,r9i1p1f2,MIROC-ES2L,2041,424.3818
27,rlus,ssp126,W m-2,mon,r9i1p1f2,MIROC-ES2L,2042,425.57437
28,rlus,ssp126,W m-2,mon,r9i1p1f2,MIROC-ES2L,2043,427.1625
29,rlus,ssp126,W m-2,mon,r9i1p1f2,MIROC-ES2L,2044,427.11337
30,rlus,ssp126,W m-2,mon,r9i1p1f2,MIROC-ES2L,2045,425.70947
31,rlus,ssp126,W m-2,mon,r9i1p1f2,MIROC-ES2L,2046,425.3285
