,variable,experiment,units,frequency,ensemble,model,year,value
0,rlus,historical,W m-2,mon,r12i1p1f1,MIROC6,1850,418.99216
1,rlus,historical,W m-2,mon,r12i1p1f1,MIROC6,1851,419.74802
2,rlus,historical,W m-2,mon,r12i1p1f1,MIROC6,1852,419.9093
3,rlus,historical,W m-2,mon,r12i1p1f1,MIROC6,1853,419.88025
4,rlus,historical,W m-2,mon,r12i1p1f1,MIROC6,1854,418.48856
5,rlus,historical,W m-2,mon,r12i1p1f1,MIROC6,1855,418.24252
6,rlus,historical,W m-2,mon,r12i1p1f1,MIROC6,1856,418.55753
7,rlus,historical,W m-2,mon,r12i1p1f1,MIROC6,1857,419.321
8,rlus,historical,W m-2,mon,r12i1p1f1,MIROC6,1858,419.4895
9,rlus,historical,W m-2,mon,r12i1p1f1,MIROC6,1859,419.87698
10,rlus,historical,W m-2,mon,r12i1p1f1,MIROC6,1860,418.60007
11,rlus,historical,W m-2,mon,r12i1p1f1,MIROC6,1861,418.8374
12,rlus,historical,W m-2,mon,r12i1p1f1,MIROC6,1862,419.18274
13,rlus,historical,W m-2,mon,r12i1p1f1,MIROC6,1863,419.7247
14,rlus,historical,W m-2,mon,r12i1p1f1,MIROC6,1864,419.21756
15,rlus,historical,W m-2,mon,r12i1p1f1,MIROC6,1865,419.34155
16,rlus,historical,W m-2,mon,r12i1p1f1,MIROC6,1866,419.70944
17,rlus,historical,W m-2,mon,r12i1p1f1,MIROC6,1867,420.07217
18,rlus,historical,W m-2,mon,r12i1p1f1,MIROC6,1868,419.93716
19,rlus,historical,W m-2,mon,r12i1p1f1,MIROC6,1869,419.46304
20,rlus,historical,W m-2,mon,r12i1p1f1,MIROC6,1870,418.901
21,rlus,historical,W m-2,mon,r12i1p1f1,MIROC6,1871,418.88724
22,rlus,historical,W m-2,mon,r12i1p1f1,MIROC6,1872,418.89026
23,rlus,historical,W m-2,mon,r12i1p1f1,MIROC6,1873,418.8602
24,rlus,historical,W m-2,mon,r12i1p1f1,MIROC6,1874,419.33163
25,rlus,historical,W m-2,mon,r12i1p1f1,MIROC6,1875,420.0054
26,rlus,historical,W m-2,mon,r12i1p1f1,MIROC6,1876,419.7931
27,rlus,historical,W m-2,mon,r12i1p1f1,MIROC6,1877,419.47214
28,rlus,historical,W m-2,mon,r12i1p1f1,MIROC6,1878,419.09634
29,rlus,historical,W m-2,mon,r12i1p1f1,MIROC6,1879,419.28745
30,rlus,historical,W m-2,mon,r12i1p1f1,MIROC6,1880,420.0778
31,rlus,historical,W m-2,mon,r12i1p1f1,MIROC6,1881,420.37964
32,rlus,historical,W m-2,mon,r12i1p1f1,MIROC6,1882,419.1329
33,rlus,historical,W m-2,mon,r12i1p1f1,MIROC6,1883,418.64285
34,rlus,historical,W m-2,mon,r12i1p1f1,MIROC6,1884,419.25327
35,rlus,historical,W m-2,mon,r12i1p1f1,MIROC6,1885,420.0028
36,rlus,historical,W m-2,mon,r12i1p1f1,MIROC6,1886,418.3169
37,rlus,historical,W m-2,mon,r12i1p1f1,MIROC6,1887,417.99527
38,rlus,historical,W m-2,mon,r12i1p1f1,MIROC6,1888,419.2128
39,rlus,historical,W m-2,mon,r12i1p1f1,MIROC6,1889,419.28433
