,variable,experiment,units,frequency,ensemble,model,year,value
0,rlus,historical,W m-2,mon,r8i1p1f1,MPI-ESM1-2-LR,1850,139.45657
1,rlus,historical,W m-2,mon,r8i1p1f1,MPI-ESM1-2-LR,1851,139.47438
2,rlus,historical,W m-2,mon,r8i1p1f1,MPI-ESM1-2-LR,1852,139.55739
3,rlus,historical,W m-2,mon,r8i1p1f1,MPI-ESM1-2-LR,1853,139.63657
4,rlus,historical,W m-2,mon,r8i1p1f1,MPI-ESM1-2-LR,1854,139.66876
5,rlus,historical,W m-2,mon,r8i1p1f1,MPI-ESM1-2-LR,1855,139.82709
6,rlus,historical,W m-2,mon,r8i1p1f1,MPI-ESM1-2-LR,1856,139.77055
7,rlus,historical,W m-2,mon,r8i1p1f1,MPI-ESM1-2-LR,1857,139.70645
8,rlus,historical,W m-2,mon,r8i1p1f1,MPI-ESM1-2-LR,1858,139.79584
9,rlus,historical,W m-2,mon,r8i1p1f1,MPI-ESM1-2-LR,1859,139.88686
10,rlus,historical,W m-2,mon,r8i1p1f1,MPI-ESM1-2-LR,1860,139.90979
11,rlus,historical,W m-2,mon,r8i1p1f1,MPI-ESM1-2-LR,1861,139.87978
12,rlus,historical,W m-2,mon,r8i1p1f1,MPI-ESM1-2-LR,1862,139.77838
13,rlus,historical,W m-2,mon,r8i1p1f1,MPI-ESM1-2-LR,1863,139.80756
14,rlus,historical,W m-2,mon,r8i1p1f1,MPI-ESM1-2-LR,1864,139.82185
15,rlus,historical,W m-2,mon,r8i1p1f1,MPI-ESM1-2-LR,1865,139.82155
16,rlus,historical,W m-2,mon,r8i1p1f1,MPI-ESM1-2-LR,1866,139.75337
17,rlus,historical,W m-2,mon,r8i1p1f1,MPI-ESM1-2-LR,1867,139.62013
18,rlus,historical,W m-2,mon,r8i1p1f1,MPI-ESM1-2-LR,1868,139.62431
19,rlus,historical,W m-2,mon,r8i1p1f1,MPI-ESM1-2-LR,1869,139.5767
20,rlus,historical,W m-2,mon,r8i1p1f1,MPI-ESM1-2-LR,1870,139.64166
21,rlus,historical,W m-2,mon,r8i1p1f1,MPI-ESM1-2-LR,1871,139.65211
22,rlus,historical,W m-2,mon,r8i1p1f1,MPI-ESM1-2-LR,1872,139.73235
23,rlus,historical,W m-2,mon,r8i1p1f1,MPI-ESM1-2-LR,1873,139.7132
24,rlus,historical,W m-2,mon,r8i1p1f1,MPI-ESM1-2-LR,1874,139.67227
25,rlus,historical,W m-2,mon,r8i1p1f1,MPI-ESM1-2-LR,1875,139.64104
26,rlus,historical,W m-2,mon,r8i1p1f1,MPI-ESM1-2-LR,1876,139.68883
27,rlus,historical,W m-2,mon,r8i1p1f1,MPI-ESM1-2-LR,1877,139.75099
28,rlus,historical,W m-2,mon,r8i1p1f1,MPI-ESM1-2-LR,1878,139.68686
29,rlus,historical,W m-2,mon,r8i1p1f1,MPI-ESM1-2-LR,1879,139.80379
30,rlus,historical,W m-2,mon,r8i1p1f1,MPI-ESM1-2-LR,1880,139.7234
31,rlus,historical,W m-2,mon,r8i1p1f1,MPI-ESM1-2-LR,1881,139.76888
32,rlus,historical,W m-2,mon,r8i1p1f1,MPI-ESM1-2-LR,1882,139.90129
33,rlus,historical,W m-2,mon,r8i1p1f1,MPI-ESM1-2-LR,1883,139.82578
34,rlus,historical,W m-2,mon,r8i1p1f1,MPI-ESM1-2-LR,1884,139.48946
35,rlus,historical,W m-2,mon,r8i1p1f1,MPI-ESM1-2-LR,1885,139.33604
36,rlus,historical,W m-2,mon,r8i1p1f1,MPI-ESM1-2-LR,1886,139.5315
37,rlus,historical,W m-2,mon,r8i1p1f1,MPI-ESM1-2-LR,1887,139.60631
38,rlus,historical,W m-2,mon,r8i1p1f1,MPI-ESM1-2-LR,1888,139.545
39,rlus,historical,W m-2,mon,r8i1p1f1,MPI-ESM1-2-LR,1889,139.65875
40,rlus,historical,W m-2,mon,r8i1p1f1,MPI-ESM1-2-LR,1890,139.5637
41,rlus,historical,W m-2,mon,r8i1p1f1,MPI-ESM1-2-LR,1891,139.54286
42,rlus,historical,W m-2,mon,r8i1p1f1,MPI-ESM1-2-LR,1892,139.66447
43,rlus,historical,W m-2,mon,r8i1p1f1,MPI-ESM1-2-LR,1893,139.57048
44,rlus,historical,W m-2,mon,r8i1p1f1,MPI-ESM1-2-LR,1894,139.48174
45,rlus,historical,W m-2,mon,r8i1p1f1,MPI-ESM1-2-LR,1895,139.64078
46,rlus,historical,W m-2,mon,r8i1p1f1,MPI-ESM1-2-LR,1896,139.56984
47,rlus,historical,W m-2,mon,r8i1p1f1,MPI-ESM1-2-LR,1897,139.69081
