,variable,experiment,units,frequency,ensemble,model,year,value
0,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1850,199.24031
1,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1851,199.7224
2,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1852,200.68724
3,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1853,201.19885
4,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1854,200.99763
5,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1855,199.90002
6,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1856,199.39684
7,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1857,200.09898
8,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1858,200.62526
9,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1859,200.3706
10,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1860,199.46619
11,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1861,198.76398
12,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1862,199.57399
13,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1863,199.97249
14,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1864,199.67958
15,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1865,199.85661
16,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1866,200.33105
17,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1867,200.88441
18,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1868,200.6192
19,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1869,200.08821
20,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1870,199.99196
21,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1871,199.56453
22,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1872,199.56409
23,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1873,199.94539
24,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1874,200.36848
25,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1875,200.562
26,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1876,199.91583
27,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1877,199.31999
28,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1878,199.46849
29,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1879,200.68817
30,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1880,201.02081
31,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1881,199.6472
32,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1882,199.1952
33,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1883,199.3759
34,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1884,198.61719
35,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1885,200.61804
36,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1886,199.39076
37,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1887,198.90205
38,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1888,200.54579
39,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1889,200.41736
40,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1890,199.37758
41,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1891,199.40674
42,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1892,200.24867
43,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1893,200.83917
44,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1894,200.56944
45,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1895,199.9015
46,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1896,199.11635
47,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1897,199.1499
48,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1898,200.35292
49,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1899,199.27702
50,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1900,198.92645
51,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1901,199.98085
52,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1902,199.97058
53,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1903,199.23088
54,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1904,198.92665
55,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1905,198.73582
56,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1906,199.26894
57,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1907,200.21645
58,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1908,200.31152
59,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1909,199.89764
60,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1910,199.14703
61,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1911,198.95268
62,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1912,198.97673
63,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1913,199.41954
64,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1914,199.32019
65,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1915,199.07994
66,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1916,200.04393
67,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1917,200.12291
68,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1918,200.17659
69,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1919,198.94072
70,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1920,198.85039
71,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1921,199.99884
72,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1922,199.95656
73,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1923,199.25594
74,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1924,198.98962
75,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1925,198.84764
76,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1926,199.71617
77,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1927,200.32991
78,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1928,199.74866
79,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1929,199.01878
80,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1930,198.65233
81,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1931,198.36424
82,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1932,199.14397
83,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1933,199.8675
84,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1934,200.08803
85,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1935,199.87013
86,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1936,199.02238
87,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1937,198.90576
88,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1938,199.40926
89,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1939,199.44415
90,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1940,199.08252
91,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1941,198.95885
92,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1942,198.27876
93,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1943,198.83618
94,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1944,199.84236
95,rsds,historical,W m-2,mon,r9i1p3f1,GISS-E2-1-G,1945,199.48775
