,variable,experiment,units,frequency,ensemble,model,year,value
0,rsds,ssp245,W m-2,mon,r10i1p1f2,GISS-E2-1-G,2015,198.88934
1,rsds,ssp245,W m-2,mon,r10i1p1f2,GISS-E2-1-G,2016,199.92265
2,rsds,ssp245,W m-2,mon,r10i1p1f2,GISS-E2-1-G,2017,199.57397
3,rsds,ssp245,W m-2,mon,r10i1p1f2,GISS-E2-1-G,2018,198.56526
4,rsds,ssp245,W m-2,mon,r10i1p1f2,GISS-E2-1-G,2019,198.54726
5,rsds,ssp245,W m-2,mon,r10i1p1f2,GISS-E2-1-G,2020,199.32234
6,rsds,ssp245,W m-2,mon,r10i1p1f2,GISS-E2-1-G,2021,199.40807
7,rsds,ssp245,W m-2,mon,r10i1p1f2,GISS-E2-1-G,2022,198.87141
8,rsds,ssp245,W m-2,mon,r10i1p1f2,GISS-E2-1-G,2023,198.44743
9,rsds,ssp245,W m-2,mon,r10i1p1f2,GISS-E2-1-G,2024,198.9693
10,rsds,ssp245,W m-2,mon,r10i1p1f2,GISS-E2-1-G,2025,199.43097
11,rsds,ssp245,W m-2,mon,r10i1p1f2,GISS-E2-1-G,2026,198.41542
12,rsds,ssp245,W m-2,mon,r10i1p1f2,GISS-E2-1-G,2027,198.7162
13,rsds,ssp245,W m-2,mon,r10i1p1f2,GISS-E2-1-G,2028,198.44647
14,rsds,ssp245,W m-2,mon,r10i1p1f2,GISS-E2-1-G,2029,197.77711
15,rsds,ssp245,W m-2,mon,r10i1p1f2,GISS-E2-1-G,2030,198.11627
16,rsds,ssp245,W m-2,mon,r10i1p1f2,GISS-E2-1-G,2031,199.20729
17,rsds,ssp245,W m-2,mon,r10i1p1f2,GISS-E2-1-G,2032,198.75801
18,rsds,ssp245,W m-2,mon,r10i1p1f2,GISS-E2-1-G,2033,197.5041
19,rsds,ssp245,W m-2,mon,r10i1p1f2,GISS-E2-1-G,2034,197.62938
20,rsds,ssp245,W m-2,mon,r10i1p1f2,GISS-E2-1-G,2035,197.78383
21,rsds,ssp245,W m-2,mon,r10i1p1f2,GISS-E2-1-G,2036,198.57857
22,rsds,ssp245,W m-2,mon,r10i1p1f2,GISS-E2-1-G,2037,198.39192
23,rsds,ssp245,W m-2,mon,r10i1p1f2,GISS-E2-1-G,2038,198.3274
24,rsds,ssp245,W m-2,mon,r10i1p1f2,GISS-E2-1-G,2039,198.20564
25,rsds,ssp245,W m-2,mon,r10i1p1f2,GISS-E2-1-G,2040,198.81975
26,rsds,ssp245,W m-2,mon,r10i1p1f2,GISS-E2-1-G,2041,197.42311
27,rsds,ssp245,W m-2,mon,r10i1p1f2,GISS-E2-1-G,2042,197.55162
28,rsds,ssp245,W m-2,mon,r10i1p1f2,GISS-E2-1-G,2043,198.52257
29,rsds,ssp245,W m-2,mon,r10i1p1f2,GISS-E2-1-G,2044,198.37663
30,rsds,ssp245,W m-2,mon,r10i1p1f2,GISS-E2-1-G,2045,197.76093
31,rsds,ssp245,W m-2,mon,r10i1p1f2,GISS-E2-1-G,2046,196.93034
32,rsds,ssp245,W m-2,mon,r10i1p1f2,GISS-E2-1-G,2047,197.8015
33,rsds,ssp245,W m-2,mon,r10i1p1f2,GISS-E2-1-G,2048,198.38757
34,rsds,ssp245,W m-2,mon,r10i1p1f2,GISS-E2-1-G,2049,198.08824
35,rsds,ssp245,W m-2,mon,r10i1p1f2,GISS-E2-1-G,2050,197.74146
36,rsds,ssp245,W m-2,mon,r10i1p1f2,GISS-E2-1-G,2051,197.24205
37,rsds,ssp245,W m-2,mon,r10i1p1f2,GISS-E2-1-G,2052,197.96101
38,rsds,ssp245,W m-2,mon,r10i1p1f2,GISS-E2-1-G,2053,197.4716
39,rsds,ssp245,W m-2,mon,r10i1p1f2,GISS-E2-1-G,2054,197.26991
40,rsds,ssp245,W m-2,mon,r10i1p1f2,GISS-E2-1-G,2055,197.58025
41,rsds,ssp245,W m-2,mon,r10i1p1f2,GISS-E2-1-G,2056,197.89204
42,rsds,ssp245,W m-2,mon,r10i1p1f2,GISS-E2-1-G,2057,197.61256
43,rsds,ssp245,W m-2,mon,r10i1p1f2,GISS-E2-1-G,2058,198.18745
44,rsds,ssp245,W m-2,mon,r10i1p1f2,GISS-E2-1-G,2059,197.99348
45,rsds,ssp245,W m-2,mon,r10i1p1f2,GISS-E2-1-G,2060,197.50844
46,rsds,ssp245,W m-2,mon,r10i1p1f2,GISS-E2-1-G,2061,196.95348
47,rsds,ssp245,W m-2,mon,r10i1p1f2,GISS-E2-1-G,2062,196.94954
48,rsds,ssp245,W m-2,mon,r10i1p1f2,GISS-E2-1-G,2063,197.71112
49,rsds,ssp245,W m-2,mon,r10i1p1f2,GISS-E2-1-G,2064,197.96222
50,rsds,ssp245,W m-2,mon,r10i1p1f2,GISS-E2-1-G,2065,197.45796
51,rsds,ssp245,W m-2,mon,r10i1p1f2,GISS-E2-1-G,2066,197.12984
52,rsds,ssp245,W m-2,mon,r10i1p1f2,GISS-E2-1-G,2067,197.9485
53,rsds,ssp245,W m-2,mon,r10i1p1f2,GISS-E2-1-G,2068,197.19646
54,rsds,ssp245,W m-2,mon,r10i1p1f2,GISS-E2-1-G,2069,197.00227
55,rsds,ssp245,W m-2,mon,r10i1p1f2,GISS-E2-1-G,2070,197.19563
56,rsds,ssp245,W m-2,mon,r10i1p1f2,GISS-E2-1-G,2071,196.72105
57,rsds,ssp245,W m-2,mon,r10i1p1f2,GISS-E2-1-G,2072,196.78137
58,rsds,ssp245,W m-2,mon,r10i1p1f2,GISS-E2-1-G,2073,196.57263
59,rsds,ssp245,W m-2,mon,r10i1p1f2,GISS-E2-1-G,2074,196.95802
60,rsds,ssp245,W m-2,mon,r10i1p1f2,GISS-E2-1-G,2075,197.60999
61,rsds,ssp245,W m-2,mon,r10i1p1f2,GISS-E2-1-G,2076,197.29156
62,rsds,ssp245,W m-2,mon,r10i1p1f2,GISS-E2-1-G,2077,197.49937
63,rsds,ssp245,W m-2,mon,r10i1p1f2,GISS-E2-1-G,2078,197.58449
64,rsds,ssp245,W m-2,mon,r10i1p1f2,GISS-E2-1-G,2079,197.7688
65,rsds,ssp245,W m-2,mon,r10i1p1f2,GISS-E2-1-G,2080,197.23804
66,rsds,ssp245,W m-2,mon,r10i1p1f2,GISS-E2-1-G,2081,196.71065
67,rsds,ssp245,W m-2,mon,r10i1p1f2,GISS-E2-1-G,2082,196.65816
68,rsds,ssp245,W m-2,mon,r10i1p1f2,GISS-E2-1-G,2083,197.308
69,rsds,ssp245,W m-2,mon,r10i1p1f2,GISS-E2-1-G,2084,196.7949
70,rsds,ssp245,W m-2,mon,r10i1p1f2,GISS-E2-1-G,2085,196.9728
71,rsds,ssp245,W m-2,mon,r10i1p1f2,GISS-E2-1-G,2086,197.28905
72,rsds,ssp245,W m-2,mon,r10i1p1f2,GISS-E2-1-G,2087,197.28188
73,rsds,ssp245,W m-2,mon,r10i1p1f2,GISS-E2-1-G,2088,196.87006
